#
# Neutron Star Mass Function
#
# Source: www3.mpifr-bonn.mpg.de/staff/pfreire/NS_masses.html
#         neutron stars in binary systems with mass error < 15%
#
# ARAA article: Ozel, F., and Freire, P. 2016, "Masses, radii,
#               and the equation of state of neutron stars," ARAA, 54, 401
#
# PDF calculated using Kernel Density Estimation (KDE) by author BSR
#
# Mass is in Msun
# PDF - probability density function, dimensionless 0..1
# lower98/upper98 - 98% confidence intervals
#
Mass          PDF          lower98      upper98
  0.9542      0.11167E-01  0.15803E-03  0.42438E-01
  0.9594      0.12381E-01  0.20668E-03  0.46713E-01
  0.9646      0.13712E-01  0.26931E-03  0.51320E-01
  0.9698      0.15172E-01  0.34007E-03  0.56284E-01
  0.9750      0.16775E-01  0.43749E-03  0.61623E-01
  0.9802      0.18534E-01  0.56017E-03  0.67353E-01
  0.9854      0.20466E-01  0.71611E-03  0.73493E-01
  0.9906      0.22591E-01  0.91181E-03  0.80065E-01
  0.9958      0.24929E-01  0.11520E-02  0.87062E-01
   1.001      0.27504E-01  0.14607E-02  0.94502E-01
   1.006      0.30345E-01  0.18429E-02  0.10242    
   1.011      0.33482E-01  0.23034E-02  0.11084    
   1.017      0.36951E-01  0.28757E-02  0.11979    
   1.022      0.40791E-01  0.35762E-02  0.12929    
   1.027      0.45045E-01  0.44304E-02  0.13937    
   1.032      0.49765E-01  0.54677E-02  0.15005    
   1.037      0.55006E-01  0.67225E-02  0.16138    
   1.043      0.60828E-01  0.82344E-02  0.17349    
   1.048      0.67299E-01  0.10049E-01  0.18636    
   1.053      0.74495E-01  0.12136E-01  0.20004    
   1.058      0.82498E-01  0.14506E-01  0.21485    
   1.063      0.91395E-01  0.17407E-01  0.23035    
   1.069      0.10128      0.20530E-01  0.24652    
   1.074      0.11227      0.24457E-01  0.26445    
   1.079      0.12446      0.29072E-01  0.28662    
   1.084      0.13797      0.34428E-01  0.30842    
   1.089      0.15293      0.41108E-01  0.33359    
   1.095      0.16948      0.48516E-01  0.36031    
   1.100      0.18774      0.57078E-01  0.38770    
   1.105      0.20787      0.66937E-01  0.42111    
   1.110      0.23000      0.78248E-01  0.45066    
   1.115      0.25430      0.90568E-01  0.48962    
   1.121      0.28090      0.10363      0.53062    
   1.126      0.30998      0.11893      0.56932    
   1.131      0.34167      0.13504      0.61402    
   1.136      0.37614      0.15379      0.66362    
   1.141      0.41353      0.17487      0.71827    
   1.147      0.45399      0.19598      0.77561    
   1.152      0.49765      0.22311      0.84026    
   1.157      0.54464      0.25132      0.90557    
   1.162      0.59508      0.27834      0.97018    
   1.167      0.64907      0.31636       1.0569    
   1.173      0.70668      0.35308       1.1364    
   1.178      0.76800      0.38664       1.2177    
   1.183      0.83305      0.43246       1.3011    
   1.188      0.90185      0.48453       1.3943    
   1.193      0.97440      0.54161       1.4861    
   1.199       1.0506      0.59327       1.5799    
   1.204       1.1305      0.64777       1.6736    
   1.209       1.2138      0.70716       1.7745    
   1.214       1.3005      0.77208       1.8784    
   1.219       1.3902      0.84911       1.9809    
   1.225       1.4828      0.91997       2.0846    
   1.230       1.5779       1.0004       2.1889    
   1.235       1.6750       1.0808       2.3079    
   1.240       1.7739       1.1656       2.4199    
   1.245       1.8740       1.2543       2.5339    
   1.251       1.9747       1.3321       2.6395    
   1.256       2.0754       1.4184       2.7610    
   1.261       2.1754       1.5068       2.8663    
   1.266       2.2741       1.5888       2.9736    
   1.271       2.3707       1.6587       3.0850    
   1.277       2.4644       1.7468       3.1913    
   1.282       2.5544       1.8300       3.2900    
   1.287       2.6399       1.9182       3.3924    
   1.292       2.7201       2.0009       3.4733    
   1.297       2.7942       2.0818       3.5542    
   1.303       2.8615       2.1360       3.6349    
   1.308       2.9212       2.1811       3.7031    
   1.313       2.9728       2.2315       3.7654    
   1.318       3.0155       2.2757       3.8089    
   1.323       3.0491       2.2952       3.8341    
   1.329       3.0731       2.3069       3.8642    
   1.334       3.0873       2.3219       3.8748    
   1.339       3.0916       2.3304       3.8901    
   1.344       3.0859       2.3365       3.8992    
   1.349       3.0703       2.3368       3.8809    
   1.355       3.0453       2.3111       3.8432    
   1.360       3.0110       2.2890       3.8043    
   1.365       2.9680       2.2534       3.7452    
   1.370       2.9169       2.2062       3.6702    
   1.375       2.8584       2.1554       3.5951    
   1.381       2.7932       2.1025       3.5068    
   1.386       2.7221       2.0552       3.4082    
   1.391       2.6459       1.9861       3.3171    
   1.396       2.5657       1.9289       3.2297    
   1.401       2.4821       1.8659       3.1331    
   1.407       2.3962       1.7954       3.0299    
   1.412       2.3087       1.7134       2.9337    
   1.417       2.2204       1.6317       2.8246    
   1.422       2.1322       1.5625       2.7246    
   1.427       2.0446       1.4883       2.6353    
   1.433       1.9583       1.4208       2.5386    
   1.438       1.8739       1.3488       2.4418    
   1.443       1.7917       1.2751       2.3602    
   1.448       1.7123       1.2054       2.2778    
   1.453       1.6358       1.1365       2.2021    
   1.459       1.5626       1.0813       2.1123    
   1.464       1.4927       1.0076       2.0298    
   1.469       1.4264      0.95130       1.9492    
   1.474       1.3636      0.89778       1.8775    
   1.479       1.3043      0.84017       1.8147    
   1.485       1.2485      0.79412       1.7517    
   1.490       1.1962      0.76828       1.6910    
   1.495       1.1471      0.72189       1.6355    
   1.500       1.1011      0.68776       1.5776    
   1.505       1.0582      0.64695       1.5254    
   1.511       1.0181      0.60835       1.4818    
   1.516      0.98074      0.57397       1.4305    
   1.521      0.94586      0.54512       1.3983    
   1.526      0.91334      0.52220       1.3576    
   1.531      0.88301      0.49753       1.3228    
   1.537      0.85473      0.47658       1.2893    
   1.542      0.82835      0.46125       1.2569    
   1.547      0.80374      0.44308       1.2259    
   1.552      0.78077      0.43392       1.2089    
   1.557      0.75932      0.42455       1.1751    
   1.563      0.73929      0.40663       1.1521    
   1.568      0.72057      0.39137       1.1245    
   1.573      0.70307      0.37915       1.0928    
   1.578      0.68671      0.36313       1.0753    
   1.583      0.67141      0.35150       1.0458    
   1.589      0.65708      0.34312       1.0341    
   1.594      0.64367      0.33374       1.0200    
   1.599      0.63111      0.32024       1.0095    
   1.604      0.61933      0.31163      0.99694    
   1.609      0.60828      0.29926      0.98125    
   1.615      0.59790      0.29079      0.96901    
   1.620      0.58815      0.28355      0.95928    
   1.625      0.57896      0.27488      0.95127    
   1.630      0.57029      0.26626      0.94692    
   1.635      0.56210      0.26100      0.94082    
   1.641      0.55434      0.25824      0.93151    
   1.646      0.54697      0.25216      0.91932    
   1.651      0.53995      0.24370      0.90828    
   1.656      0.53324      0.23652      0.89705    
   1.661      0.52680      0.23002      0.88566    
   1.667      0.52061      0.22522      0.87649    
   1.672      0.51463      0.22444      0.86827    
   1.677      0.50883      0.22076      0.85997    
   1.682      0.50318      0.21732      0.85165    
   1.687      0.49767      0.21359      0.84322    
   1.693      0.49225      0.21273      0.83372    
   1.698      0.48692      0.20658      0.82579    
   1.703      0.48166      0.20393      0.81753    
   1.708      0.47645      0.20154      0.80871    
   1.713      0.47126      0.20064      0.79974    
   1.719      0.46610      0.19724      0.79164    
   1.724      0.46095      0.19501      0.78393    
   1.729      0.45579      0.19112      0.77369    
   1.734      0.45063      0.18792      0.76419    
   1.739      0.44545      0.18378      0.75866    
   1.745      0.44025      0.18048      0.74949    
   1.750      0.43503      0.17723      0.74261    
   1.755      0.42977      0.17428      0.73329    
   1.760      0.42449      0.17190      0.71924    
   1.765      0.41918      0.17195      0.70812    
   1.771      0.41384      0.17211      0.70025    
   1.776      0.40847      0.16727      0.69230    
   1.781      0.40307      0.16364      0.68118    
   1.786      0.39764      0.16135      0.67256    
   1.791      0.39220      0.15805      0.66486    
   1.797      0.38674      0.15489      0.65740    
   1.802      0.38126      0.15187      0.65094    
   1.807      0.37577      0.14950      0.64022    
   1.812      0.37028      0.14812      0.62926    
   1.817      0.36478      0.14727      0.61892    
   1.823      0.35928      0.14465      0.61294    
   1.828      0.35379      0.14001      0.60474    
   1.833      0.34831      0.13643      0.59768    
   1.838      0.34284      0.13426      0.59057    
   1.843      0.33739      0.13220      0.58083    
   1.849      0.33197      0.13023      0.57290    
   1.854      0.32657      0.12598      0.56423    
   1.859      0.32120      0.12305      0.55393    
   1.864      0.31587      0.12000      0.54356    
   1.869      0.31057      0.11398      0.53765    
   1.875      0.30532      0.10966      0.53042    
   1.880      0.30011      0.10646      0.52365    
   1.885      0.29494      0.10489      0.51694    
   1.890      0.28982      0.10182      0.51018    
   1.895      0.28475      0.97827E-01  0.50280    
   1.901      0.27973      0.93692E-01  0.49382    
   1.906      0.27477      0.89914E-01  0.48746    
   1.911      0.26986      0.86322E-01  0.48149    
   1.916      0.26501      0.83276E-01  0.47409    
   1.921      0.26022      0.79725E-01  0.46662    
   1.927      0.25548      0.76625E-01  0.46051    
   1.932      0.25080      0.73025E-01  0.45578    
   1.937      0.24618      0.71007E-01  0.45164    
   1.942      0.24162      0.69790E-01  0.44666    
   1.947      0.23712      0.66902E-01  0.44132    
   1.953      0.23268      0.65104E-01  0.43303    
   1.958      0.22830      0.63360E-01  0.42646    
   1.963      0.22398      0.61668E-01  0.42158    
   1.968      0.21971      0.59866E-01  0.41538    
   1.973      0.21551      0.57221E-01  0.40884    
   1.979      0.21136      0.54670E-01  0.40343    
   1.984      0.20727      0.52212E-01  0.39695    
   1.989      0.20323      0.50290E-01  0.39082    
   1.994      0.19926      0.49492E-01  0.38645    
   1.999      0.19533      0.48532E-01  0.38196    
   2.005      0.19147      0.46163E-01  0.37720    
   2.010      0.18765      0.43805E-01  0.37199    
   2.015      0.18389      0.41678E-01  0.36611    
   2.020      0.18018      0.41285E-01  0.36007    
   2.025      0.17653      0.39089E-01  0.35509    
   2.031      0.17293      0.37328E-01  0.34934    
   2.036      0.16937      0.35422E-01  0.34488    
   2.041      0.16587      0.33600E-01  0.34008    
   2.046      0.16242      0.31857E-01  0.33467    
   2.051      0.15901      0.30191E-01  0.32787    
   2.057      0.15566      0.28599E-01  0.32100    
   2.062      0.15235      0.27079E-01  0.31444    
   2.067      0.14909      0.25628E-01  0.30738    
   2.072      0.14588      0.24244E-01  0.30344    
   2.077      0.14272      0.22923E-01  0.29945    
   2.083      0.13960      0.21664E-01  0.29421    
   2.088      0.13653      0.20464E-01  0.28900    
   2.093      0.13350      0.19321E-01  0.28384    
   2.098      0.13052      0.18232E-01  0.27872    
   2.103      0.12758      0.17196E-01  0.27364    
   2.109      0.12469      0.16210E-01  0.26859    
   2.114      0.12184      0.15272E-01  0.26359    
   2.119      0.11904      0.14367E-01  0.25749    
   2.124      0.11628      0.13498E-01  0.25231    
   2.129      0.11357      0.12674E-01  0.24818    
   2.135      0.11089      0.11893E-01  0.24401    
   2.140      0.10826      0.11154E-01  0.23922    
   2.145      0.10568      0.10453E-01  0.23447    
   2.150      0.10313      0.97911E-02  0.22977    
   2.155      0.10063      0.91563E-02  0.22511    
   2.161      0.98170E-01  0.85573E-02  0.22154    
   2.166      0.95752E-01  0.79930E-02  0.21678    
   2.171      0.93375E-01  0.74618E-02  0.21345    
   2.176      0.91039E-01  0.69618E-02  0.20878    
   2.181      0.88744E-01  0.64914E-02  0.20463    
   2.187      0.86490E-01  0.60492E-02  0.19972    
   2.192      0.84276E-01  0.56456E-02  0.19561    
   2.197      0.82102E-01  0.52728E-02  0.19205    
   2.202      0.79968E-01  0.49078E-02  0.18870    
   2.207      0.77874E-01  0.45630E-02  0.18527    
   2.213      0.75819E-01  0.42395E-02  0.18145    
   2.218      0.73802E-01  0.39360E-02  0.17765    
   2.223      0.71824E-01  0.36515E-02  0.17388    
   2.228      0.69885E-01  0.33852E-02  0.17014    
   2.233      0.67983E-01  0.31359E-02  0.16643    
   2.239      0.66120E-01  0.29038E-02  0.16292    
   2.244      0.64293E-01  0.26968E-02  0.15984    
   2.249      0.62503E-01  0.25025E-02  0.15626    
   2.254      0.60750E-01  0.23177E-02  0.15229    
   2.259      0.59034E-01  0.21438E-02  0.14838    
   2.265      0.57353E-01  0.19844E-02  0.14499    
   2.270      0.55708E-01  0.18341E-02  0.14171    
   2.275      0.54098E-01  0.16866E-02  0.13845    
   2.280      0.52522E-01  0.15498E-02  0.13522    
   2.285      0.50982E-01  0.14230E-02  0.13201    
   2.291      0.49476E-01  0.13056E-02  0.12882    
   2.296      0.48003E-01  0.11970E-02  0.12560    
   2.301      0.46564E-01  0.10966E-02  0.12179    
   2.306      0.45158E-01  0.10038E-02  0.11846    
   2.311      0.43785E-01  0.91818E-03  0.11535    
   2.317      0.42444E-01  0.83917E-03  0.11196    
   2.322      0.41136E-01  0.76635E-03  0.10897    
   2.327      0.39859E-01  0.69929E-03  0.10630    
   2.332      0.38613E-01  0.63757E-03  0.10339    
   2.337      0.37399E-01  0.58083E-03  0.10098    
   2.343      0.36215E-01  0.52871E-03  0.98827E-01
   2.348      0.35061E-01  0.48086E-03  0.96052E-01
   2.353      0.33938E-01  0.43698E-03  0.93325E-01
   2.358      0.32844E-01  0.39677E-03  0.90647E-01
   2.363      0.31779E-01  0.35996E-03  0.88017E-01
   2.369      0.30744E-01  0.32629E-03  0.85287E-01
   2.374      0.29737E-01  0.29552E-03  0.82541E-01
   2.379      0.28758E-01  0.26742E-03  0.80029E-01
   2.384      0.27807E-01  0.24178E-03  0.77844E-01
   2.389      0.26884E-01  0.21841E-03  0.75649E-01
   2.395      0.25989E-01  0.19714E-03  0.73337E-01
   2.400      0.25120E-01  0.17777E-03  0.71080E-01
   2.405      0.24278E-01  0.16018E-03  0.69053E-01
   2.410      0.23463E-01  0.14419E-03  0.67039E-01
   2.415      0.22674E-01  0.12969E-03  0.65204E-01
   2.421      0.21910E-01  0.11654E-03  0.63413E-01
   2.426      0.21172E-01  0.10464E-03  0.61666E-01
   2.431      0.20459E-01  0.93866E-04  0.59965E-01
   2.436      0.19772E-01  0.84128E-04  0.58310E-01
   2.441      0.19108E-01  0.75334E-04  0.56702E-01
   2.447      0.18470E-01  0.67400E-04  0.55141E-01
   2.452      0.17855E-01  0.60249E-04  0.53628E-01
   2.457      0.17264E-01  0.53810E-04  0.52164E-01
   2.462      0.16697E-01  0.48017E-04  0.50748E-01
   2.467      0.16153E-01  0.42811E-04  0.49382E-01
   2.473      0.15632E-01  0.38138E-04  0.48066E-01
   2.478      0.15134E-01  0.33947E-04  0.46799E-01
   2.483      0.14659E-01  0.30192E-04  0.45584E-01
   2.488      0.14206E-01  0.26833E-04  0.44419E-01
   2.493      0.13775E-01  0.23830E-04  0.43305E-01
   2.499      0.13366E-01  0.21150E-04  0.42165E-01
   2.504      0.12979E-01  0.18760E-04  0.40961E-01
   2.509      0.12614E-01  0.16632E-04  0.39992E-01
   2.514      0.12270E-01  0.14741E-04  0.39107E-01
   2.519      0.11947E-01  0.13063E-04  0.38272E-01
