#
# White Dwarf Mass Function
# Kernel Density Estimate calculation from 1772 white dwarf masses
# Source: Kilic et al. 2020, ApJ, 898, 84, Tables 3-7
#
# PDF computed using Kernel Density Estimation (KDE) by author BSR
#
# Masses are in Msun
# PDF - probability density function, dimensionless 0..1
# lower98/upper98 - 98% confidence intervals
#
Mass          PDF          lower98      upper98
  0.7635       1.1073      0.96759       1.2516    
  0.7665       1.1033      0.96231       1.2523    
  0.7695       1.0996      0.95836       1.2526    
  0.7725       1.0961      0.95989       1.2524    
  0.7755       1.0926      0.95940       1.2512    
  0.7785       1.0893      0.95644       1.2460    
  0.7815       1.0861      0.95418       1.2402    
  0.7845       1.0830      0.95491       1.2338    
  0.7875       1.0800      0.95322       1.2269    
  0.7905       1.0770      0.95166       1.2184    
  0.7935       1.0741      0.95071       1.2115    
  0.7965       1.0712      0.95029       1.2069    
  0.7995       1.0684      0.94836       1.2026    
  0.8025       1.0656      0.94147       1.1982    
  0.8055       1.0628      0.93506       1.1920    
  0.8085       1.0600      0.93301       1.1858    
  0.8115       1.0571      0.93360       1.1824    
  0.8145       1.0541      0.93295       1.1812    
  0.8175       1.0510      0.92929       1.1788    
  0.8205       1.0478      0.92562       1.1730    
  0.8235       1.0444      0.92112       1.1689    
  0.8265       1.0407      0.91665       1.1642    
  0.8295       1.0368      0.91219       1.1589    
  0.8325       1.0326      0.90769       1.1530    
  0.8355       1.0280      0.90373       1.1476    
  0.8385       1.0230      0.90125       1.1432    
  0.8415       1.0175      0.89774       1.1384    
  0.8445       1.0116      0.89223       1.1328    
  0.8475       1.0051      0.88689       1.1274    
  0.8505      0.99803      0.88116       1.1205    
  0.8535      0.99036      0.87465       1.1103    
  0.8565      0.98206      0.86658       1.1034    
  0.8595      0.97310      0.85864       1.0935    
  0.8625      0.96347      0.84502       1.0842    
  0.8655      0.95314      0.83513       1.0761    
  0.8685      0.94212      0.82662       1.0647    
  0.8715      0.93041      0.81786       1.0522    
  0.8745      0.91801      0.80881       1.0386    
  0.8775      0.90492      0.79945       1.0230    
  0.8805      0.89118      0.78976       1.0071    
  0.8835      0.87681      0.77610      0.99163    
  0.8865      0.86183      0.76149      0.97531    
  0.8895      0.84629      0.74644      0.95815    
  0.8925      0.83021      0.73005      0.94297    
  0.8955      0.81365      0.71266      0.92629    
  0.8985      0.79666      0.69516      0.90785    
  0.9015      0.77927      0.67990      0.88873    
  0.9045      0.76156      0.66598      0.86899    
  0.9075      0.74357      0.65015      0.85109    
  0.9105      0.72536      0.63518      0.83340    
  0.9135      0.70698      0.61676      0.81494    
  0.9165      0.68849      0.59834      0.79581    
  0.9195      0.66996      0.58140      0.77608    
  0.9225      0.65142      0.56505      0.75586    
  0.9255      0.63295      0.54786      0.73342    
  0.9285      0.61458      0.53129      0.71045    
  0.9315      0.59636      0.51330      0.68763    
  0.9345      0.57834      0.49564      0.66661    
  0.9375      0.56056      0.47836      0.64275    
  0.9405      0.54306      0.46147      0.62115    
  0.9435      0.52587      0.44501      0.60049    
  0.9465      0.50902      0.42900      0.58011    
  0.9495      0.49254      0.41346      0.56167    
  0.9525      0.47646      0.39841      0.54547    
  0.9555      0.46078      0.38386      0.52674    
  0.9585      0.44552      0.36981      0.51136    
  0.9615      0.43070      0.35668      0.49650    
  0.9645      0.41633      0.34424      0.48031    
  0.9675      0.40240      0.33230      0.46565    
  0.9705      0.38892      0.32086      0.45141    
  0.9735      0.37589      0.30991      0.43759    
  0.9765      0.36331      0.29819      0.42419    
  0.9795      0.35117      0.28587      0.41120    
  0.9825      0.33947      0.27557      0.39874    
  0.9855      0.32819      0.26593      0.38647    
  0.9885      0.31733      0.25684      0.37439    
  0.9915      0.30689      0.24864      0.36218    
  0.9945      0.29683      0.24088      0.35036    
  0.9975      0.28717      0.23356      0.33892    
   1.000      0.27788      0.22638      0.32796    
   1.003      0.26895      0.21931      0.31781    
   1.007      0.26038      0.21251      0.30872    
   1.010      0.25214      0.20598      0.30008    
   1.013      0.24423      0.19908      0.29172    
   1.015      0.23664      0.19194      0.28362    
   1.018      0.22935      0.18540      0.27552    
   1.021      0.22236      0.17999      0.26692    
   1.025      0.21565      0.17484      0.25931    
   1.028      0.20921      0.16967      0.25237    
   1.031      0.20304      0.16456      0.24565    
   1.033      0.19713      0.15971      0.23915    
   1.036      0.19146      0.15511      0.23286    
   1.039      0.18603      0.15012      0.22680    
   1.043      0.18083      0.14488      0.22065    
   1.046      0.17586      0.13992      0.21498    
   1.049      0.17110      0.13524      0.20981    
   1.051      0.16655      0.13144      0.20464    
   1.054      0.16219      0.12839      0.19965    
   1.058      0.15804      0.12504      0.19478    
   1.061      0.15407      0.12247      0.19014    
   1.064      0.15028      0.11979      0.18569    
   1.067      0.14666      0.11601      0.18143    
   1.069      0.14321      0.11236      0.17735    
   1.072      0.13993      0.10887      0.17345    
   1.076      0.13680      0.10553      0.16973    
   1.079      0.13381      0.10285      0.16617    
   1.082      0.13097      0.10043      0.16278    
   1.084      0.12827      0.97828E-01  0.15954    
   1.087      0.12570      0.95379E-01  0.15646    
   1.090      0.12326      0.93075E-01  0.15352    
   1.094      0.12093      0.90911E-01  0.15073    
   1.097      0.11872      0.88877E-01  0.14807    
   1.100      0.11662      0.86965E-01  0.14555    
   1.102      0.11462      0.85227E-01  0.14314    
   1.105      0.11272      0.83762E-01  0.14086    
   1.109      0.11091      0.82383E-01  0.13885    
   1.112      0.10919      0.81086E-01  0.13725    
   1.115      0.10756      0.79865E-01  0.13572    
   1.118      0.10600      0.78714E-01  0.13427    
   1.120      0.10452      0.77667E-01  0.13289    
   1.123      0.10310      0.76879E-01  0.13158    
   1.127      0.10175      0.76134E-01  0.13021    
   1.130      0.10046      0.75121E-01  0.12852    
   1.133      0.99228E-01  0.73839E-01  0.12690    
   1.135      0.98047E-01  0.73008E-01  0.12533    
   1.138      0.96915E-01  0.72217E-01  0.12390    
   1.141      0.95828E-01  0.71462E-01  0.12294    
   1.145      0.94783E-01  0.70705E-01  0.12201    
   1.148      0.93776E-01  0.69379E-01  0.12096    
   1.151      0.92804E-01  0.68447E-01  0.11950    
   1.153      0.91864E-01  0.67627E-01  0.11807    
