M_30_tams,X_30_tams,M_10_tams,X_10_tams,M_3_tams,X_3_tams,M_1_tams,X_1_tams,M_0.3_tams,X_0.3_tams
23.89891384,0.655416694,9.215248915,0.711512773,2.857982641,0.711512557,0.831438102,0.722845893,0.255178614,0.54118631
23.85125114,0.655416501,9.194264921,0.711512755,2.853763402,0.711512513,0.82925368,0.722800388,0.253981898,0.54118631
23.80358844,0.655416331,9.175008878,0.711512735,2.849429617,0.711512464,0.8247841,0.722560967,0.252757334,0.54118631
23.76892008,0.655416185,9.153279682,0.711512714,2.844978523,0.71151241,0.822498014,0.722452559,0.252130875,0.54118631
23.73425172,0.655415964,9.133495279,0.711512688,2.840407296,0.711512351,0.820211928,0.722380903,0.251504417,0.54118631
23.664915,0.655415684,9.103456958,0.711512661,2.835713044,0.711512286,0.815535294,0.722165635,0.25022264,0.54118631
23.60639296,0.655415424,9.085357867,0.71151264,2.830892812,0.711512214,0.810752321,0.721867341,0.248911487,0.54118631
23.54787093,0.655415207,9.067264375,0.71151262,2.825943578,0.711512136,0.80830672,0.721747739,0.247570442,0.54118631
23.51102291,0.655415038,9.053080524,0.711512594,2.820862249,0.71151205,0.805861119,0.721629961,0.246198982,0.54118631
23.4741749,0.655414784,9.028082631,0.711512562,2.815645664,0.711511955,0.803360456,0.721512351,0.245497782,0.541161744
23.40117371,0.655414525,9.004737853,0.711512531,2.810290594,0.711511852,0.800859794,0.721455863,0.244796582,0.541155701
23.36467312,0.655414351,8.984825917,0.711512503,2.804793737,0.711511738,0.795746443,0.721182947,0.243715198,0.541146267
23.32817253,0.6554141,8.967283156,0.711512473,2.799151717,0.711511612,0.793132802,0.721062866,0.242633813,0.541132486
23.26008576,0.655413851,8.945312512,0.711512442,2.793361089,0.711511475,0.790519162,0.720989385,0.241151746,0.541118007
23.22604238,0.655413684,8.92847945,0.711512403,2.787418332,0.711511324,0.785176043,0.720757798,0.240018698,0.541102135
23.191999,0.655413452,8.899024082,0.71151235,2.78131985,0.711511159,0.779715179,0.72043735,0.238866972,0.541081366
23.13229033,0.655413154,8.868786899,0.711512301,2.775061974,0.711510978,0.776924923,0.720306792,0.23730189,0.541061627
23.07258166,0.655412882,8.846957623,0.711512255,2.768640958,0.711510779,0.774134667,0.720177846,0.236502275,0.541046556
23.02486387,0.655412639,8.82159598,0.711512214,2.762052978,0.71151056,0.771283636,0.720045831,0.235702659,0.541021014
22.97714608,0.655412394,8.807196982,0.711512176,2.755294138,0.711510321,0.768432605,0.719913574,0.234068739,0.540980954
22.9294283,0.655412147,8.785608646,0.711512121,2.748360459,0.711510058,0.765519854,0.719776173,0.232399587,0.540932497
22.88171051,0.655411851,8.756898894,0.711512051,2.741247889,0.71150977,0.762607102,0.719638204,0.230694663,0.540887102
22.81560426,0.655411503,8.725561937,0.711511983,2.733952297,0.711509454,0.759631689,0.719495304,0.229824045,0.540860677
22.74949801,0.65541123,8.700747015,0.711511916,2.726469475,0.711509107,0.756656275,0.719348387,0.228953427,0.540842668
22.71245195,0.655411033,8.673605801,0.711511834,2.718795136,0.711508728,0.753617265,0.719199725,0.228064383,0.540810975
22.67540589,0.65541076,8.639133373,0.711511764,2.710924918,0.711508311,0.750578254,0.719098805,0.227175339,0.540746778
22.61063893,0.655410411,8.6238461,0.711511695,2.702854381,0.711507854,0.744371182,0.718761695,0.225359862,0.540650363
22.54587197,0.655410084,8.591803274,0.711511601,2.694579011,0.711507354,0.741202203,0.718603352,0.223506463,0.540534736
22.49043017,0.655409663,8.562172998,0.711511517,2.686094216,0.711506805,0.738033223,0.718484814,0.221614611,0.540428016
22.39183654,0.655409255,8.539386723,0.711511441,2.677395331,0.711506204,0.731562561,0.718172169,0.220649195,0.540365197
22.34253972,0.655408981,8.516271494,0.711511349,2.668477619,0.711505544,0.724957404,0.717761789,0.21968378,0.540320532
22.2932429,0.655408638,8.485782661,0.711511237,2.659336271,0.711504822,0.721586696,0.717571537,0.218698614,0.540246239
22.21944486,0.655408224,8.453945325,0.711511148,2.649966407,0.711504031,0.718215987,0.717366289,0.217713448,0.540148638
22.14564682,0.655407801,8.438509718,0.711511057,2.64036308,0.711503163,0.714776283,0.71716991,0.216708275,0.540048394
22.06967032,0.65540728,8.406755078,0.711510933,2.630521276,0.711502213,0.711336578,0.717035538,0.215703102,0.539882137
21.96229941,0.655406688,8.376758703,0.711510783,2.62043592,0.711501172,0.704317476,0.716674085,0.213652235,0.539757626
21.86321869,0.655406115,8.335611345,0.711510608,2.610101871,0.711500031,0.697157023,0.71622685,0.21260629,0.539640886
21.76413797,0.655405562,8.297717711,0.711510444,2.599513933,0.711498782,0.693505311,0.716011129,0.211560346,0.539414131
21.67304781,0.655405136,8.265545126,0.711510326,2.588666853,0.711497413,0.689853599,0.715792544,0.209426948,0.539156724
21.61900744,0.65540466,8.248665358,0.711510181,2.577555325,0.711495914,0.686129617,0.715566855,0.208339254,0.539000447
21.51092671,0.655404184,8.20790898,0.711509985,2.566173994,0.711494273,0.682405635,0.715338634,0.207251561,0.538881348
21.45845101,0.655403872,8.173706764,0.711509757,2.554517457,0.711492475,0.678608622,0.715101508,0.206142639,0.538695439
21.40597531,0.655403639,8.124517877,0.711509507,2.542580269,0.711491015,0.67481161,0.714862537,0.205033718,0.538438308
21.38051979,0.655403487,8.087147905,0.711509274,2.536468607,0.711489985,0.670940834,0.714622658,0.203903342,0.538227408
21.35506428,0.65540336,8.047534612,0.711509084,2.530356944,0.71148835,0.667070058,0.714377999,0.202772966,0.537945667
21.33822835,0.655403259,8.026783465,0.711508898,2.517841961,0.71148599,0.663124818,0.714119425,0.200468866,0.537476613
21.32139242,0.655403158,7.990003364,0.711508615,2.505029764,0.711483405,0.659179577,0.713842205,0.19929493,0.537151504
21.30455649,0.655403057,7.942866978,0.711508281,2.491914769,0.711481306,0.655178067,0.713556655,0.198120995,0.536644859
21.28772056,0.655402955,7.895550566,0.711507985,2.485203067,0.711479047,0.651138828,0.713268503,0.195728949,0.536094185
21.27088463,0.655402854,7.862905358,0.711507659,2.471622644,0.711476658,0.647061704,0.712976368,0.194516238,0.535767423
21.2540487,0.655402767,7.810632153,0.711507361,2.464753922,0.711474963,0.642946544,0.71267961,0.193292341,0.535306969
21.2416833,0.655402695,7.788526764,0.711507127,2.457725354,0.711473189,0.638793202,0.712381368,0.192057212,0.534935401
21.22931791,0.655402624,7.753735583,0.711506748,2.450696786,0.711470375,0.634601536,0.712076917,0.190810809,0.534408286
21.21695251,0.655402552,7.699085072,0.711506232,2.436314294,0.711466313,0.630371411,0.711798506,0.189553088,0.533989211
21.20458711,0.655402445,7.637526549,0.711505755,2.421600769,0.711463015,0.628237053,0.711638221,0.188284009,0.533505224
21.17985632,0.655402304,7.596192526,0.711505442,2.414075648,0.71146069,0.626102696,0.711475508,0.187643772,0.533233749
21.15512553,0.655402141,7.571867269,0.711505091,2.406550528,0.711458258,0.623948982,0.71131357,0.187003535,0.533020738
21.12273959,0.655401957,7.52443035,0.711504719,2.398854207,0.711455714,0.621795268,0.711110013,0.186357581,0.53278251
21.09035365,0.655401706,7.49783664,0.711504353,2.391157886,0.711451679,0.617449008,0.710787373,0.185711628,0.532533492
21.03337662,0.655401343,7.453055316,0.711503889,2.375417162,0.711445856,0.613063804,0.710492666,0.18505994,0.532300697
20.95960334,0.65540093,7.409613801,0.71150345,2.359322678,0.71144113,0.610851678,0.710321582,0.184408252,0.532151536
20.88194112,0.655400514,7.37174344,0.711503032,2.351095725,0.7114378,0.608639551,0.710148167,0.184079533,0.53201333
20.80427889,0.65540017,7.333873078,0.7115025,2.342868772,0.71143252,0.606407851,0.709976908,0.183750813,0.531754015
20.75161531,0.65539982,7.27721107,0.711502007,2.326049797,0.711424904,0.60417615,0.70975727,0.183093375,0.531404812
20.6697964,0.655399386,7.248117002,0.711501521,2.308860128,0.711418727,0.59967351,0.709430643,0.182761772,0.531211392
20.58233046,0.655398995,7.194468802,0.711501015,2.300077149,0.711414377,0.596257187,0.709164097,0.18243017,0.531049003
20.5140763,0.655398586,7.163801059,0.711500475,2.29129417,0.711407486,0.592840863,0.708916635,0.182098567,0.530915147
20.41718399,0.655398125,7.106349288,0.711499765,2.273346363,0.711397555,0.590540313,0.708728621,0.181766964,0.5307714
20.32412396,0.655397777,7.050853724,0.711499203,2.255011187,0.711389512,0.588239763,0.708507668,0.181097978,0.5305448
20.27021119,0.655397437,7.019491204,0.711498666,2.245647179,0.711383855,0.584754371,0.708223645,0.180763484,0.5303697
20.17882554,0.655397054,6.970459186,0.711498047,2.236283171,0.711374868,0.581268979,0.707901831,0.180428991,0.530161718
20.10285914,0.655396739,6.929623439,0.71149758,2.217156898,0.711365351,0.57656903,0.707550161,0.1800916,0.529978443
20.03836301,0.655396475,6.905131697,0.711497136,2.207391958,0.711358642,0.574199241,0.707270402,0.179754209,0.529810922
19.98316971,0.655396194,6.869669164,0.711496348,2.197627017,0.711351647,0.569439833,0.706900042,0.179416818,0.529640652
19.90859884,0.655395817,6.803818923,0.711495525,2.187657632,0.711344357,0.567050214,0.706636057,0.179079427,0.529467275
19.80505705,0.655395499,6.770965775,0.711494938,2.177688246,0.71133286,0.563426093,0.706299113,0.178739133,0.529308111
19.75349147,0.655395245,6.738112628,0.711494219,2.157335385,0.711320636,0.559801972,0.705908265,0.178398838,0.529089963
19.67918839,0.655395003,6.695689448,0.711493328,2.146949356,0.711312087,0.554923487,0.705489397,0.177718248,0.528922386
19.63066809,0.655394788,6.652114756,0.711492501,2.136563326,0.711298603,0.552464391,0.705231525,0.177375044,0.528786753
19.56800455,0.655394557,6.622681124,0.711491725,2.115367059,0.711284444,0.550005296,0.704876465,0.17703184,0.528593354
19.50865511,0.655394313,6.588905283,0.711490467,2.104554375,0.711274553,0.545047407,0.704335542,0.176515576,0.528355496
19.43716609,0.655393998,6.530094881,0.711489193,2.093741691,0.711264324,0.540049843,0.703770509,0.175999311,0.528143235
19.33467679,0.65539371,6.505060319,0.711488247,2.08271207,0.711253758,0.535012635,0.703177374,0.175653192,0.52798058
19.27267621,0.655393493,6.473695667,0.711486758,2.07168245,0.711237306,0.529935828,0.702552875,0.175307073,0.527819752
19.20800162,0.655393216,6.424479044,0.71148459,2.049184708,0.711220087,0.524819477,0.701896078,0.174960954,0.527625601
19.10697869,0.65539293,6.370923129,0.711482539,2.037714347,0.711208229,0.519663653,0.701211047,0.174611915,0.527486881
19.03051593,0.65539268,6.339367093,0.71147999,2.026243987,0.71119608,0.514468437,0.700496777,0.174262876,0.527279678
18.94743738,0.655392439,6.278291363,0.711476454,2.014549983,0.711183616,0.509233924,0.699747237,0.173564799,0.527133411
18.87132268,0.655392193,6.228624662,0.711472484,2.002855979,0.711170869,0.503960224,0.699097876,0.173212837,0.527003553
18.77966124,0.655391943,6.172136713,0.711468349,1.990936271,0.711157832,0.501303842,0.698687721,0.172860874,0.526863018
18.69502776,0.655391722,6.133062813,0.711463833,1.979016562,0.711141133,0.498647461,0.69810164,0.172508912,0.526595614
18.61745431,0.655391559,6.080867382,0.711459245,1.960824078,0.711123947,0.493295773,0.697226594,0.171802061,0.526329681
18.57086632,0.655391419,6.051084707,0.711455452,1.94856217,0.711106268,0.487905317,0.696306442,0.171447172,0.526186192
18.5087197,0.655391263,6.019559189,0.71144986,1.929968034,0.711088027,0.482476261,0.695339289,0.171092283,0.526066166
18.44652917,0.65539115,5.969307685,0.71144019,1.917417915,0.711072969,0.477008794,0.694322966,0.170737394,0.52592864
18.41541193,0.655391075,5.897203404,0.711431003,1.904751758,0.711053478,0.47150312,0.693254215,0.170021757,0.52561927
18.38420685,0.655391002,5.868147841,0.711425107,1.885519474,0.71103314,0.465959461,0.6921317,0.16930612,0.525115203
18.35300176,0.655390893,5.839092278,0.711415393,1.872561499,0.71101618,0.460378058,0.690953968,0.168223871,0.524678792
18.29059159,0.655390788,5.781799892,0.711404849,1.859486192,0.71099852,0.454759171,0.689958749,0.167135756,0.524317706
18.2593865,0.655390719,5.754042802,0.711394697,1.846293222,0.710975351,0.451931125,0.689315,0.166408391,0.524038255
18.22818141,0.655390663,5.707894948,0.711382255,1.826297281,0.710950805,0.449103079,0.688372211,0.165675159,0.523625511
18.20771236,0.65539062,5.671113422,0.711373295,1.812808879,0.710930064,0.443410083,0.686990956,0.164941927,0.523015629
18.1872433,0.655390555,5.652722659,0.71136651,1.79920182,0.710908255,0.437680505,0.685537059,0.16420283,0.522610888
18.14630519,0.655390428,5.631967049,0.71135913,1.785475869,0.710885298,0.431914687,0.684005641,0.163463732,0.521971646
18.06442897,0.655390315,5.611211439,0.711353709,1.771630814,0.710861103,0.426112996,0.682392517,0.161973809,0.521264007
18.03165577,0.655390252,5.602692095,0.711350497,1.757666465,0.710835583,0.420275821,0.680692741,0.161222987,0.520751327
17.99888257,0.65539016,5.594172751,0.711345493,1.743582662,0.710808647,0.414403578,0.67890166,0.160472165,0.5200968
