#
# Lane-Emden Polytrope
# n=0
#
  xi            theta         r/R*           rho/rho*
   1.18484      0.766025      0.483709       1.00000    
   1.19098      0.763594      0.486216       1.00000    
   1.19712      0.761151      0.488722       1.00000    
   1.20326      0.758695      0.491228       1.00000    
   1.20940      0.756226      0.493734       1.00000    
   1.21554      0.753745      0.496241       1.00000    
   1.22168      0.751252      0.498747       1.00000    
   1.22781      0.748745      0.501253       1.00000    
   1.23395      0.746226      0.503759       1.00000    
   1.24009      0.743695      0.506266       1.00000    
   1.24623      0.741151      0.508772       1.00000    
   1.25237      0.738595      0.511278       1.00000    
   1.25851      0.736026      0.513784       1.00000    
   1.26465      0.733444      0.516291       1.00000    
   1.27079      0.730850      0.518797       1.00000    
   1.27693      0.728243      0.521303       1.00000    
   1.28307      0.725624      0.523810       1.00000    
   1.28921      0.722992      0.526316       1.00000    
   1.29534      0.720347      0.528822       1.00000    
   1.30148      0.717690      0.531328       1.00000    
   1.30762      0.715021      0.533835       1.00000    
   1.31376      0.712339      0.536341       1.00000    
   1.31990      0.709644      0.538847       1.00000    
   1.32604      0.706936      0.541353       1.00000    
   1.33218      0.704217      0.543860       1.00000    
   1.33832      0.701484      0.546366       1.00000    
   1.34446      0.698739      0.548872       1.00000    
   1.35060      0.695982      0.551378       1.00000    
   1.35673      0.693212      0.553885       1.00000    
   1.36287      0.690429      0.556391       1.00000    
   1.36901      0.687634      0.558897       1.00000    
   1.37515      0.684826      0.561404       1.00000    
   1.38129      0.682006      0.563910       1.00000    
   1.38743      0.679173      0.566416       1.00000    
   1.39357      0.676327      0.568922       1.00000    
   1.39971      0.673469      0.571429       1.00000    
   1.40585      0.670599      0.573935       1.00000    
   1.41199      0.667716      0.576441       1.00000    
   1.41813      0.664820      0.578947       1.00000    
   1.42426      0.661912      0.581454       1.00000    
   1.43040      0.658991      0.583960       1.00000    
   1.43654      0.656057      0.586466       1.00000    
   1.44268      0.653111      0.588972       1.00000    
   1.44882      0.650153      0.591479       1.00000    
   1.45496      0.647182      0.593985       1.00000    
   1.46110      0.644198      0.596491       1.00000    
   1.46724      0.641202      0.598997       1.00000    
   1.47338      0.638193      0.601504       1.00000    
   1.47952      0.635172      0.604010       1.00000    
   1.48566      0.632138      0.606516       1.00000    
   1.49179      0.629092      0.609023       1.00000    
   1.49793      0.626033      0.611529       1.00000    
   1.50407      0.622961      0.614035       1.00000    
