#
# Lane-Emden Polytrope
# n=1.5
#
  xi            theta         r/R*           rho/rho*
   2.02376      0.487087      0.553885       2.03662    
   2.03291      0.483680      0.556391       2.01528    
   2.04207      0.480275      0.558897       1.99404    
   2.05123      0.476873      0.561404       1.97289    
   2.06038      0.473473      0.563910       1.95183    
   2.06954      0.470077      0.566416       1.93087    
   2.07870      0.466683      0.568922       1.91000    
   2.08786      0.463292      0.571429       1.88922    
   2.09701      0.459905      0.573935       1.86854    
   2.10617      0.456522      0.576441       1.84795    
   2.11533      0.453141      0.578947       1.82747    
   2.12449      0.449765      0.581454       1.80708    
   2.13364      0.446392      0.583960       1.78679    
   2.14280      0.443023      0.586466       1.76660    
   2.15196      0.439659      0.588972       1.74651    
   2.16111      0.436298      0.591479       1.72653    
   2.17027      0.432942      0.593985       1.70664    
   2.17943      0.429590      0.596491       1.68687    
   2.18859      0.426243      0.598997       1.66719    
   2.19774      0.422900      0.601504       1.64761    
   2.20690      0.419562      0.604010       1.62814    
   2.21606      0.416229      0.606516       1.60878    
   2.22522      0.412901      0.609023       1.58953    
   2.23437      0.409578      0.611529       1.57038    
   2.24353      0.406260      0.614035       1.55134    
   2.25269      0.402948      0.616541       1.53240    
   2.26184      0.399641      0.619048       1.51358    
   2.27100      0.396340      0.621554       1.49486    
   2.28016      0.393044      0.624060       1.47625    
   2.28932      0.389755      0.626566       1.45776    
   2.29847      0.386471      0.629073       1.43937    
   2.30763      0.383193      0.631579       1.42110    
   2.31679      0.379921      0.634085       1.40294    
   2.32595      0.376655      0.636591       1.38489    
   2.33510      0.373396      0.639098       1.36695    
   2.34426      0.370143      0.641604       1.34913    
   2.35342      0.366897      0.644110       1.33142    
   2.36257      0.363657      0.646616       1.31383    
   2.37173      0.360424      0.649123       1.29634    
   2.38089      0.357197      0.651629       1.27898    
   2.39005      0.353978      0.654135       1.26172    
   2.39920      0.350766      0.656642       1.24459    
   2.40836      0.347560      0.659148       1.22756    
   2.41752      0.344362      0.661654       1.21066    
   2.42668      0.341171      0.664160       1.19387    
   2.43583      0.337987      0.666667       1.17720    
   2.44499      0.334811      0.669173       1.16064    
   2.45415      0.331643      0.671679       1.14421    
   2.46330      0.328482      0.674185       1.12789    
   2.47246      0.325328      0.676692       1.11168    
   2.48162      0.322183      0.679198       1.09560    
   2.49078      0.319045      0.681704       1.07963    
   2.49993      0.315915      0.684211       1.06379    
   2.50909      0.312793      0.686717       1.04806    
   2.51825      0.309680      0.689223       1.03245    
   2.52741      0.306574      0.691729       1.01695    
   2.53656      0.303477      0.694236       1.00158    
   2.54572      0.300388      0.696742      0.986328    
   2.55488      0.297307      0.699248      0.971195    
   2.56403      0.294235      0.701754      0.956182    
   2.57319      0.291171      0.704261      0.941288    
