MG,BP-RP,MG0,BP-RP0
15.629188,0.915907,3.901087054,0.800647255
15.962238,0.988768,4.234137054,0.873508255
16.88851,1.088741,5.160409054,0.973481255
16.150536,0.992032,4.422435054,0.876772255
17.77799,1.365419,6.049889054,1.250159255
15.04667,0.902282,3.318569054,0.787022255
15.416983,0.89629,3.688882054,0.781030255
16.808372,1.088674,5.080271054,0.973414255
16.362555,1.070898,4.634454054,0.955638255
16.311241,1.009926,4.583140054,0.894666255
15.97807,0.960548,4.249969054,0.845288255
14.435835,0.838619,2.707734054,0.723359255
17.336044,1.148893,5.607943054,1.033633255
16.275621,1.060994,4.547520054,0.945734255
16.552246,1.027685,4.824145054,0.912425255
15.430302,0.979145,3.702201054,0.863885255
16.87417,1.112885,5.146069054,0.997625255
17.254595,1.228443,5.526494054,1.113183255
12.327509,1.501366,0.599408054,1.386106255
16.402819,1.017501,4.674718054,0.902241255
16.078249,0.979817,4.350148054,0.864557255
15.174328,0.892468,3.446227054,0.777208255
17.450699,1.222479,5.722598054,1.107219255
16.249886,0.951244,4.521785054,0.835984255
16.664207,1.038948,4.936106054,0.923688255
17.269297,1.182589,5.541196054,1.067329255
17.044413,1.169392,5.316312054,1.054132255
15.373569,0.900393,3.645468054,0.785133255
15.157716,0.968979,3.429615054,0.853719255
16.181843,0.986474,4.453742054,0.871214255
17.301245,1.225857,5.573144054,1.110597255
14.007121,1.338755,2.279020054,1.223495255
16.412167,1.023897,4.684066054,0.908637255
12.152717,1.399476,0.424616054,1.284216255
16.46616,0.997775,4.738059054,0.882515255
11.849277,1.216262,0.121176054,1.101002255
15.909746,0.968544,4.181645054,0.853284255
14.812104,1.005003,3.084003054,0.889743255
16.101868,0.983824,4.373767054,0.868564255
15.237457,1.059493,3.509356054,0.944233255
16.96468,1.051344,5.236579054,0.936084255
15.411051,1.02826,3.682950054,0.913000255
16.770432,1.114466,5.042331054,0.999206255
16.65353,1.04487,4.925429054,0.929610255
16.971844,1.082027,5.243743054,0.966767255
14.865274,0.799353,3.137173054,0.684093255
15.852025,0.885048,4.123924054,0.769788255
16.589268,1.040299,4.861167054,0.925039255
16.754572,1.040871,5.026471054,0.925611255
15.196499,0.876615,3.468398054,0.761355255
16.398825,0.964398,4.670724054,0.849138255
16.41592,1.044172,4.687819054,0.928912255
17.619865,1.302816,5.891764054,1.187556255
17.58494,1.493149,5.856839054,1.377889255
14.851156,0.904311,3.123055054,0.789051255
14.964429,0.891327,3.236328054,0.776067255
14.82228,0.923558,3.094179054,0.808298255
15.378293,0.874825,3.650192054,0.759565255
14.890308,0.90418,3.162207054,0.788920255
16.124445,0.984701,4.396344054,0.869441255
14.880431,1.175871,3.152330054,1.060611255
14.770028,1.148489,3.041927054,1.033229255
15.686225,0.875006,3.958124054,0.759746255
14.687953,0.92959,2.959852054,0.814330255
15.719478,0.916082,3.991377054,0.800822255
15.645221,0.884599,3.917120054,0.769339255
14.929969,0.875459,3.201868054,0.760199255
13.241329,0.729372,1.513228054,0.614112255
16.127756,0.939998,4.399655054,0.824738255
14.48366,0.894519,2.755559054,0.779259255
16.464338,1.156156,4.736237054,1.040896255
17.408789,1.201677,5.680688054,1.086417255
15.28625,0.805824,3.558149054,0.690564255
16.151297,1.044782,4.423196054,0.929522255
14.763177,0.898593,3.035076054,0.783333255
16.539663,0.990397,4.811562054,0.875137255
16.182333,0.983961,4.454232054,0.868701255
15.72505,0.901632,3.996949054,0.786372255
15.546921,0.868904,3.818820054,0.753644255
16.532673,1.018069,4.804572054,0.902809255
15.335526,0.90255,3.607425054,0.787290255
15.714517,0.913973,3.986416054,0.798713255
17.739761,1.351555,6.011660054,1.236295255
15.150697,0.916199,3.422596054,0.800939255
14.401224,0.804987,2.673123054,0.689727255
17.655115,1.518085,5.927014054,1.402825255
16.684076,1.159267,4.955975054,1.044007255
15.424253,0.873849,3.696152054,0.758589255
14.837346,0.906804,3.109245054,0.791544255
16.330221,0.928695,4.602120054,0.813435255
12.634536,1.339961,0.906435054,1.224701255
15.935571,0.916535,4.207470054,0.801275255
14.915065,0.700287,3.186964054,0.585027255
15.147632,0.875945,3.419531054,0.760685255
15.146389,0.877338,3.418288054,0.762078255
16.867508,1.086399,5.139407054,0.971139255
16.605906,1.192392,4.877805054,1.077132255
15.241488,0.843614,3.513387054,0.728354255
14.105614,0.403822,2.377513054,0.288562255
14.791259,0.901927,3.063158054,0.786667255
14.865417,0.899339,3.137316054,0.784079255
16.237095,0.96691,4.508994054,0.851650255
16.226854,0.946089,4.498753054,0.830829255
17.978773,1.63516,6.250672054,1.519900255
14.799319,0.887033,3.071218054,0.771773255
14.878053,0.785812,3.149952054,0.670552255
16.266401,1.083428,4.538300054,0.968168255
15.046577,0.856203,3.318476054,0.740943255
15.524158,0.772979,3.796057054,0.657719255
16.795702,1.064854,5.067601054,0.949594255
16.088654,0.873854,4.360553054,0.758594255
14.909978,0.874711,3.181877054,0.759451255
17.748013,1.295769,6.019912054,1.180509255
16.084917,0.991139,4.356816054,0.875879255
17.660463,1.271336,5.932362054,1.156076255
14.919562,0.879969,3.191461054,0.764709255
16.268826,0.975437,4.540725054,0.860177255
15.473943,0.859739,3.745842054,0.744479255
16.692871,1.095362,4.964770054,0.980102255
14.892562,0.873402,3.164461054,0.758142255
15.245589,0.880665,3.517488054,0.765405255
15.598642,0.973043,3.870541054,0.857783255
16.040422,0.923161,4.312321054,0.807901255
14.35777,0.791456,2.629669054,0.676196255
14.063377,0.764329,2.335276054,0.649069255
15.014481,0.887497,3.286380054,0.772237255
17.483522,1.264799,5.755421054,1.149539255
15.67275,0.890451,3.944649054,0.775191255
15.36333,0.888951,3.635229054,0.773691255
16.45504,0.986654,4.726939054,0.871394255
15.988429,0.931231,4.260328054,0.815971255
16.953302,1.133762,5.225201054,1.018502255
16.857122,1.280247,5.129021054,1.164987255
15.372491,0.861787,3.644390054,0.746527255
15.027761,1.219377,3.299660054,1.104117255
15.985929,0.974955,4.257828054,0.859695255
15.114922,0.882953,3.386821054,0.767693255
14.773571,0.922543,3.045470054,0.807283255
17.505087,1.263248,5.776986054,1.147988255
16.09046,0.952136,4.362359054,0.836876255
17.548553,1.553095,5.820452054,1.437835255
14.59273,0.653725,2.864629054,0.538465255
16.155813,0.964861,4.427712054,0.849601255
15.245543,0.863843,3.517442054,0.748583255
16.498663,0.9766,4.770562054,0.861340255
17.618553,1.515162,5.890452054,1.399902255
14.393826,1.219071,2.665725054,1.103811255
14.04822,0.703018,2.320119054,0.587758255
17.274107,1.212099,5.546006054,1.096839255
14.941326,0.860612,3.213225054,0.745352255
16.884947,1.078733,5.156846054,0.963473255
15.882224,0.958784,4.154123054,0.843524255
17.98705,1.371462,6.258949054,1.256202255
14.10212,1.239088,2.374019054,1.123828255
