MG,BP-RP,MG0,BP-RP0
14.893146,0.756599,1.602826,0.035209
15.927465,1.201684,2.637145,0.480294
15.822529,1.131126,2.532209,0.409736
12.374036,0.461705,-0.916284,-0.259685
14.704474,0.807408,1.414154,0.086018
14.474351,0.77707,1.184031,0.05568
15.032941,0.745052,1.742621,0.023662
15.230597,0.918038,1.940277,0.196648
16.465263,1.517117,3.174943,0.795727
15.065576,0.806253,1.775256,0.084863
14.594783,0.751982,1.304463,0.030592
13.802711,0.663298,0.512391,-0.058092
15.588711,0.911973,2.298391,0.190583
14.192667,0.574638,0.902347,-0.146752
11.842163,0.48711,-1.448157,-0.23428
10.449691,0.442591,-2.840629,-0.278799
14.327635,0.616098,1.037315,-0.105292
12.067343,0.353474,-1.222977,-0.367916
13.315581,0.661753,0.025261,-0.059637
10.244689,0.589217,-3.045631,-0.132173
14.705357,0.605555,1.415037,-0.115835
14.917278,0.696895,1.626958,-0.024495
12.371842,0.459045,-0.918478,-0.262345
15.187235,0.695957,1.896915,-0.025433
15.629342,0.896495,2.339022,0.175105
13.501269,0.476233,0.210949,-0.245157
16.03618,1.074388,2.74586,0.352998
14.578208,0.790596,1.287888,0.069206
14.451148,0.663504,1.160828,-0.057886
16.595991,1.484625,3.305671,0.763235
16.233656,1.340032,2.943336,0.618642
15.344421,0.950886,2.054101,0.229496
12.327249,0.496183,-0.963071,-0.225207
14.487435,0.711146,1.197115,-0.010244
13.571942,0.731936,0.281622,0.010546
16.538805,1.248844,3.248485,0.527454
15.749181,1.054858,2.458861,0.333468
12.697267,0.584905,-0.593053,-0.136485
12.027639,0.619565,-1.262681,-0.101825
16.687725,1.614914,3.397405,0.893524
13.891418,0.599612,0.601098,-0.121778
15.364304,0.804688,2.073984,0.083298
12.728951,0.454806,-0.561369,-0.266584
16.343212,1.545803,3.052892,0.824413
15.788518,1.072351,2.498198,0.350961
16.604855,1.427513,3.314535,0.706123
14.473431,0.682696,1.183111,-0.038694
14.965805,0.814796,1.675485,0.093406
15.898681,1.083686,2.608361,0.362296
16.083813,1.169719,2.793493,0.448329
14.668924,0.686898,1.378604,-0.034492
17.201988,1.480013,3.911668,0.758623
16.405453,1.169555,3.115133,0.448165
15.617685,0.985966,2.327365,0.264576
16.249788,1.327265,2.959468,0.605875
13.570079,0.609009,0.279759,-0.112381
14.35967,0.792475,1.06935,0.071085
15.614856,0.98638,2.324536,0.26499
12.811595,0.687241,-0.478725,-0.034149
15.786226,1.027827,2.495906,0.306437
16.060297,1.159926,2.769977,0.438536
13.210835,0.653421,-0.079485,-0.067969
16.801867,1.343275,3.511547,0.621885
15.558228,0.892337,2.267908,0.170947
15.119896,0.840744,1.829576,0.119354
14.47205,0.714356,1.18173,-7.03E-03
15.091715,0.850884,1.801395,0.129494
15.700421,1.060571,2.410101,0.339181
16.868147,1.30992,3.577827,0.58853
15.639193,0.949492,2.348873,0.228102
15.817917,1.134646,2.527597,0.413256
11.427032,0.496355,-1.863288,-0.225035
16.56531,1.23212,3.27499,0.51073
15.355433,0.968195,2.065113,0.246805
12.21105,0.526236,-1.07927,-0.195154
17.670238,1.726963,4.379918,1.005573
15.499658,0.991824,2.209338,0.270434
14.631541,0.713324,1.341221,-8.07E-03
15.03335,0.892986,1.74303,0.171596
17.104858,1.654112,3.814538,0.932722
16.117964,1.18572,2.827644,0.46433
16.420477,1.295732,3.130157,0.574342
13.730145,0.730954,0.439825,9.56E-03
17.627445,1.637356,4.337125,0.915966
15.993318,1.576093,2.702998,0.854703
16.714273,1.493583,3.423953,0.772193
11.29857,0.353465,-1.99175,-0.367925
12.97633,0.586364,-0.31399,-0.135026
13.44919,0.544154,0.15887,-0.177236
13.94031,0.668252,0.64999,-0.053138
15.497012,0.876022,2.206692,0.154632
15.496832,0.923055,2.206512,0.201665
14.831628,0.753486,1.541308,0.032096
14.477213,0.678989,1.186893,-0.042401
15.403532,0.885332,2.113212,0.163942
15.814292,1.03254,2.523972,0.31115
16.807127,1.344187,3.516807,0.622797
17.332094,1.562557,4.041774,0.841167
14.001376,0.723527,0.711056,2.14E-03
14.336256,0.749582,1.045936,0.028192
16.765318,1.471073,3.474998,0.749683
13.531171,0.679276,0.240851,-0.042114
15.962898,1.139832,2.672578,0.418442
13.040493,0.529719,-0.249827,-0.191671
16.599926,1.294952,3.309606,0.573562
15.063164,0.913647,1.772844,0.192257
15.619071,0.856888,2.328751,0.135498
16.771978,1.205091,3.481658,0.483701
15.801183,1.298066,2.510863,0.576676
15.359256,0.830518,2.068936,0.109128
14.690695,0.817866,1.400375,0.096476
16.471735,1.519025,3.181415,0.797635
16.511002,1.216872,3.220682,0.495482
14.61142,0.808774,1.3211,0.087384
15.075875,0.78395,1.785555,0.06256
12.651218,0.545527,-0.639102,-0.175863
16.422268,1.256139,3.131948,0.534749
14.356682,0.709158,1.066362,-0.012232
16.868732,1.418934,3.578412,0.697544
16.594978,1.316981,3.304658,0.595591
15.840577,1.099978,2.550257,0.378588
13.655724,0.69667,0.365404,-0.02472
17.829824,1.656889,4.539504,0.935499
13.340903,0.59981,0.050583,-0.12158
13.984034,0.693246,0.693714,-0.028144
12.996785,0.366703,-0.293535,-0.354687
15.633941,0.917896,2.343621,0.196506
15.040029,1.092129,1.749709,0.370739
15.240133,0.72708,1.949813,5.69E-03
12.568023,0.409547,-0.722297,-0.311843
16.239597,1.064129,2.949277,0.342739
16.47583,1.271943,3.18551,0.550553
15.714416,0.995612,2.424096,0.274222
15.452029,0.891347,2.161709,0.169957
14.982051,1.04492,1.691731,0.32353
16.03814,1.133225,2.74782,0.411835
15.845743,1.021645,2.555423,0.300255
16.5381,1.273919,3.24778,0.552529
14.019255,0.708256,0.728935,-0.013134
13.954992,0.774496,0.664672,0.053106
14.760137,0.622241,1.469817,-0.099149
13.127615,0.53987,-0.162705,-0.18152
15.211688,0.892308,1.921368,0.170918
10.44579,0.41788,-2.84453,-0.30351
15.925308,1.090826,2.634988,0.369436
16.802221,1.427348,3.511901,0.705958
16.763758,1.346472,3.473438,0.625082
15.924495,1.018645,2.634175,0.297255
10.858016,0.389008,-2.432304,-0.332382
13.572271,0.563618,0.281951,-0.157772
16.61124,1.39546,3.32092,0.67407
16.818102,1.501922,3.527782,0.780532
13.653721,0.637365,0.363401,-0.084025
15.275118,0.765709,1.984798,0.044319
16.170898,1.160964,2.880578,0.439574
13.018151,0.551416,-0.272169,-0.169974
13.389777,0.501149,0.099457,-0.220241
14.178823,0.593339,0.888503,-0.128051
16.765242,1.370399,3.474922,0.649009
15.427439,0.906892,2.137119,0.185502
17.13466,1.588423,3.84434,0.867033
15.79463,1.021292,2.50431,0.299902
14.483652,0.889037,1.193332,0.167647
14.355285,0.718422,1.064965,-2.97E-03
13.892621,0.65209,0.602301,-0.0693
15.97395,1.069643,2.68363,0.348253
13.373936,0.594779,0.083616,-0.126611
15.051728,0.733318,1.761408,0.011928
17.038328,1.43615,3.748008,0.71476
15.652015,1.022135,2.361695,0.300745
16.494942,1.30707,3.204622,0.58568
13.851309,0.615057,0.560989,-0.106333
12.327783,0.591737,-0.962537,-0.129653
13.340288,0.612527,0.049968,-0.108863
12.3137,0.549633,-0.97662,-0.171757
15.613412,1.30185,2.323092,0.58046
15.747327,1.066884,2.457007,0.345494
14.303843,0.829608,1.013523,0.108218
13.808905,0.725466,0.518585,4.08E-03
16.109556,1.25181,2.819236,0.53042
15.410451,0.955844,2.120131,0.234454
15.402836,0.84744,2.112516,0.12605
15.88649,1.097769,2.59617,0.376379
14.272685,0.945281,0.982365,0.223891
14.559813,0.871186,1.269493,0.149796
16.29711,1.214912,3.00679,0.493522
14.637048,0.779732,1.346728,0.058342
9.277315,0.559303,-4.013005,-0.162087
10.376941,0.348615,-2.913379,-0.372775
16.516111,1.248166,3.225791,0.526776
14.09839,0.739329,0.80807,0.017939
15.699417,1.048084,2.409097,0.326694
16.886837,1.439734,3.596517,0.718344
15.502245,0.854191,2.211925,0.132801
12.589449,0.603501,-0.700871,-0.117889
9.722717,0.517909,-3.567603,-0.203481
14.925648,1.052806,1.635328,0.331416
16.5284,1.293183,3.23808,0.571793
