MG,BP-RP0,MG0
17.83258,2.985195,11.48258
17.405617,2.959103,11.055617
16.061613,2.675167,9.711613
17.382774,2.974682,11.032774
16.815947,2.985034,10.465947
16.644999,2.819424,10.294999
10.646946,0.784739,4.296946
15.392621,2.431501,9.042621
16.956245,3.067306,10.606245
15.67214,2.731355,9.32214
14.130426,1.817674,7.780426
17.8237,3.016258,11.4737
15.561769,2.417846,9.211769
17.960318,-0.170671,11.610318
16.881556,2.819182,10.531556
17.598343,2.852024,11.248343
12.634912,1.228107,6.284912
16.834274,2.725674,10.484274
15.568941,2.407417,9.218941
7.445495,0.210229,1.095495
16.59066,2.676813,10.24066
17.40716,2.849346,11.05716
11.632771,0.959216,5.282771
15.485078,2.336685,9.135078
15.831954,2.451525,9.481954
12.843854,1.354617,6.493854
6.398721,0.857468,0.048721
14.000644,2.02849,7.650644
13.411098,1.509164,7.061098
14.330465,2.077154,7.980465
16.722311,2.753281,10.372311
12.736012,1.282837,6.386012
13.569841,1.594852,7.219841
12.864726,1.34383,6.514726
16.179205,2.581723,9.829205
17.106905,2.882451,10.756905
16.740978,2.980139,10.390978
10.405282,0.746738,4.055282
14.20535,1.848088,7.85535
17.091986,2.893169,10.741986
14.418907,1.895837,8.068907
15.150976,2.208155,8.800976
12.092864,1.088665,5.742864
8.270773,0.296872,1.920773
17.94889,3.065161,11.59889
17.423227,2.826344,11.073227
16.315823,2.701616,9.965823
14.257169,1.86222,7.907169
17.168179,2.932433,10.818179
11.727034,1.000024,5.377034
17.852737,3.219431,11.502737
17.081114,2.986648,10.731114
15.989424,2.617142,9.639424
14.144938,1.806148,7.794938
15.531444,2.375963,9.181444
10.141285,0.812773,3.791285
15.476082,2.351531,9.126082
13.41127,1.621648,7.06127
14.253985,1.858961,7.903985
15.452684,2.290584,9.102684
14.603752,1.987623,8.253752
8.102281,0.279319,1.752281
9.289046,0.547331,2.939046
16.86107,2.875066,10.51107
14.762062,2.366318,8.412062
11.104402,0.846066,4.754402
16.09472,2.49905,9.74472
17.99936,-0.140526,11.64936
13.517692,1.917506,7.167692
16.410301,2.625894,10.060301
9.13425,0.535205,2.78425
15.678181,2.401536,9.328181
17.751745,3.033785,11.401745
15.300904,2.247039,8.950904
14.630075,2.070018,8.280075
14.679636,2.240642,8.329636
17.281286,3.187015,10.931286
11.37837,1.084157,5.02837
16.677282,2.836155,10.327282
16.064177,2.693816,9.714177
14.38916,1.894032,8.03916
17.347422,2.870386,10.997422
9.565113,0.587802,3.215113
8.825713,0.438999,2.475713
17.842836,2.815241,11.492836
11.136425,0.87141,4.786425
9.062223,0.617923,2.712223
14.92628,2.067903,8.57628
15.271186,2.3128,8.921186
11.338902,0.909723,4.988902
13.371037,1.514719,7.021037
9.237013,0.54523,2.887013
16.047983,2.537527,9.697983
10.18534,0.759286,3.83534
8.418925,0.366143,2.068925
16.404968,2.774144,10.054968
16.576437,2.728973,10.226437
14.666873,2.178419,8.316873
17.507631,2.809851,11.157631
11.456929,0.961606,5.106929
17.560879,2.808445,11.210879
15.749805,2.374906,9.399805
15.167747,2.230088,8.817747
11.244787,0.897959,4.894787
14.585188,2.239028,8.235188
17.498556,2.844822,11.148556
10.657494,0.761968,4.307494
14.749161,2.101496,8.399161
16.531239,2.704665,10.181239
9.991372,0.644856,3.641372
16.98931,2.890495,10.63931
11.28608,0.898509,4.93608
11.137974,0.863907,4.787974
17.575352,2.899567,11.225352
13.76608,1.690332,7.41608
15.395498,2.255087,9.045498
15.602679,2.537961,9.252679
7.720846,0.245715,1.370846
16.148317,2.55036,9.798317
15.190063,2.175819,8.840063
15.109928,2.279884,8.759928
12.174534,1.097082,5.824534
16.86871,2.845074,10.51871
17.614002,2.745119,11.264002
15.736834,2.46192,9.386834
15.2034,2.290132,8.8534
9.522808,0.578919,3.172808
14.041553,1.941709,7.691553
13.054496,1.391873,6.704496
15.161952,2.200008,8.811952
11.519134,0.94993,5.169134
15.000509,2.407653,8.650509
17.509039,2.969317,11.159039
16.99988,2.795277,10.64988
7.442123,0.1736,1.092123
16.287292,2.635932,9.937292
17.499914,2.950855,11.149914
15.748719,2.479238,9.398719
13.525853,1.566646,7.175853
14.089082,1.80543,7.739082
14.814798,2.091639,8.464798
14.799256,2.022502,8.449256
16.042955,2.856303,9.692955
15.448435,2.298034,9.098435
16.901033,3.006391,10.551033
8.195648,0.325625,1.845648
17.400774,2.808044,11.050774
12.594963,1.204204,6.244963
17.314087,3.070515,10.964087
12.092326,1.09627,5.742326
16.66049,2.693528,10.31049
16.820768,2.788464,10.470768
11.253525,0.865968,4.903525
11.850224,1.106168,5.500224
11.096676,0.845544,4.746676
17.932285,3.087082,11.582285
16.242851,2.668973,9.892851
16.156738,2.755827,9.806738
11.475761,0.929473,5.125761
15.621715,2.250018,9.271715
13.841472,1.700802,7.491472
15.066672,2.177094,8.716672
17.761276,2.892061,11.411276
12.356578,1.149239,6.006578
14.973074,2.08907,8.623074
14.801935,2.052839,8.451935
12.568403,1.314331,6.218403
16.915438,2.735016,10.565438
17.105745,3.089068,10.755745
14.663329,2.067913,8.313329
14.828403,2.063739,8.478403
14.103219,1.785678,7.753219
17.849834,3.093393,11.499834
17.589998,3.219673,11.239998
17.817993,3.018003,11.467993
17.78207,3.034193,11.43207
13.902045,1.699085,7.552045
16.777275,2.913757,10.427275
12.459369,1.185756,6.109369
16.355093,2.55868,10.005093
16.041742,2.552825,9.691742
15.885694,2.427055,9.535694
13.134215,1.41865,6.784215
