#  
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-07-12T23:48:21 [V1.99+ (14-Oct-2013)]
#
# nav=cat:J/AcA/49/223&tab:{J/AcA/49/223/lmc_sc}&key:source=J/AcA/49/223/lmc_sc&HTTPPRM:&
# source=J/AcA/49/223/lmc_sc
# RESOURCE=yCat_120490223
# Name: J/AcA/49/223
# Title: BVI photometry of OGLE LMC Cepheids (Udalski+, 1999)
# Table J_AcA_49_223_lmc_sc:
# Name: J/AcA/49/223/lmc_sc
# Title: *Catalog of Cepheids from the LMC_SC fields
#---Details of Columns:
#    Field      (a8)    LMC-SC field designation (LMC-SC) [ucd=obs.field]
#    Seq        (I6)    Sequential number in the field [ucd=meta.id]
#    Per (d)    (F8.5)  Period [ucd=time.period]
#    Imag (mag) (F6.3)  ? Mean I magnitude [ucd=phot.mag;em.opt.I]
#    Type       (A2)    Classification type (1) [ucd=meta.code;src.var]
Field     Seq    Per     Imag   Type
LMC-SC4  436115  2.73682 15.394 FU
LMC-SC4  444352  1.46360 15.941 FO
LMC-SC4  452813  1.54589 16.729 FA
LMC-SC4  461188 25.40999 17.882 FA
LMC-SC4  462268 18.93282 18.355 FA
LMC-SC5      12  3.23227 15.323 FU
LMC-SC5      16  3.16732 15.197 FU
LMC-SC5      19  2.97304 15.486 FU
LMC-SC5      63  3.35425 15.629 FU
LMC-SC5      93  2.75104 15.492 FU
LMC-SC5      94  2.66854 15.387 FU
LMC-SC5    6197  2.71916 15.561 FU
LMC-SC5   12934  4.83109 14.803 FU
LMC-SC5   13053  2.65592 15.621 FU
LMC-SC5   13161 18.76287 16.625 FA
LMC-SC5   19786  3.56713 15.072 FU
LMC-SC5   19806  2.58067 15.571 FU
LMC-SC5   26913  5.73854 14.622 FU
LMC-SC5   26915  5.62565 14.792 FU
LMC-SC5   26917  8.22125 15.204 FA
LMC-SC5   27004  1.68116 15.811 FO
LMC-SC5   41272  6.01317 14.521 FO
LMC-SC5   41285  4.33283 14.906 FU
LMC-SC5   49713  3.66119 15.010 FU
LMC-SC5   58237  3.81884 14.983 FU
LMC-SC5   58244  2.08008 15.344 FO
LMC-SC5   67063  7.39390 14.217 FU
LMC-SC5   67261  0.94713 16.378 FO
LMC-SC5   75989  2.23832 15.113 FO
LMC-SC5   76001  3.06673 15.153 FU
LMC-SC5   76136  2.44415 15.662 FU
LMC-SC5   92750 20.96696 16.914 FA
LMC-SC5   99563  3.34573 15.173 FU
LMC-SC5   99645  2.65611 15.644 FU
LMC-SC5  106159  4.61999 14.832 FU
LMC-SC5  106184  5.06341 14.757 FU
