 time        mag       err
3021.73963   14.788    0.006
3023.60160   14.972    0.006
3024.80263   14.935    0.006
3026.79893   14.900    0.006
3028.81091   14.932    0.006
3031.67288   14.978    0.006
3033.73681   14.793    0.006
3035.74317   15.021    0.006
3038.72155   14.919    0.006
3041.58973   14.790    0.006
3043.62513   15.029    0.006
3045.65881   14.817    0.006
3047.61289   14.997    0.006
3049.61850   14.833    0.006
3051.58578   15.011    0.006
3053.58090   14.842    0.006
3055.58005   14.993    0.006
3057.60487   14.849    0.006
3060.62738   14.794    0.006
3064.63170   14.781    0.006
3067.68869   14.927    0.006
3070.53704   14.987    0.006
3073.60455   14.912    0.006
3075.65295   14.877    0.006
3078.57307   14.984    0.006
3082.56244   15.032    0.006
3084.63936   14.817    0.006
3087.60102   14.802    0.006
3090.56480   15.012    0.006
3102.53126   14.970    0.006
3105.56506   14.993    0.006
3108.54352   14.871    0.006
3112.51488   14.925    0.006
3116.50217   14.924    0.006
3126.50789   14.844    0.006
3146.47041   14.809    0.006
3241.89543   14.996    0.006
3256.90680   14.957    0.006
3263.88165   14.860    0.006
3268.89723   14.972    0.006
3273.87249   14.957    0.006
3277.86169   14.946    0.006
3281.85180   14.911    0.006
3287.71335   14.904    0.006
3289.86552   14.860    0.006
3294.86098   14.847    0.006
3296.86873   14.993    0.006
3301.71972   14.843    0.006
3304.78236   14.981    0.006
3306.86337   14.863    0.006
3311.69048   14.968    0.006
3320.73326   14.927    0.006
3327.70228   14.991    0.006
3329.85289   14.812    0.006
3334.75886   14.951    0.006
3338.80898   14.952    0.006
3350.64080   14.976    0.006
3354.64096   15.007    0.006
3358.69444   14.991    0.006
3361.79990   14.930    0.006
3363.74966   14.884    0.006
3367.70345   14.862    0.006
3372.72188   14.826    0.006
3378.63462   15.012    0.006
3387.62096   14.808    0.006
3391.70218   14.777    0.006
3395.69360   14.804    0.006
3399.66970   14.783    0.006
3402.68655   14.860    0.006
3404.61712   14.918    0.006
3408.56773   14.920    0.006
3412.61316   14.929    0.006
3416.59656   14.955    0.006
3424.59964   14.981    0.006
3437.51229   14.931    0.006
3445.51702   14.861    0.006
3453.53876   14.830    0.006
3462.51404   14.861    0.006
3589.92743   14.812    0.006
3629.85249   14.853    0.006
3634.81785   14.978    0.006
3639.87075   14.942    0.006
3641.86165   14.893    0.006
3650.85697   15.015    0.006
3653.88483   14.941    0.006
3657.83807   14.937    0.006
3661.82193   14.959    0.006
3671.85100   14.772    0.006
3675.83358   14.824    0.006
3683.85468   14.807    0.006
3687.74740   14.776    0.006
3689.84788   15.020    0.006
3692.77174   14.953    0.006
3694.78665   14.823    0.006
3696.72911   14.957    0.006
3699.73167   14.837    0.006
3701.78467   14.992    0.006
3704.69173   14.959    0.006
3706.82053   14.809    0.006
3711.69418   14.878    0.006
3713.70793   14.977    0.006
3716.80707   14.991    0.006
3719.78797   14.922    0.006
3725.77965   14.882    0.006
3730.64976   14.794    0.006
3732.67426   15.020    0.006
3734.77223   14.834    0.006
3736.78863   15.009    0.006
3737.67718   14.841    0.006
3739.77619   14.973    0.006
3742.59918   14.856    0.006
3745.71066   14.806    0.006
3747.74024   14.975    0.006
3749.62305   14.809    0.006
3751.72719   14.997    0.006
3753.59883   14.803    0.006
3755.63638   14.995    0.006
3757.66982   14.781    0.006
3759.73347   15.017    0.006
3762.72180   14.925    0.006
3765.74033   14.811    0.006
3770.58185   14.928    0.006
3773.58921   14.831    0.006
3776.58825   14.838    0.006
3779.57829   15.004    0.006
3782.62802   14.983    0.006
3787.55289   14.991    0.006
3791.60009   14.959    0.006
3799.52460   14.936    0.006
3821.50264   14.967    0.006
3945.92731   14.952    0.006
3963.92344   14.816    0.006
3969.85388   15.005    0.006
3975.90392   14.790    0.006
3981.83314   15.005    0.006
3995.88353   14.864    0.006
4001.83662   14.977    0.006
4005.81447   14.927    0.006
4007.81852   14.906    0.006
4011.81867   14.921    0.006
