 time      mag    err
4357.87887 14.769 0.006
4363.80351 14.862 0.006
4366.85409 14.908 0.006
4369.89463 14.896 0.006
4372.79756 14.862 0.006
4376.88794 14.775 0.006
4379.89436 14.760 0.006
4386.75550 14.960 0.006
4393.76644 14.974 0.006
4398.84267 15.101 0.006
4403.84909 14.901 0.006
4411.77803 14.832 0.006
4411.83973 14.853 0.006
4418.72885 14.881 0.006
4422.82544 14.808 0.006
4429.75668 15.115 0.006
4432.69361 15.032 0.006
4436.73301 14.897 0.006
4439.79870 14.895 0.006
4443.66839 14.952 0.006
4448.82239 15.077 0.006
4451.66260 14.996 0.006
4455.66139 14.853 0.006
4457.71692 14.909 0.006
4460.74699 15.068 0.006
4464.70967 14.913 0.006
4467.70218 14.915 0.006
4471.70390 15.059 0.006
4476.67094 15.034 0.006
4480.67072 14.872 0.006
4484.74976 14.952 0.006
4488.67228 14.916 0.006
4493.67441 14.921 0.006
4498.65269 14.937 0.006
4501.64573 14.911 0.006
4506.58384 14.873 0.006
4508.59383 14.704 0.006
4510.67312 15.074 0.006
4516.62286 14.773 0.006
4519.69439 14.892 0.006
4521.53803 14.984 0.006
4530.60267 15.090 0.006
4532.63096 14.908 0.006
4537.59260 14.915 0.006
4540.64377 14.902 0.006
