Mass,Radius
1.2777,11.1803
1.3237,10.9909
1.6846,11.4109
1.496,11.03
1.537,10.6503
1.3733,10.8131
1.3299,11.1917
1.5097,11.7892
1.1702,10.8
1.4732,11.0667
1.4495,10.9944
1.3381,11.6941
0.9407,10.2439
1.4518,11.1988
1.4802,10.6605
1.1285,10.8615
1.2633,10.8317
1.0807,10.9162
1.2746,10.7537
1.0783,10.9449
1.2741,10.8475
1.3988,11.5284
1.1895,11.112
1.0888,10.4472
1.0266,10.5956
0.9582,10.4263
1.1196,10.799
1.246,11.1334
1.3073,11.4323
1.0205,10.558
0.9615,10.1649
0.9485,10.0048
1.2521,10.7554
0.9122,9.9727
1.2296,11.0833
0.9082,10.2146
1.0367,10.405
1.1595,10.7715
1.0008,10.6296
0.8944,10.0472
1.0308,10.5306
0.9032,10.154
0.9728,10.4302
1.0341,10.7938
0.9022,10.1868
0.9402,10.7682
1.2863,10.8054
2.1604,8.874
2.2192,11.0379
1.2466,11.4434
1.9547,7.841
1.8827,11.0402
2.1869,8.1533
1.7825,10.9752
1.5594,10.8935
1.1389,10.5111
1.6784,11.0348
1.3939,11.4777
1.686,11.5153
1.1507,11.0727
1.7579,11.2623
1.4577,11.0624
1.07,10.3416
1.4051,11.1001
1.148,10.6896
1.3198,10.981
1.2258,11.1465
1.3916,10.937
1.1021,10.8375
1.3534,11.151
1.0244,10.6751
1.0361,11.1437
1.2592,11.0892
1.2337,11.015
1.3916,11.2177
1.2282,10.8871
1.6372,11.7347
1.2101,10.9118
1.2361,10.9693
1.1762,10.8464
1.1184,10.906
1.1142,10.3991
1.2456,11.6395
1.2324,12.2162
1.0987,10.6772
1.5073,10.81
1.0911,10.5766
1.1896,10.6276
1.6899,12.2461
1.2744,11.1668
1.064,10.8242
0.9339,10.0732
1.3394,11.0818
1.1194,10.7248
1.1007,10.8392
1.1765,10.6105
1.1708,10.8721
0.9956,10.2706
1.1709,10.8069
1.0533,10.5648
1.296,11.1925
1.0695,10.4772
1.0201,10.8591
1.0179,10.4271
0.9162,10.1789
1.0356,12.5364
1.1609,11.1339
1.0873,10.5135
1.243,11.1904
0.9808,10.2122
1.0081,10.3629
0.9547,10.2925
0.9356,10.3122
1.3686,11.7028
1.9949,10.0247
1.8778,9.2259
1.1191,10.6465
1.2135,11.004
1.228,11.3963
1.3879,11.4643
1.1758,11.0569
1.4572,11.3203
1.2243,11.2051
1.1371,10.8231
1.2598,11.2904
1.2099,11.0503
0.987,10.1604
1.2952,10.9417
1.1109,11.2718
1.1517,10.6467
1.043,11.781
1.184,11.5971
1.0837,10.813
1.0367,11.2674
1.0923,11.1875
0.9544,11.3579
2.2749,8.8109
1.2722,11.3598
1.8307,10.8303
1.1362,11.2891
1.334,10.8921
1.0484,10.9909
1.0539,10.4701
1.2842,11.7475
1.4952,10.9192
1.167,10.6764
1.5971,11.1027
1.1758,10.6502
0.988,10.3949
1.1227,10.4981
1.2529,11.1868
1.5036,11.3447
0.9023,10.4413
0.9152,10.2278
1.2341,11.3929
2.1108,8.5136
2.2079,14.1603
2.1894,10.1013
1.1825,11.3362
1.4012,11.7043
1.0193,10.3691
1.5346,12.2268
1.2432,11.0282
1.4401,10.7788
1.0388,10.5267
1.4746,11.0215
1.4759,11.7002
1.0283,8.6665
1.5064,11.0635
1.5943,11.0115
1.6082,10.9773
1.0794,10.4413
1.3863,11.1821
1.7452,10.8001
1.4802,11.106
2.176,8.3082
1.7307,10.4285
1.4249,11.088
1.5079,10.9719
1.3283,10.9849
1.2684,10.983
1.2693,10.7935
2.3497,8.5453
1.4434,10.7337
2.5665,12.2005
1.269,10.7856
1.544,11.2243
1.2257,10.807
1.3173,11.2057
1.1689,10.9819
1.5949,11.0057
1.0757,11.221
1.0213,10.397
1.5584,11.9201
0.9219,10.2301
1.9425,7.9668
1.7854,10.4839
1.4135,10.987
1.837,9.45
1.9595,9.4385
1.8273,9.4783
1.6283,10.8621
1.598,11.1572
1.9751,11.137
1.1883,10.8063
1.1612,11.1082
1.3661,10.8934
1.3485,10.7737
1.0175,10.2773
1.0641,10.8462
0.9557,10.3674
0.8813,10.0947
0.9014,10.4902
1.6603,10.6384
2.1142,8.8204
1.5048,11.5492
1.7435,10.5494
1.2098,10.8904
1.326,11.1677
1.4395,10.8962
1.4465,10.7782
1.4422,11.4684
1.0524,10.7123
1.2511,13.0986
2.0273,8.5771
1.2581,10.8306
0.9701,10.1288
1.8639,10.2851
1.4489,11.1209
1.0756,10.3774
1.8337,11.2977
1.0895,10.4631
1.0372,10.4739
0.955,10.2261
2.0601,8.5016
2.2082,11.163
1.8641,10.5022
1.6439,10.964
1.5007,10.9187
1.4148,10.8744
1.6882,10.7748
1.2873,11.1119
1.7417,10.5251
1.0152,10.6309
1.1765,10.8132
1.1643,10.9541
1.1132,10.8333
1.7722,10.3385
2.0618,9.7407
1.8077,10.99
1.7015,11.7085
1.3512,10.9938
1.2836,12.2797
1.6229,11.064
1.3124,11.0044
2.1095,10.4676
1.9165,11.1605
1.0989,10.6314
1.0416,10.9197
2.6757,11.0937
1.8104,10.7803
1.5739,11.3609
1.3489,12.2444
1.7508,10.7103
1.5343,10.9424
1.2264,10.6651
1.0853,10.4831
1.067,10.5495
0.9133,10.0265
2.1048,9.3051
1.4264,10.9431
1.2624,10.6523
1.0299,10.7598
2.0848,9.383
1.9442,9.6883
1.4647,10.987
1.6544,11.1526
0.9689,10.3318
1.0658,10.9164
1.8749,11.4504
1.3273,12.4059
1.4354,11.7883
1.3337,10.9602
0.947,10.1349
1.4471,12.1313
0.9291,10.1045
2.506,11.4596
2.0681,8.7653
1.4776,11.4172
1.0831,10.995
1.0598,10.6302
1.1981,10.6735
1.1432,11.0758
1.1284,10.9387
2.0349,8.7304
1.0299,10.5817
1.0271,11.7812
2.108,8.7179
1.7591,11.4795
1.536,10.8199
1.3369,10.9538
1.5871,11.5263
1.7878,12.9156
1.2308,12.4335
1.3076,10.5671
1.0934,11.8188
2.0579,9.5971
2.1769,9.7
0.9932,10.3361
1.6572,11.0807
1.1385,11.2345
1.4479,11.0088
1.9335,10.3147
1.7833,10.9185
2.5183,12.0275
1.1846,10.6466
1.0003,10.3017
0.9972,10.2692
1.3256,11.5297
1.0779,10.6652
1.9211,8.9945
1.4462,11.2422
1.7367,10.3846
1.6014,10.7412
1.3256,10.8702
1.2953,10.6796
1.0962,10.5136
1.5604,10.8379
1.1352,10.992
1.1007,10.5903
1.3507,10.6584
1.2503,10.7632
1.0233,10.4364
1.2661,10.796
0.9558,10.4708
1.0709,10.9277
0.9808,10.9704
2.4051,8.7919
2.0485,9.864
1.5076,10.9754
1.6299,10.9202
1.3962,12.3741
1.0913,10.7512
0.9705,10.2856
1.1851,10.7397
1.0315,10.7468
1.1596,10.7579
1.1455,10.557
1.2293,10.8778
1.0834,10.9782
