Mass,Radius
1.3264,8.5761
1.4798,6.0765
1.048,5.1066
1.3823,9.2689
1.1065,8.0983
1.5528,8.155
1.4898,14.5422
1.0478,5.3722
1.138,6.9328
1.295,5.3297
1.4416,8.1413
1.1854,5.3918
1.1088,5.8244
1.5673,6.2385
1.1156,9.3375
1.387,14.0637
1.2061,9.3302
1.1962,7.1393
1.1617,7.7582
1.2286,4.9304
1.0718,7.9844
1.1196,5.7586
1.0843,5.7984
1.7648,9.8452
1.0408,6.9445
1.2393,8.6437
1.0755,5.7887
1.0136,8.837
1.1457,10.181
1.5165,10.7289
1.4367,6.0962
1.1328,8.4128
1.2219,5.4421
1.1818,6.3503
1.4019,10.4138
1.1876,5.3789
1.4707,9.7143
1.2362,8.3186
1.2189,5.3775
1.178,8.2333
1.1702,6.9902
1.1951,6.5212
1.3464,8.7869
0.9589,8.4344
1.3736,5.0597
1.4086,10.9917
1.2238,5.8256
1.0967,6.6375
1.462,6.5025
1.4006,8.1103
1.1391,7.3725
1.1741,8.761
1.051,13.2607
1.2211,4.9197
1.3265,9.1863
1.54,10.6132
1.2151,7.3666
1.2409,7.0912
1.052,4.7744
1.0635,12.7122
1.3135,7.0575
1.2125,8.3335
1.1941,6.4207
1.2645,5.5044
1.2501,8.8983
1.5587,9.2902
1.3079,7.4867
1.9142,12.6729
1.1311,7.4631
1.3145,10.6799
1.0671,6.596
1.1566,12.2146
1.0972,7.8205
1.0313,7.8797
1.0527,7.605
1.0283,7.9841
0.9866,8.8558
1.0226,8.3726
1.1432,4.9849
1.1024,4.3781
1.2314,9.069
1.2969,7.9138
1.1662,5.4667
1.2851,10.1812
1.5845,10.3229
1.3372,8.313
1.3622,5.5862
1.3945,7.2672
1.3217,6.3292
1.2161,5.1658
1.1585,5.2825
1.4983,6.2476
1.1605,7.3899
1.1028,9.3741
1.2192,5.1628
1.0924,11.7278
1.0262,6.3669
1.0997,12.5606
0.9943,5.3812
1.4635,6.532
1.1809,4.4884
1.4252,6.1312
1.2865,8.4719
1.1555,8.9316
1.2266,6.4352
1.143,5.9062
1.4868,7.8632
1.0825,4.9965
1.0784,6.4826
1.0403,11.3044
1.0499,6.3779
1.2078,5.7859
1.3585,4.9965
1.1025,4.3703
1.1387,8.8793
1.2955,11.7471
1.0628,8.526
1.0213,5.0214
1.0112,9.3573
1.1266,8.4677
1.115,9.7627
1.4218,6.0452
1.1746,7.4081
1.3362,9.4229
1.0785,8.9498
1.5516,15.181
1.1181,7.6039
1.2512,5.1196
1.144,6.4506
1.2436,9.7262
1.1665,8.8983
1.3153,9.307
1.1013,9.5691
0.9995,8.1076
1.0075,7.6138
1.7116,10.8777
1.2134,6.6316
1.4753,4.9588
1.1308,7.5596
1.3751,7.7813
1.5088,9.7163
1.2862,4.6137
1.2907,8.7913
1.1479,6.6417
1.1418,9.3047
1.0458,7.7845
1.1435,4.6137
1.0559,7.9383
1.0109,4.9212
1.2001,6.0011
1.1203,5.3114
1.179,6.0748
1.6796,6.0559
1.2232,5.0231
1.188,9.3449
1.2805,4.8793
1.1487,4.4836
1.0411,9.8941
1.1359,5.2544
1.1642,4.7326
1.1976,12.1234
0.9713,8.7489
1.0185,7.9983
1.9212,5.894
1.6538,9.352
1.4577,5.3309
1.3071,5.4489
1.6804,8.4746
1.4654,10.1473
1.1761,5.7734
1.3014,5.1231
1.4561,5.6105
1.2652,5.8975
1.2828,4.6638
1.3929,5.4117
1.1655,5.7004
1.282,5.0115
1.0454,7.7233
1.4342,5.0675
1.0868,8.404
1.2073,5.6761
1.2026,4.9158
1.008,4.8505
1.328,5.1754
1.2077,9.4187
1.2573,5.7178
1.1487,10.9869
1.1177,5.1503
1.0178,5.1744
1.0238,11.72
1.2073,9.2757
1.0012,8.7396
1.0561,9.0618
1.0142,7.7611
0.9972,6.5712
1.2709,5.1252
1.322,5.9853
1.4858,5.6953
1.4976,6.4808
1.4344,6.5127
1.6287,5.8636
1.3239,5.7577
1.1783,6.8226
1.1394,5.1088
1.7541,8.0665
1.297,5.2531
1.2777,6.0347
1.3783,7.503
1.1485,4.5982
1.1887,5.8925
1.1885,4.8246
1.2352,10.0133
1.5902,8.9473
2.0216,9.3214
1.2298,7.3335
1.5251,6.5907
1.3727,7.7155
1.2639,20.5438
1.1297,5.3137
1.1257,5.9599
1.129,5.8379
1.1162,5.2219
1.5226,6.182
1.3018,7.3557
1.1931,5.9229
1.1831,7.1327
1.1938,6.4864
1.088,4.883
1.0472,5.1893
1.1203,7.0048
1.1837,7.121
1.0545,5.3513
0.9613,4.408
0.9661,7.6836
1.378,5.2053
1.5033,7.0275
1.3112,4.8798
1.4464,6.3044
1.2638,6.0128
1.7047,8.6774
1.3913,6.2842
1.4853,8.172
1.2155,5.3739
1.2375,6.2388
1.3485,6.8492
1.1833,6.9214
1.4509,7.226
1.5212,5.0911
1.3717,8.0476
1.2849,9.1563
1.0887,5.2288
1.355,10.324
1.2309,5.31
1.558,7.0078
1.5725,7.5391
1.0292,4.4501
1.1367,6.9387
1.3037,9.1131
0.9567,6.7918
1.1403,8.4776
1.0762,5.1554
1.1075,8.1612
1.2938,10.0137
1.0113,5.9309
2.1836,15.874
1.0254,7.3357
1.2277,8.853
1.0762,7.0347
1.0518,7.2553
1.0908,9.1509
1.0421,9.2187
1.0769,8.3053
1.2134,10.5734
1.0845,8.1746
1.0845,8.3143
1.7126,11.0815
1.5296,6.4449
1.2826,9.5946
1.2579,5.7572
1.2061,8.8835
1.4729,9.2208
1.4398,10.2101
1.5133,11.0188
1.4805,10.1106
1.1488,6.483
1.4688,9.7845
1.0572,4.5471
1.237,7.4827
1.1282,7.6638
1.2159,4.677
1.5046,11.766
1.2977,10.4552
1.0209,5.0587
1.2397,10.0111
1.4896,9.3904
1.0188,5.5524
1.0164,8.0608
1.2257,9.1797
1.3087,9.2727
1.3684,7.0105
1.2586,6.8788
