logTeff_1,logL_1,Stage_1,logTeff_3,logL_3,Stage_3,logTeff_10,logL_10,Stage_10,logTeff_30,logL_30,Stage_30
3.650474953,1.581855481,2,3.792681658,2.191626885,2,3.965859488,4.073086782,2,4.273835795,5.519646753,2
3.649067076,1.605056138,2,3.789419137,2.187927209,2,3.960042018,4.070499748,2,4.271804323,5.519782773,2
3.647642108,1.628241878,2,3.786169423,2.184065918,2,3.954224452,4.067883459,2,4.269770699,5.519914452,2
3.646197133,1.651410125,2,3.782932754,2.180043689,2,3.948406895,4.065234894,2,4.26773659,5.520058099,2
3.644747453,1.674577661,2,3.779707513,2.175887668,2,3.942589271,4.062558445,2,4.265702036,5.520211606,2
3.643268519,1.697707181,2,3.776498907,2.171543689,2,3.936771747,4.059853701,2,4.263666095,5.520366056,2
3.641772831,1.720823835,2,3.773312032,2.166967988,2,3.930954089,4.057122726,2,4.261629414,5.520528484,2
3.640267923,1.743936532,2,3.770154877,2.162103445,2,3.925136454,4.054366363,2,4.259591532,5.520689936,2
3.638732818,1.767009213,2,3.767037386,2.156888661,2,3.9193189,4.051583859,2,4.257553171,5.520864378,2
3.637195286,1.790086067,2,3.76397938,2.151201154,2,3.91350136,4.048776998,2,4.255513978,5.521042477,2
3.635624967,1.813126065,2,3.761018148,2.14483685,2,3.907683843,4.04594802,2,4.253474644,5.521238688,2
3.634061518,1.836163426,2,3.758149341,2.137892337,2,3.90186653,4.043093484,2,4.251434412,5.521432805,2
3.63247555,1.859182796,2,3.755358182,2.130493549,2,3.896049069,4.040216076,2,4.249393619,5.52163179,2
3.63088142,1.88218945,2,3.752636811,2.122712698,2,3.890231891,4.037316706,2,4.247352458,5.521839972,2
3.629266432,1.905155317,2,3.749984786,2.114577558,2,3.884414873,4.034395243,2,4.245310858,5.522052756,2
3.627646445,1.928136215,2,3.747417138,2.106039954,2,3.87859789,4.031455999,2,4.243268894,5.522276894,2
3.625992173,1.951074803,2,3.744937659,2.097114617,2,3.872781289,4.028488554,2,4.241226626,5.522506737,2
3.624307663,1.973980988,2,3.742536353,2.087866348,2,3.866964981,4.025497601,2,4.239184168,5.522747957,2
3.622619231,1.996883514,2,3.740198394,2.078365758,2,3.861149031,4.022480881,2,4.237141594,5.523002963,2
3.620904591,2.019747559,2,3.737938684,2.068577337,2,3.85533357,4.019437123,2,4.235098616,5.523253243,2
3.61919201,2.042621198,2,3.735748634,2.058545369,2,3.849518722,4.016362319,2,4.233055528,5.523518375,2
3.617450087,2.06544846,2,3.733598943,2.048372822,2,3.843704522,4.013256787,2,4.231012256,5.523785937,2
3.615699598,2.088261969,2,3.731493389,2.03806329,2,3.837891111,4.010116386,2,4.228968866,5.524059824,2
3.613948528,2.111085966,2,3.729419576,2.027653095,2,3.832078569,4.006941061,2,4.226925446,5.524348224,2
3.612164153,2.133859564,2,3.727364676,2.01718507,2,3.826266968,4.003728788,2,4.224881842,5.524635612,2
3.610381549,2.156642544,2,3.725313132,2.006716142,2,3.82045638,4.000478206,2,4.222838336,5.524949161,2
3.608559775,2.179369465,2,3.723232069,1.996347175,2,3.814646859,3.997189087,2,4.220794717,5.525261322,2
3.606729878,2.202089876,2,3.721090978,1.986184311,2,3.808838723,3.99385367,2,4.218750859,5.525553389,2
3.604880983,2.224785992,2,3.718851542,1.976410721,2,3.803032033,3.990470576,2,4.216707166,5.525881484,2
3.603015759,2.247459536,2,3.716456415,1.967338829,2,3.797226909,3.987037604,2,4.214663489,5.526221695,2
3.601143845,2.270124708,2,3.713832322,1.959554576,2,3.791423484,3.983552841,2,4.212619711,5.526556373,2
3.599256592,2.29276797,2,3.710918134,1.954091207,2,3.785621875,3.980014146,2,4.210575792,5.5268779,2
3.59734915,2.315381082,2,3.707789899,1.952767413,2,3.77982247,3.976412513,2,4.208531997,5.527225121,2
3.595436696,2.337987757,2,3.704807916,1.956360308,2,3.774025548,3.972742588,2,4.206488228,5.527582456,2
3.593511573,2.36057567,2,3.702192188,1.963230119,2,3.768231219,3.969002916,2,4.204444414,5.527938715,2
3.591566847,2.383133405,2,3.699904741,1.971835345,2,3.762439508,3.965194755,2,4.202400497,5.528284924,2
3.589610102,2.405676071,2,3.69789506,1.981508841,2,3.756651326,3.961297556,2,4.2003567,5.528654064,2
3.587627364,2.428175904,2,3.696085686,1.991793556,2,3.75086663,3.957314902,2,4.198312936,5.529032925,2
3.585619673,2.450627226,2,3.694392532,2.002398143,2,3.745086001,3.953235605,2,4.196269131,5.529410514,2
3.583628438,2.473082463,2,3.692808282,2.013264992,2,3.739309905,3.949052122,2,4.194225162,5.529768709,2
3.58160452,2.495500051,2,3.691301804,2.024322133,2,3.73353837,3.944766296,2,4.192181343,5.53015296,2
3.579578743,2.517902077,2,3.689848112,2.035537116,2,3.727772957,3.940348437,2,4.190137511,5.530540454,2
3.577552898,2.54030112,2,3.688399303,2.046855416,2,3.722014268,3.935790369,2,4.188093639,5.530927339,2
3.575524053,2.562714867,2,3.687009058,2.058458376,2,3.71626323,3.93107869,2,4.186049775,5.53132064,2
3.573483014,2.585095879,2,3.68563849,2.070286791,2,3.710520997,3.926197028,2,4.184005821,5.531706094,2
3.57143049,2.607443934,2,3.684318264,2.082311158,2,3.70479011,3.921105767,2,4.181961847,5.53209358,2
3.56935084,2.629774976,2,3.683029614,2.09444773,2,3.699072849,3.915775134,2,4.179917919,5.532492699,2
3.567262865,2.652053447,2,3.681789369,2.106603752,2,3.693374182,3.910136637,2,4.177873912,5.53288924,2
3.565166379,2.674328709,2,3.680558769,2.11875394,2,3.687704592,3.90405419,2,4.17582993,5.533295332,2
3.563020833,2.69653653,2,3.679372946,2.13094545,2,3.682081365,3.897331675,2,4.173785931,5.533706026,2
3.5609006,2.718748624,2,3.678189706,2.143111383,2,3.676528648,3.88974493,2,4.171741883,5.534118072,2
3.558765654,2.740935968,2,3.677065628,2.155359675,2,3.671074032,3.881104628,2,4.169697658,5.534513016,2
3.55663094,2.763118601,2,3.67592016,2.167559724,2,3.665752537,3.871235063,2,4.167653352,5.534901681,2
3.554459936,2.785269806,2,3.674804332,2.179804046,2,3.660592076,3.860089852,2,4.165608982,5.535286824,2
3.552329121,2.807454748,2,3.673695384,2.192060249,2,3.655667215,3.847485683,2,4.163564865,5.535723193,2
3.550180173,2.829577898,2,3.672611492,2.204357637,2,3.65088498,3.83429708,2,4.161520392,5.5361188,2
3.5479902,2.851664815,2,3.671537326,2.216674563,2,3.646602689,3.818349057,2,4.159475797,5.536503962,2
3.545819704,2.873790858,2,3.670462197,2.228992398,2,3.642334766,3.802373542,2,4.157431138,5.536887708,2
3.543615002,2.895855798,2,3.669392364,2.241325616,2,3.63762077,3.788956317,2,4.155386418,5.537277752,2
3.541408413,2.917927085,2,3.668332372,2.253678595,2,3.632230985,3.782662456,2,4.15334168,5.537679635,2
3.539176759,2.939960214,2,3.667274455,2.266030023,2,3.626760727,3.787996646,2,4.151296881,5.538087857,2
3.536950817,2.962005713,2,3.666228898,2.278408221,2,3.622148206,3.802089643,2,4.149251871,5.538479075,2
3.534701732,2.983990478,2,3.66517202,2.29077534,2,3.618307646,3.819768655,2,4.147206656,5.538844693,2
3.532456677,3.005991344,2,3.664139273,2.30318796,2,3.614956665,3.83902421,2,4.145161408,5.539221075,2
3.530209875,3.027989704,2,3.663081438,2.315589891,2,3.611892969,3.859047025,2,4.143116164,5.539622475,2
3.527954195,3.049976705,2,3.662040633,2.328013579,2,3.609028505,3.879544195,2,4.141070595,5.539984196,2
3.525694033,3.071936097,2,3.660993403,2.340427061,2,3.606293261,3.900323609,2,4.139025048,5.540382266,2
3.523410871,3.093853165,2,3.659966871,2.352872081,2,3.603657962,3.921311371,2,4.136979339,5.540771253,2
3.521122322,3.115755668,2,3.658965267,2.365354373,2,3.601083594,3.942421091,2,4.13493334,5.541109207,2
3.518840318,3.137611356,2,3.657941525,2.377811739,2,3.598566883,3.963642008,2,4.13288723,5.541457097,2
3.51652866,3.159467543,2,3.656928428,2.390245852,2,3.596084156,3.98492695,2,4.130841001,5.541816057,2
3.514195038,3.181298843,2,3.655930337,2.402748458,2,3.593629375,4.006263968,2,4.128794615,5.542184477,2
3.511837986,3.203074011,2,3.65492197,2.415193795,2,3.591205267,4.027656182,2,4.126747993,5.542542404,2
3.509471652,3.224839895,2,3.653955528,2.427722162,2,3.588790316,4.049063871,2,4.124701169,5.542880118,2
3.507092451,3.24655153,2,3.652965308,2.440246769,2,3.586390988,4.070496767,2,4.122654186,5.543212788,2
3.504697594,3.268221891,2,3.651967352,2.452793215,2,3.583995196,4.091931487,2,4.120607027,5.543549939,2
3.502292204,3.289876498,2,3.650969428,2.465279453,2,3.581603382,4.113365079,2,4.118559529,5.543932785,2
3.499871489,3.311513875,2,3.649985668,2.477855487,2,3.579218012,4.134785361,2,4.116511982,5.544214542,2
3.497412214,3.332980039,2,3.649009182,2.490401764,2,3.576830892,4.156129719,2,4.114464226,5.544518542,2
3.494949096,3.354401331,2,3.647993908,2.5029295,2,3.574487213,4.177211069,2,4.112416049,5.544879561,2
3.492473182,3.375632933,2,3.647005826,2.515487212,2,3.572216793,4.197661151,2,4.110367878,5.545138345,2
3.663532515,1.696417437,3,3.645986609,2.528023383,2,3.570036204,4.217324323,2,4.10831921,5.545451922,2
3.66353283,1.696413533,3,3.644950562,2.540531587,2,3.567893709,4.237270087,2,4.106270288,5.545756268,2
3.663533089,1.696410425,3,3.643938164,2.553107009,2,3.565679485,4.258201612,2,4.104221435,5.546001846,2
3.663533298,1.69640787,3,3.642930024,2.56569308,2,3.563679682,4.277327391,2,4.10217178,5.546302271,2
3.66353361,1.696403904,3,3.641890459,2.578231444,2,3.562279542,4.291645285,2,4.100121903,5.546576908,2
3.663533967,1.696400099,3,3.640852542,2.590801485,2,3.562281171,4.291812957,2,4.098071692,5.546843167,2
3.663534501,1.696393207,3,3.639788985,2.603339224,2,3.562301252,4.291810706,2,4.096020821,5.547128583,2
3.663535158,1.696385384,3,3.638748262,2.615943194,2,3.562356241,4.291482248,2,4.093970353,5.547341444,2
3.663536232,1.69637255,3,3.637692495,2.628525423,2,3.562423041,4.290943773,2,4.091919007,5.547587115,2
3.663539524,1.696332459,3,3.636610415,2.641099838,2,3.562486774,4.290304337,2,4.089866956,5.547839969,2
3.663594073,1.695690057,3,3.635520899,2.65369104,2,3.562578744,4.289625148,2,4.087814677,5.548068368,2
3.663907286,1.692226188,3,3.634445036,2.666337384,2,3.562672589,4.288923688,2,4.085762371,5.548269127,2
3.663897553,1.692007135,3,3.633362192,2.679000785,2,3.562767872,4.28820969,2,4.08370917,5.548482584,2
3.663592551,1.695554533,3,3.632291819,2.691415954,2,3.562863716,4.287486995,2,4.081655477,5.548688917,2
3.663856221,1.695239058,3,3.631628453,2.698992456,2,3.562959987,4.286757962,2,4.079601366,5.548884882,2
3.664300265,1.693759772,3,3.631665083,2.698627187,2,3.56305799,4.286025092,2,4.077545838,5.549100409,2
3.664666324,1.692987633,3,3.631762816,2.697553303,2,3.563158612,4.285290035,2,4.074936394,5.549291695,2
3.664816959,1.693925744,3,3.631900314,2.696008073,2,3.563255881,4.284545582,2,4.072321111,5.549561357,2
3.664955705,1.693390882,3,3.632065352,2.694146274,2,3.563354994,4.283798615,2,4.069707729,5.549721839,2
3.665640244,1.686258809,3,3.632249441,2.692069818,2,3.563452519,4.283044889,2,4.067086928,5.549964987,2
3.665385806,1.68853628,3,3.632445291,2.689837014,2,3.563549909,4.282286498,2,4.064467123,5.55013096,2
3.66425655,1.70092849,3,3.632650832,2.687476012,2,3.563647442,4.281524396,2,4.061840269,5.550346539,2
3.663838616,1.709728901,3,3.632864864,2.685032368,2,3.563745103,4.28075863,2,4.05921396,5.550508922,2
3.664794214,1.707207778,3,3.633086314,2.68251033,2,3.563850459,4.280001291,2,4.056581059,5.550702085,2
3.665478308,1.7074341,3,3.633314442,2.67993055,2,3.563948779,4.279227993,2,4.053945252,5.55088061,2
3.666523354,1.704590901,3,3.633546857,2.677287619,2,3.564047752,4.278452467,2,4.051307068,5.551048309,2
3.66628208,1.712342038,3,3.633822558,2.674646764,2,3.564149317,4.277677032,2,4.0486664,5.551208921,2
3.66539611,1.723223247,3,3.634078394,2.671878925,2,3.564251591,4.276898875,2,4.046022802,5.551366821,2
3.664492914,1.733277183,3,3.634327982,2.669033505,2,3.564348695,4.276109672,2,4.043376556,5.551521902,2
3.663470683,1.74425382,3,3.634591459,2.666119209,2,3.564445487,4.275316679,3,4.040726752,5.551679818,2
3.662495618,1.754545011,3,3.634855186,2.663096899,2,3.564546959,4.274526927,3,4.038074009,5.551832916,2
3.661369629,1.766370293,3,3.635125699,2.659984952,2,3.569150231,4.236932121,3,4.035416842,5.551989662,2
3.660235959,1.778263243,3,3.635400748,2.656786335,2,3.573983834,4.197565826,3,4.032755436,5.55215009,2
3.659645692,1.784725273,3,3.63572222,2.653573167,2,3.579061618,4.158549916,3,4.030089312,5.552314577,2
3.660463813,1.776767454,3,3.636012212,2.650243996,2,3.584599194,4.122024655,3,4.027416387,5.552490446,2
3.660211562,1.779246195,3,3.636304597,2.646868868,2,3.59175021,4.097817007,3,4.024736479,5.552675562,2
3.659932683,1.782267796,3,3.636621114,2.64349295,2,3.599765111,4.131937472,3,4.022048081,5.552872781,2
3.659592596,1.785964412,3,3.636912146,2.640053383,2,3.606714951,4.170528623,3,4.019348833,5.553086087,2
3.659254791,1.789911098,3,3.637220751,2.636625698,2,3.614357464,4.205570007,3,4.016637817,5.553313848,2
3.659504846,1.788083738,3,3.63752374,2.6331808,2,3.623782987,4.232219722,3,4.013911088,5.55356256,2
3.660605134,1.777609408,3,3.637816836,2.629719522,2,3.634938774,4.244528251,3,4.011165227,5.553830814,3
