logTeff_30,logL_30,State_30
4.126747993,5.542542404,2
4.124701169,5.542880118,2
4.122654186,5.543212788,2
4.120607027,5.543549939,2
4.118559529,5.543932785,2
4.116511982,5.544214542,2
4.114464226,5.544518542,2
4.112416049,5.544879561,2
4.110367878,5.545138345,2
4.10831921,5.545451922,2
4.106270288,5.545756268,2
4.104221435,5.546001846,2
4.10217178,5.546302271,2
4.100121903,5.546576908,2
4.098071692,5.546843167,2
4.096020821,5.547128583,2
4.093970353,5.547341444,2
4.091919007,5.547587115,2
4.089866956,5.547839969,2
4.087814677,5.548068368,2
4.085762371,5.548269127,2
4.08370917,5.548482584,2
4.081655477,5.548688917,2
4.079601366,5.548884882,2
4.077545838,5.549100409,2
4.074936394,5.549291695,2
4.072321111,5.549561357,2
4.069707729,5.549721839,2
4.067086928,5.549964987,2
4.064467123,5.55013096,2
4.061840269,5.550346539,2
4.05921396,5.550508922,2
4.056581059,5.550702085,2
4.053945252,5.55088061,2
4.051307068,5.551048309,2
4.0486664,5.551208921,2
4.046022802,5.551366821,2
4.043376556,5.551521902,2
4.040726752,5.551679818,2
4.038074009,5.551832916,2
4.035416842,5.551989662,2
4.032755436,5.55215009,2
4.030089312,5.552314577,2
4.027416387,5.552490446,2
4.024736479,5.552675562,2
4.022048081,5.552872781,2
4.019348833,5.553086087,2
4.016637817,5.553313848,2
4.013911088,5.55356256,2
4.011165227,5.553830814,3
4.008396683,5.554123603,3
4.001349508,5.554959247,3
3.994104032,5.555909093,3
3.986128528,5.556911209,3
3.978009103,5.557985435,3
3.969667792,5.559194983,3
3.961056455,5.560571567,3
3.952394995,5.561948925,3
3.944259919,5.562936118,3
3.936121118,5.563902114,3
3.927931007,5.564884328,3
3.91973223,5.565836282,3
3.911540084,5.566763417,3
3.903329766,5.567683586,3
3.895131453,5.568571284,3
3.886886515,5.5694635,3
3.878636023,5.570343265,3
3.870379646,5.571197975,3
3.862146134,5.572001133,3
3.853809202,5.572852356,3
3.844701088,5.574083865,3
3.834504327,5.576423384,3
3.823992583,5.578218745,3
3.814254276,5.57958789,3
3.803992865,5.581197672,3
3.791208319,5.585935964,3
3.800983723,5.590297412,3
3.812180058,5.592504609,3
3.822354941,5.594248331,3
3.832209798,5.595839268,3
3.842016874,5.597403237,3
3.851813428,5.598962179,3
3.861719694,5.600568506,3
3.871917511,5.602300389,3
3.882709351,5.604295022,3
3.894361373,5.606698019,3
3.907497205,5.610176515,3
3.911696371,5.612629343,3
3.912178812,5.614159264,3
3.911292465,5.615684605,3
3.906757501,5.61677227,3
3.900785523,5.617122056,3
3.894561081,5.617255704,3
3.8881545,5.617245183,3
3.881643235,5.617135986,3
3.875010778,5.616920623,3
3.868306245,5.61667355,3
3.861550136,5.616385833,3
3.854766749,5.616064688,3
3.847950489,5.615726544,3
3.841111364,5.615353886,3
3.83426125,5.614975074,3
3.827391428,5.614568642,3
3.820518636,5.614163612,3
3.813648489,5.613686092,3
3.806760884,5.613214546,3
3.799861762,5.61268507,3
3.792961533,5.612170154,3
3.786061982,5.611626298,3
3.779250519,5.611137973,3
3.772390539,5.61032233,3
3.765468283,5.609367389,3
3.758519246,5.608564745,3
