#
# Uniform-density and polytropic Sun models
# source: Ryden calculation
#
# units:
#  R/Rsun - dimensionless
#  uniRho - density in g/cm^3, uniform-density model
#  uniP - pressure in atm, uniform-density model
#  uniT - temperature in K, uniform-density model
#  polyRho - density in g/cm^3, polytropic model
#  polyP - pressure in atm, polytropic model
#  polyT - temperature in K, polytropic model
# 
R/Rsun        uniRho      uniP         uniT          polyRho     polyP        polyT
0.87701       1.4098      0.30473E+09  0.16160E+07  0.52802E-02  0.41402E+06  0.59092E+06
0.88744       1.4098      0.28045E+09  0.14872E+07  0.39072E-02  0.27710E+06  0.53448E+06
0.89708       1.4098      0.25772E+09  0.13667E+07  0.28911E-02  0.18545E+06  0.48343E+06
0.90599       1.4098      0.23652E+09  0.12543E+07  0.21392E-02  0.12411E+06  0.43725E+06
0.91420       1.4098      0.21679E+09  0.11497E+07  0.15828E-02   83057.      0.39547E+06
0.92176       1.4098      0.19848E+09  0.10525E+07  0.11711E-02   55581.      0.35769E+06
0.92870       1.4098      0.18152E+09  0.96261E+06  0.86644E-03   37194.      0.32351E+06
0.93507       1.4098      0.16585E+09  0.87949E+06  0.64104E-03   24888.      0.29260E+06
0.94091       1.4098      0.15139E+09  0.80283E+06  0.47426E-03   16654.      0.26464E+06
0.94625       1.4098      0.13808E+09  0.73224E+06  0.35087E-03   11143.      0.23935E+06
0.95114       1.4098      0.12584E+09  0.66735E+06  0.25958E-03   7456.2      0.21647E+06
0.95560       1.4098      0.11461E+09  0.60778E+06  0.19204E-03   4988.9      0.19578E+06
0.95967       1.4098      0.10431E+09  0.55318E+06  0.14207E-03   3338.0      0.17707E+06
0.96339       1.4098      0.94888E+08  0.50320E+06  0.10510E-03   2233.4      0.16015E+06
0.96677       1.4098      0.86268E+08  0.45748E+06  0.77752E-04   1494.3      0.14484E+06
0.96985       1.4098      0.78393E+08  0.41572E+06  0.57519E-04   999.77      0.13099E+06
0.97265       1.4098      0.71205E+08  0.37760E+06  0.42550E-04   668.89      0.11847E+06
0.97520       1.4098      0.64651E+08  0.34285E+06  0.31477E-04   447.52      0.10715E+06
0.97752       1.4098      0.58678E+08  0.31117E+06  0.23285E-04   299.41       96904.    
0.97963       1.4098      0.53240E+08  0.28233E+06  0.17225E-04   200.31       87640.    
0.98154       1.4098      0.48290E+08  0.25609E+06  0.12742E-04   134.01       79261.    
