G,BP-RP,MG
15.4153,0.2504,0.8203
19.7654,0.2507,5.1704
19.8599,0.2508,5.2649
19.5251,0.2513,4.9301
20.1955,0.2574,5.6005
20.3399,0.2634,5.7449
15.4909,0.2635,0.8959
20.3228,0.2636,5.7278
15.1814,0.2636,0.5864
19.7177,0.2644,5.1227
15.9939,0.2648,1.3989
15.495,0.2668,0.9
15.1156,0.267,0.5206
20.3568,0.2671,5.7618
15.8595,0.268,1.2645
15.1552,0.2686,0.5602
20.5979,0.2703,6.0029
20.7527,0.2707,6.1577
20.4115,0.2709,5.8165
19.0051,0.2714,4.4101
15.278,0.2715,0.683
15.5477,0.2719,0.9527
20.11,0.2732,5.515
15.1553,0.276,0.5603
20.2603,0.2794,5.6653
15.972,0.2799,1.377
20.7241,0.2827,6.1291
18.933,0.2827,4.338
19.7795,0.2833,5.1845
20.5777,0.2839,5.9827
15.1567,0.2842,0.5617
16.6157,0.2847,2.0207
19.5513,0.2859,4.9563
20.5241,0.2872,5.9291
16.0368,0.2888,1.4418
20.2271,0.2891,5.6321
20.6119,0.2894,6.0169
20.1735,0.29,5.5785
15.6259,0.2911,1.0309
18.7561,0.2921,4.1611
19.6645,0.2936,5.0695
20.2884,0.2941,5.6934
19.4115,0.2961,4.8165
20.5596,0.2973,5.9646
19.3302,0.2998,4.7352
19.7661,0.3002,5.1711
14.9986,0.3014,0.4036
19.6463,0.3019,5.0513
18.9747,0.3024,4.3797
20.7218,0.3027,6.1268
19.2777,0.3035,4.6827
15.2593,0.3068,0.6643
19.8427,0.3069,5.2477
15.4983,0.3073,0.9033
15.9949,0.3074,1.3999
20.8092,0.3081,6.2142
19.934,0.3083,5.339
15.4445,0.3084,0.8495
15.8963,0.3093,1.3013
17.0888,0.3105,2.4938
19.9305,0.3107,5.3355
20.5438,0.3111,5.9488
20.7329,0.3125,6.1379
19.9149,0.313,5.3199
16.0108,0.3131,1.4158
15.0561,0.3156,0.4611
15.1932,0.3177,0.5982
19.9016,0.3178,5.3066
19.1476,0.3183,4.5526
18.0986,0.3192,3.5036
15.0545,0.3197,0.4595
15.0998,0.3208,0.5048
15.772,0.321,1.177
19.3314,0.3269,4.7364
15.8203,0.3276,1.2253
20.0205,0.3293,5.4255
20.1678,0.3296,5.5728
15.127,0.3308,0.532
18.805,0.3312,4.21
15.482,0.3316,0.887
19.5766,0.3321,4.9816
20.2079,0.3325,5.6129
16.545,0.3356,1.95
20.3821,0.3361,5.7871
20.1005,0.3365,5.5055
18.9123,0.3369,4.3173
20.8222,0.3391,6.2272
15.135,0.3398,0.54
20.3887,0.3401,5.7937
20.6278,0.3406,6.0328
20.5499,0.3411,5.9549
19.8668,0.3458,5.2718
20.8298,0.346,6.2348
20.6414,0.3464,6.0464
20.7722,0.3489,6.1772
20.8069,0.3489,6.2119
19.4118,0.3489,4.8168
20.0802,0.3496,5.4852
20.3303,0.3509,5.7353
20.7306,0.3515,6.1356
18.9295,0.3527,4.3345
18.8863,0.3531,4.2913
20.3136,0.3538,5.7186
15.6118,0.3538,1.0168
20.8369,0.3551,6.2419
19.7279,0.3552,5.1329
15.0757,0.3574,0.4807
20.0387,0.3601,5.4437
16.1505,0.3607,1.5555
17.7597,0.3611,3.1647
15.1582,0.3612,0.5632
15.0966,0.3616,0.5016
20.5831,0.3618,5.9881
19.7593,0.3619,5.1643
20.8776,0.3621,6.2826
