logT_1_zahb,logrho_1_zahb,logT_3_zahb,logrho_3_zahb,logT_10_zahb,logrho_10_zahb,logT_30_zahb,logrho_30_zahb,logT_1_heignite,logrho_1_heignite,logT_3_heignite,logrho_3_heignite,M_zams,logT_zams,logrho_zams,M_zahb,logT_zahb,logrho_zahb
6.449877321,-1.562104964,6.084160288,-2.455388548,5.929866329,-4.290222043,5.71938463,-5.752921234,6.40753219,-2.962164683,5.981906141,-2.883073463,,,,,,
6.454409285,-1.547930661,6.088591935,-2.448438946,5.929866736,-4.290220778,5.7243943,-5.730637039,6.414931903,-2.937806415,5.987093011,-2.874831269,,,,,,
6.460512997,-1.528516988,6.093057893,-2.441432442,5.929867042,-4.29021983,5.729328096,-5.708871895,6.419901374,-2.921577454,5.990611465,-2.869218764,,,,,,
6.466668965,-1.508759462,6.09755973,-2.434366483,5.929867246,-4.290219197,5.734187605,-5.687609597,6.424921217,-2.905060261,5.993798486,-2.864172513,,,,,,
6.472877563,-1.488652564,6.102099125,-2.427238346,5.929867398,-4.290218723,5.738974446,-5.666834148,6.429991981,-2.888253383,5.998834575,-2.856185295,,,,,,
6.477600004,-1.473104704,6.10667787,-2.420045113,5.9298675,-4.290218407,5.743690267,-5.646529919,6.435114209,-2.871155778,6.003252923,-2.849124766,,,,,,
6.480779561,-1.4626709,6.11129789,-2.412783662,5.929867577,-4.29021817,5.748336719,-5.626681561,6.440288434,-2.853766837,6.007714363,-2.842057887,,,,,,
6.485559394,-1.447032721,6.114796482,-2.407262646,5.929867628,-4.290218012,5.752915507,-5.607274475,6.44551518,-2.836086407,6.012292632,-2.834731657,,,,,,
6.491994908,-1.425594939,6.11831336,-2.401751021,5.929867666,-4.290217893,5.757428294,-5.588290698,6.449481214,-2.822478418,6.016534181,-2.827997912,,,,,,
6.498480494,-1.403774485,6.123045899,-2.394303847,5.929867691,-4.290217814,5.761876727,-5.569723255,6.452134593,-2.813422918,6.022847002,-2.817955936,,,,,,
6.503390646,-1.386949082,6.127827633,-2.386775571,5.92986771,-4.290217755,5.766262356,-5.551554519,6.456128527,-2.799862718,6.028155106,-2.809428606,,,,,,
6.506669626,-1.375750465,6.132661231,-2.379161847,5.929867723,-4.290217715,5.770586661,-5.533770558,6.461515854,-2.781311842,6.033116062,-2.801546721,,,,,,
6.511595062,-1.358975285,6.137549577,-2.371457971,5.929867733,-4.290217686,5.774851007,-5.516357313,6.466958032,-2.76247449,6.038248552,-2.793297551,,,,,,
6.516572159,-1.34154134,6.14125763,-2.365588986,5.929867739,-4.290217666,5.779056696,-5.499301023,6.472455869,-2.743353748,6.043453025,-2.785018223,,,,,,
6.519894849,-1.329942197,6.144988065,-2.359728004,5.929867745,-4.290217646,5.785263962,-5.474817839,6.478010303,-2.72395352,6.050655613,-2.773484018,,,,,,
6.523228106,-1.31824172,6.150027565,-2.351775427,5.929867752,-4.290217626,5.793337827,-5.442644146,6.483622413,-2.70427855,6.056279258,-2.764415363,,,,,,
6.526571894,-1.30643962,6.155133972,-2.343712823,5.929867758,-4.214748298,5.799249138,-5.418914468,6.489293433,-2.684334437,6.060100121,-2.758286937,,,,,,
6.531639477,-1.288613571,6.160311483,-2.335533322,5.929867764,-4.214748267,5.803130508,-5.403749274,6.49502477,-2.664127651,6.064004091,-2.752021319,,,,,,
6.538483654,-1.264044166,6.164254037,-2.329276077,5.929867773,-4.214748233,5.807671197,-5.38623707,6.499377058,-2.648618442,6.067996528,-2.745609744,,,,,,
6.543661603,-1.24509555,6.168224269,-2.323024092,5.929867792,-4.21474817,5.812837949,-5.366319282,6.502289537,-2.638328909,6.074115568,-2.735838774,,,,,,
6.547118329,-1.232503265,6.173600564,-2.314517843,5.929867829,-4.214748048,5.817917757,-5.346889702,6.506674789,-2.622967296,6.080578684,-2.725366544,,,,,,
6.550586548,-1.219806827,6.1790661,-2.305864916,5.929867903,-4.214747806,5.822913475,-5.327927036,6.512596766,-2.602018831,6.084995773,-2.718253798,,,,,,
6.554066476,-1.207006623,6.184627299,-2.297054739,5.92986805,-4.214747321,5.827827712,-5.309410325,6.518585255,-2.580839331,6.089540523,-2.710930187,,,,,,
6.559293398,-1.187868712,6.190291282,-2.28807558,5.929868345,-4.214746353,5.832662868,-5.291319144,6.523135208,-2.564610055,6.09422415,-2.70337706,,,,,,
6.564578769,-1.167969639,6.19606597,-2.278914374,5.929868936,-4.214744416,5.837421209,-5.273633978,6.526180153,-2.5538584,6.10145594,-2.691792943,,,,,,
