M_1_zahb,L_1_zahb,M_3_zahb,L_3_zahb,M_10_zahb,L_10_zahb,M_30_zahb,L_30_zahb
0.853058185,40.59165526,2.998449682,109.5453605,9.989009373,9612.388108,27.11549661,370022.4739
0.853058182,40.59165527,2.998449675,109.5453605,9.98899996,9612.38811,27.11430052,370022.4761
0.853058178,40.59165527,2.998449668,109.5453605,9.988989352,9612.388113,27.11345081,370022.4776
0.853058171,40.59165527,2.99844966,109.5453604,9.988975158,9612.388116,27.11151544,370022.4806
0.853058164,40.59165527,2.998449652,109.5453604,9.988960464,9612.388118,27.10896341,370022.4841
0.853058156,40.59165527,2.998449644,109.5453604,9.988953641,9612.38812,27.10767969,370022.4857
0.853058147,40.59165527,2.998449638,109.5453604,9.988944275,9612.388121,27.10535736,370022.4882
0.853058139,40.59165527,2.998449632,109.5453604,9.988934898,9612.388122,27.10430776,370022.4892
0.853058135,40.59165527,2.998449626,109.5453604,9.98891852,9612.388125,27.10238897,370022.4909
0.853058131,40.59165526,2.99844962,109.5453604,9.988904562,9612.388126,27.10120758,370022.4918
0.853058122,40.59165525,2.998449615,109.5453603,9.988892432,9612.388128,27.09893988,370022.4934
0.853058118,40.59165524,2.998449609,109.5453603,9.98888348,9612.388128,27.09618262,370022.4952
0.853058114,40.59165524,2.998449603,109.5453603,9.988867716,9612.38813,27.09467854,370022.4964
0.85305811,40.59165522,2.998449597,109.5453603,9.988854115,9612.388131,27.09321654,370022.4974
0.853058106,40.59165521,2.998449591,109.5453602,9.988840422,9612.388132,27.09010186,370022.4995
0.853058102,40.59165519,2.998449584,109.5453602,9.988831255,9612.388132,27.08715233,370022.5013
0.8530581,40.59165517,2.998449581,109.5453602,9.988818427,9612.388133,27.085533,370022.5022
0.853058098,40.59165516,2.998449578,109.5453602,9.988806526,9612.388134,27.08211935,370022.504
0.853058097,40.59165515,2.998449572,109.5453601,9.988783864,9612.388135,27.0805213,370022.5048
0.853058095,40.59165514,2.998449566,109.5453601,9.988762358,9612.388136,27.07804015,370022.5059
0.853058093,40.59165512,2.998449559,109.5453601,9.988741715,9612.388136,27.07418297,370022.5074
0.853058087,40.59165508,2.998449547,109.54536,9.988721549,9612.388137,27.07112083,370022.5083
0.853058085,40.59165506,2.998449539,109.54536,9.988706386,9612.388137,27.06757113,370022.5091
0.853058082,40.59165504,2.998449531,109.5453599,9.988691165,9612.388137,27.06327815,370022.5095
0.853058079,40.59165502,2.998449519,109.5453599,9.988667456,9612.388137,27.05792903,370022.5093
0.853058076,40.59165499,2.998449508,109.5453598,9.988643508,9612.388137,27.05517807,370022.5088
0.853058072,40.59165496,2.998449502,109.5453598,9.98862984,9612.388136,27.05143282,370022.5074
0.85305807,40.59165494,2.998449488,109.5453597,9.988611985,9612.388135,27.04724491,370022.505
0.853058068,40.59165493,2.998449475,109.5453597,9.988594618,9612.388133,27.04460623,370022.5027
0.853058063,40.59165489,2.998449461,109.5453596,9.988580658,9612.388131,27.04151945,370022.499
0.853058058,40.59165485,2.998449437,109.5453595,9.988566697,9612.388129,27.03788743,370022.4929
0.853058055,40.59165483,2.998449412,109.5453594,9.988557186,9612.388127,27.03579626,370022.4883
0.853058049,40.59165479,2.998449394,109.5453593,9.988547675,9612.388124,27.03460131,370022.4851
0.853058046,40.59165477,2.998449374,109.5453592,9.988529992,9612.388118,27.03234794,370022.4779
0.85305804,40.59165472,2.998449349,109.5453591,9.988520003,9612.388114,27.03115107,370022.4734
0.853058037,40.5916547,2.998449332,109.5453591,9.988510015,9612.388109,27.03025341,370022.4695
0.853058029,40.59165465,2.998449315,109.545359,9.988505246,9612.388105,27.0295303,370022.4661
0.853058025,40.59165462,2.998449283,109.5453589,9.988500477,9612.388102,27.02868251,370022.4616
0.853058016,40.59165456,2.998449259,109.5453588,9.988491236,9612.388094,27.02741083,370022.4541
0.853058006,40.59165449,2.998449239,109.5453588,9.988486615,9612.388089,27.02656305,370022.4482
0.853057999,40.59165445,2.998449204,109.5453587,9.988481994,9612.388083,27.02575342,370022.4419
0.853057992,40.59165441,2.998449158,109.5453585,9.988477522,9612.388077,27.02494378,370022.4348
0.853057981,40.59165434,2.99844911,109.5453584,9.988473049,9612.388069,27.02413415,370022.4265
0.853057963,40.59165424,2.998449086,109.5453583,9.988464105,9612.388052,27.02332451,370022.4164
0.853057952,40.59165418,2.998449043,109.5453582,9.988459632,9612.388043,27.0228008,370022.4097
0.853057942,40.59165413,2.998448993,109.5453581,9.98845516,9612.388032,27.02227709,370022.4017
0.853057923,40.59165403,2.998448971,109.5453581,9.988451056,9612.388023,27.02175337,370022.3923
