Mass       Radius     X          Y          c12        n14        o16        mu
0.00358    0.03255    0.37106    0.60918    0.00045    0.10540    0.17680    0.82636
0.00371    0.03293    0.37177    0.60847    0.00044    0.10520    0.17700    0.82576
0.00383    0.03331    0.37249    0.60775    0.00044    0.10520    0.17700    0.82515
0.00396    0.03369    0.37323    0.60702    0.00044    0.10520    0.17700    0.82451
0.00409    0.03408    0.37397    0.60628    0.00044    0.10500    0.17720    0.82389
0.00423    0.03446    0.37472    0.60553    0.00044    0.10500    0.17720    0.82325
0.00437    0.03485    0.37548    0.60477    0.00044    0.10480    0.17720    0.82261
0.00451    0.03524    0.37625    0.60400    0.00044    0.10480    0.17740    0.82196
0.00466    0.03563    0.37702    0.60323    0.00044    0.10480    0.17740    0.82131
0.00481    0.03602    0.37781    0.60244    0.00044    0.10460    0.17760    0.82064
0.00496    0.03641    0.37860    0.60165    0.00044    0.10460    0.17760    0.81998
0.00511    0.03680    0.37940    0.60085    0.00044    0.10440    0.17760    0.81930
0.00527    0.03719    0.38021    0.60004    0.00044    0.10440    0.17780    0.81863
0.00543    0.03759    0.38103    0.59923    0.00043    0.10440    0.17780    0.81794
0.00560    0.03798    0.38185    0.59840    0.00043    0.10420    0.17780    0.81725
0.00577    0.03838    0.38269    0.59757    0.00043    0.10420    0.17800    0.81655
0.00594    0.03878    0.38353    0.59673    0.00043    0.10400    0.17800    0.81585
0.00612    0.03917    0.38438    0.59589    0.00043    0.10400    0.17800    0.81514
0.00630    0.03957    0.38523    0.59503    0.00043    0.10400    0.17820    0.81444
0.00649    0.03997    0.38609    0.59417    0.00043    0.10380    0.17820    0.81373
0.00667    0.04037    0.38696    0.59331    0.00043    0.10380    0.17820    0.81301
0.00686    0.04077    0.38784    0.59243    0.00043    0.10360    0.17840    0.81228
0.00706    0.04117    0.38872    0.59155    0.00043    0.10360    0.17840    0.81156
0.00726    0.04158    0.38961    0.59066    0.00043    0.10360    0.17860    0.81082
0.00746    0.04198    0.39050    0.58977    0.00042    0.10340    0.17860    0.81009
0.00766    0.04238    0.39140    0.58887    0.00042    0.10340    0.17860    0.80936
0.00787    0.04278    0.39231    0.58797    0.00042    0.10320    0.17880    0.80861
0.00809    0.04319    0.39322    0.58706    0.00042    0.10320    0.17880    0.80787
0.00830    0.04359    0.39414    0.58614    0.00042    0.10320    0.17880    0.80712
0.00852    0.04399    0.39506    0.58522    0.00042    0.10300    0.17900    0.80637
0.00875    0.04440    0.39599    0.58429    0.00042    0.10300    0.17900    0.80561
0.00898    0.04480    0.39693    0.58336    0.00042    0.10280    0.17900    0.80485
0.00921    0.04521    0.39786    0.58242    0.00042    0.10280    0.17900    0.80410
0.00944    0.04561    0.39881    0.58148    0.00042    0.10280    0.17920    0.80333
0.00968    0.04601    0.39976    0.58053    0.00042    0.10260    0.17920    0.80257
0.00992    0.04642    0.40071    0.57958    0.00041    0.10260    0.17920    0.80180
0.01017    0.04682    0.40167    0.57862    0.00041    0.10240    0.17940    0.80103
0.01042    0.04723    0.40263    0.57766    0.00041    0.10240    0.17940    0.80026
0.01067    0.04763    0.40360    0.57670    0.00041    0.10240    0.17940    0.79948
0.01093    0.04804    0.40457    0.57573    0.00041    0.10220    0.17960    0.79871
0.01119    0.04844    0.40554    0.57476    0.00041    0.10220    0.17960    0.79794
0.01145    0.04884    0.40652    0.57378    0.00041    0.10220    0.17960    0.79716
0.01172    0.04925    0.40750    0.57280    0.00041    0.10200    0.17960    0.79638
0.01199    0.04965    0.40848    0.57182    0.00041    0.10200    0.17980    0.79560
0.01227    0.05006    0.40947    0.57083    0.00041    0.10200    0.17980    0.79482
0.01255    0.05046    0.41046    0.56984    0.00041    0.10180    0.17980    0.79404
0.01283    0.05086    0.41146    0.56885    0.00040    0.10180    0.17980    0.79325
0.01312    0.05127    0.41246    0.56785    0.00040    0.10180    0.18000    0.79247
0.01341    0.05167    0.41346    0.56686    0.00040    0.10160    0.18000    0.79168
0.01370    0.05207    0.41446    0.56585    0.00040    0.10160    0.18000    0.79090
0.01400    0.05248    0.41547    0.56485    0.00040    0.10160    0.18000    0.79011
0.01430    0.05288    0.41648    0.56384    0.00040    0.10140    0.18020    0.78932
0.01460    0.05328    0.41749    0.56283    0.00040    0.10140    0.18020    0.78854
0.01491    0.05368    0.41850    0.56182    0.00040    0.10140    0.18020    0.78775
0.01522    0.05408    0.41952    0.56081    0.00040    0.10120    0.18020    0.78696
0.01554    0.05448    0.42053    0.55979    0.00040    0.10120    0.18040    0.78618
0.01586    0.05489    0.42155    0.55877    0.00040    0.10120    0.18040    0.78539
0.01618    0.05529    0.42257    0.55775    0.00039    0.10100    0.18040    0.78461
0.01650    0.05569    0.42360    0.55673    0.00039    0.10100    0.18040    0.78381
0.01683    0.05609    0.42462    0.55571    0.00039    0.10100    0.18040    0.78303
0.01717    0.05649    0.42565    0.55468    0.00039    0.10080    0.18060    0.78224
0.01750    0.05688    0.42668    0.55366    0.00039    0.10080    0.18060    0.78146
0.01784    0.05728    0.42771    0.55263    0.00039    0.10080    0.18060    0.78067
0.01819    0.05768    0.42874    0.55160    0.00039    0.10080    0.18060    0.77989
0.01853    0.05808    0.42977    0.55057    0.00039    0.10060    0.18060    0.77910
0.01888    0.05848    0.43081    0.54954    0.00039    0.10060    0.18080    0.77831
0.01924    0.05888    0.43184    0.54850    0.00039    0.10060    0.18080    0.77754
0.01959    0.05927    0.43288    0.54747    0.00039    0.10040    0.18080    0.77675
0.01995    0.05967    0.43392    0.54643    0.00039    0.10040    0.18080    0.77597
0.02032    0.06007    0.43496    0.54540    0.00038    0.10040    0.18080    0.77518
0.02069    0.06046    0.43599    0.54436    0.00038    0.10040    0.18080    0.77441
0.02106    0.06086    0.43703    0.54332    0.00038    0.10020    0.18100    0.77363
0.02143    0.06125    0.43808    0.54228    0.00038    0.10020    0.18100    0.77285
0.02181    0.06165    0.43912    0.54124    0.00038    0.10020    0.18100    0.77207
0.02219    0.06204    0.44016    0.54020    0.00038    0.10020    0.18100    0.77130
0.02258    0.06244    0.44120    0.53916    0.00038    0.10000    0.18100    0.77052
0.02297    0.06283    0.44225    0.53812    0.00038    0.10000    0.18100    0.76974
0.02336    0.06322    0.44329    0.53708    0.00038    0.10000    0.18100    0.76898
0.02375    0.06362    0.44433    0.53604    0.00038    0.10000    0.18120    0.76821
0.02415    0.06401    0.44538    0.53499    0.00038    0.09980    0.18120    0.76743
0.02455    0.06440    0.44642    0.53395    0.00037    0.09980    0.18120    0.76667
0.02496    0.06479    0.44747    0.53291    0.00037    0.09980    0.18120    0.76590
0.02537    0.06519    0.44851    0.53186    0.00037    0.09980    0.18120    0.76514
0.02578    0.06558    0.44956    0.53082    0.00037    0.09960    0.18120    0.76437
0.02620    0.06597    0.45060    0.52978    0.00037    0.09960    0.18120    0.76361
0.02662    0.06636    0.45165    0.52873    0.00037    0.09960    0.18120    0.76284
0.02704    0.06675    0.45270    0.52769    0.00037    0.09960    0.18140    0.76208
0.02746    0.06714    0.45374    0.52664    0.00037    0.09960    0.18140    0.76133
0.02789    0.06753    0.45479    0.52560    0.00037    0.09940    0.18140    0.76057
0.02833    0.06792    0.45583    0.52456    0.00037    0.09940    0.18140    0.75981
0.02876    0.06831    0.45688    0.52351    0.00037    0.09940    0.18140    0.75906
0.02920    0.06870    0.45792    0.52247    0.00037    0.09940    0.18140    0.75831
0.02965    0.06909    0.45897    0.52143    0.00036    0.09920    0.18140    0.75755
0.03009    0.06948    0.46001    0.52038    0.00036    0.09920    0.18140    0.75681
0.03054    0.06987    0.46106    0.51934    0.00036    0.09920    0.18140    0.75606
0.03100    0.07025    0.46210    0.51830    0.00036    0.09920    0.18140    0.75532
0.03145    0.07064    0.46315    0.51726    0.00036    0.09920    0.18140    0.75457
0.03191    0.07103    0.46419    0.51622    0.00036    0.09900    0.18140    0.75383
0.03238    0.07142    0.46523    0.51517    0.00036    0.09900    0.18140    0.75309
0.03284    0.07180    0.46628    0.51413    0.00036    0.09900    0.18140    0.75235
0.03331    0.07219    0.46732    0.51309    0.00036    0.09900    0.18160    0.75161
0.03379    0.07258    0.46836    0.51205    0.00036    0.09900    0.18160    0.75088
0.03426    0.07296    0.46940    0.51101    0.00036    0.09900    0.18160    0.75014
0.03475    0.07335    0.47044    0.50997    0.00036    0.09880    0.18160    0.74941
0.03523    0.07374    0.47148    0.50894    0.00035    0.09880    0.18160    0.74868
0.03572    0.07412    0.47252    0.50790    0.00035    0.09880    0.18160    0.74796
0.03621    0.07451    0.47356    0.50686    0.00035    0.09880    0.18160    0.74723
0.03670    0.07490    0.47460    0.50582    0.00035    0.09880    0.18160    0.74650
0.03720    0.07528    0.47564    0.50479    0.00035    0.09880    0.18160    0.74578
0.03770    0.07567    0.47667    0.50375    0.00035    0.09860    0.18160    0.74506
0.03821    0.07605    0.47771    0.50272    0.00035    0.09860    0.18160    0.74434
0.03871    0.07644    0.47875    0.50169    0.00035    0.09860    0.18160    0.74362
0.03923    0.07682    0.47978    0.50065    0.00035    0.09860    0.18160    0.74291
0.03974    0.07721    0.48082    0.49962    0.00035    0.09860    0.18160    0.74219
0.04026    0.07759    0.48185    0.49859    0.00035    0.09860    0.18160    0.74148
0.04078    0.07798    0.48288    0.49756    0.00035    0.09840    0.18160    0.74078
0.04131    0.07836    0.48391    0.49653    0.00034    0.09840    0.18160    0.74007
0.04184    0.07875    0.48494    0.49550    0.00034    0.09840    0.18160    0.73937
0.04237    0.07913    0.48597    0.49447    0.00034    0.09840    0.18160    0.73866
0.04290    0.07952    0.48700    0.49344    0.00034    0.09840    0.18160    0.73796
0.04344    0.07990    0.48803    0.49242    0.00034    0.09840    0.18160    0.73726
0.04399    0.08029    0.48906    0.49139    0.00034    0.09840    0.18160    0.73656
0.04453    0.08067    0.49009    0.49036    0.00034    0.09840    0.18160    0.73586
0.04508    0.08106    0.49111    0.48934    0.00034    0.09820    0.18160    0.73517
0.04564    0.08144    0.49214    0.48832    0.00034    0.09820    0.18160    0.73448
0.04619    0.08183    0.49316    0.48730    0.00034    0.09820    0.18160    0.73379
0.04675    0.08221    0.49419    0.48627    0.00034    0.09820    0.18160    0.73310
0.04732    0.08259    0.49521    0.48525    0.00034    0.09820    0.18160    0.73241
0.04789    0.08298    0.49623    0.48424    0.00033    0.09820    0.18160    0.73173
0.04846    0.08336    0.49725    0.48322    0.00033    0.09820    0.18160    0.73105
0.04903    0.08375    0.49827    0.48220    0.00033    0.09800    0.18160    0.73037
0.04961    0.08413    0.49929    0.48118    0.00033    0.09800    0.18160    0.72969
0.05019    0.08452    0.50030    0.48017    0.00033    0.09800    0.18160    0.72902
0.05078    0.08490    0.50132    0.47915    0.00033    0.09800    0.18160    0.72834
0.05137    0.08529    0.50233    0.47814    0.00033    0.09800    0.18160    0.72767
0.05196    0.08567    0.50335    0.47713    0.00033    0.09800    0.18160    0.72699
0.05256    0.08606    0.50436    0.47612    0.00033    0.09800    0.18160    0.72633
0.05316    0.08645    0.50537    0.47511    0.00033    0.09800    0.18160    0.72566
0.05376    0.08683    0.50638    0.47410    0.00033    0.09800    0.18160    0.72500
0.05437    0.08722    0.50739    0.47309    0.00033    0.09780    0.18160    0.72433
0.05498    0.08760    0.50840    0.47209    0.00033    0.09780    0.18160    0.72367
0.05560    0.08799    0.50941    0.47108    0.00032    0.09780    0.18160    0.72301
0.05622    0.08838    0.51042    0.47008    0.00032    0.09780    0.18160    0.72235
0.05684    0.08876    0.51142    0.46907    0.00032    0.09780    0.18160    0.72170
0.05747    0.08915    0.51242    0.46807    0.00032    0.09780    0.18160    0.72105
0.05810    0.08954    0.51343    0.46707    0.00032    0.09780    0.18160    0.72039
0.05873    0.08993    0.51443    0.46607    0.00032    0.09780    0.18160    0.71974
0.05937    0.09031    0.51543    0.46507    0.00032    0.09780    0.18140    0.71910
0.06001    0.09070    0.51643    0.46407    0.00032    0.09760    0.18140    0.71845
0.06066    0.09109    0.51743    0.46308    0.00032    0.09760    0.18140    0.71781
0.06131    0.09148    0.51842    0.46208    0.00032    0.09760    0.18140    0.71717
0.06196    0.09187    0.51942    0.46109    0.00032    0.09760    0.18140    0.71653
0.06262    0.09226    0.52041    0.46009    0.00032    0.09760    0.18140    0.71589
0.06328    0.09264    0.52141    0.45910    0.00032    0.09760    0.18140    0.71525
0.06395    0.09303    0.52240    0.45811    0.00031    0.09760    0.18140    0.71462
0.06462    0.09342    0.52339    0.45712    0.00031    0.09760    0.18140    0.71399
0.06529    0.09381    0.52438    0.45614    0.00031    0.09760    0.18140    0.71336
0.06597    0.09421    0.52537    0.45515    0.00031    0.09760    0.18140    0.71273
0.06665    0.09460    0.52636    0.45416    0.00031    0.09760    0.18140    0.71210
0.06734    0.09499    0.52734    0.45318    0.00031    0.09740    0.18140    0.71148
0.06803    0.09538    0.52833    0.45220    0.00031    0.09740    0.18140    0.71085
0.06872    0.09577    0.52931    0.45121    0.00031    0.09740    0.18140    0.71023
0.06942    0.09616    0.53029    0.45023    0.00031    0.09740    0.18140    0.70962
0.07012    0.09656    0.53127    0.44925    0.00031    0.09740    0.18140    0.70900
0.07083    0.09695    0.53225    0.44828    0.00031    0.09740    0.18140    0.70838
0.07154    0.09735    0.53323    0.44730    0.00031    0.09740    0.18120    0.70777
0.07226    0.09774    0.53421    0.44633    0.00030    0.09740    0.18120    0.70716
0.07298    0.09813    0.53518    0.44535    0.00030    0.09740    0.18120    0.70655
0.07370    0.09853    0.53616    0.44438    0.00030    0.09740    0.18120    0.70594
0.07443    0.09893    0.53713    0.44341    0.00030    0.09740    0.18120    0.70534
0.07516    0.09932    0.53810    0.44244    0.00030    0.09740    0.18120    0.70473
0.07590    0.09972    0.53908    0.44147    0.00030    0.09720    0.18120    0.70412
0.07664    0.10012    0.54004    0.44050    0.00030    0.09720    0.18120    0.70353
0.07739    0.10052    0.54101    0.43953    0.00030    0.09720    0.18120    0.70293
0.07814    0.10091    0.54198    0.43857    0.00030    0.09720    0.18120    0.70233
0.07889    0.10131    0.54294    0.43761    0.00030    0.09720    0.18120    0.70174
0.07965    0.10171    0.54391    0.43664    0.00030    0.09720    0.18120    0.70114
0.08041    0.10211    0.54487    0.43568    0.00030    0.09720    0.18120    0.70055
0.08118    0.10251    0.54583    0.43472    0.00030    0.09720    0.18120    0.69997
0.08195    0.10292    0.54679    0.43377    0.00029    0.09720    0.18120    0.69938
0.08273    0.10332    0.54775    0.43281    0.00029    0.09720    0.18100    0.69879
0.08351    0.10372    0.54871    0.43185    0.00029    0.09720    0.18100    0.69821
0.08430    0.10413    0.54966    0.43090    0.00029    0.09720    0.18100    0.69763
0.08509    0.10453    0.55062    0.42995    0.00029    0.09720    0.18100    0.69704
0.08589    0.10493    0.55157    0.42899    0.00029    0.09700    0.18100    0.69647
0.08669    0.10534    0.55252    0.42804    0.00029    0.09700    0.18100    0.69589
0.08750    0.10575    0.55347    0.42710    0.00029    0.09700    0.18100    0.69532
0.08831    0.10615    0.55442    0.42615    0.00029    0.09700    0.18100    0.69474
0.08912    0.10656    0.55537    0.42520    0.00029    0.09700    0.18100    0.69417
0.08995    0.10697    0.55632    0.42426    0.00029    0.09700    0.18100    0.69360
0.09077    0.10738    0.55726    0.42331    0.00029    0.09700    0.18100    0.69303
0.09160    0.10779    0.55821    0.42237    0.00028    0.09700    0.18100    0.69246
0.09244    0.10820    0.55915    0.42143    0.00028    0.09700    0.18080    0.69190
0.09328    0.10861    0.56009    0.42049    0.00028    0.09700    0.18080    0.69134
0.09413    0.10903    0.56103    0.41956    0.00028    0.09700    0.18080    0.69078
0.09498    0.10944    0.56197    0.41862    0.00028    0.09700    0.18080    0.69022
0.09583    0.10985    0.56290    0.41769    0.00028    0.09700    0.18080    0.68966
0.09669    0.11027    0.56384    0.41675    0.00028    0.09700    0.18080    0.68910
0.09756    0.11069    0.56477    0.41582    0.00028    0.09700    0.18080    0.68855
0.09843    0.11110    0.56570    0.41489    0.00028    0.09680    0.18080    0.68800
0.09931    0.11152    0.56663    0.41396    0.00028    0.09680    0.18080    0.68745
0.10020    0.11194    0.56756    0.41303    0.00028    0.09680    0.18080    0.68690
0.10109    0.11236    0.56849    0.41211    0.00028    0.09680    0.18080    0.68635
0.10198    0.11278    0.56942    0.41118    0.00027    0.09680    0.18060    0.68581
0.10288    0.11321    0.57034    0.41026    0.00027    0.09680    0.18060    0.68527
0.10378    0.11363    0.57127    0.40934    0.00027    0.09680    0.18060    0.68472
0.10470    0.11405    0.57219    0.40842    0.00027    0.09680    0.18060    0.68418
0.10561    0.11448    0.57311    0.40750    0.00027    0.09680    0.18060    0.68364
0.10653    0.11490    0.57403    0.40658    0.00027    0.09680    0.18060    0.68311
0.10746    0.11533    0.57494    0.40566    0.00027    0.09680    0.18060    0.68258
0.10840    0.11576    0.57586    0.40475    0.00027    0.09680    0.18060    0.68204
0.10934    0.11619    0.57678    0.40384    0.00027    0.09680    0.18060    0.68150
0.11028    0.11662    0.57769    0.40293    0.00027    0.09680    0.18060    0.68098
0.11124    0.11705    0.57860    0.40202    0.00027    0.09680    0.18060    0.68045
0.11219    0.11749    0.57951    0.40111    0.00027    0.09680    0.18040    0.67992
0.11316    0.11792    0.58042    0.40020    0.00027    0.09660    0.18040    0.67940
0.11413    0.11835    0.58133    0.39929    0.00026    0.09660    0.18040    0.67887
0.11511    0.11879    0.58223    0.39839    0.00026    0.09660    0.18040    0.67836
0.11609    0.11923    0.58313    0.39749    0.00026    0.09660    0.18040    0.67784
0.11708    0.11967    0.58404    0.39659    0.00026    0.09660    0.18040    0.67731
0.11807    0.12011    0.58494    0.39569    0.00026    0.09660    0.18040    0.67680
0.11907    0.12055    0.58584    0.39479    0.00026    0.09660    0.18040    0.67628
0.12008    0.12099    0.58673    0.39389    0.00026    0.09660    0.18040    0.67578
0.12110    0.12144    0.58763    0.39300    0.00026    0.09660    0.18040    0.67526
0.12212    0.12188    0.58853    0.39211    0.00026    0.09660    0.18020    0.67475
0.12315    0.12233    0.58942    0.39122    0.00026    0.09660    0.18020    0.67424
