Age,Mass,14Nsurf
367970119.4,2.997740893,2.35E-03
368098865.4,2.997732906,2.35E-03
368230794.3,2.997725169,2.35E-03
368366071.7,2.997717676,2.35E-03
368505898.7,2.997710356,2.35E-03
368650932.8,2.997703179,2.35E-03
368802285,2.997696106,2.35E-03
368961741.4,2.997689062,2.35E-03
369130145.6,2.997682033,2.35E-03
369308874.8,2.997674986,2.35E-03
369500552.6,2.997667844,2.35E-03
369706138.5,2.997660606,2.35E-03
369929257.5,2.997653184,2.35E-03
370173025.1,2.997645521,2.35E-03
370443655.5,2.997637484,2.35E-03
370748846.6,2.997628918,2.35E-03
371095164.5,2.997619734,2.35E-03
371496723.5,2.997609671,2.35E-03
371973837.1,2.997598368,2.35E-03
372573163,2.997584941,2.35E-03
373361888.5,2.997568215,2.35E-03
374520935.3,2.99754485,2.35E-03
377075607.1,2.997494958,2.35E-03
380995332.6,2.997417293,2.35E-03
384949016.4,2.99733657,2.35E-03
388854270.5,2.997254557,2.35E-03
392769076,2.9971699,2.35E-03
396655135.7,2.99708332,2.35E-03
400489366.6,2.996995286,2.35E-03
404402877.1,2.996902586,2.35E-03
408397585.3,2.996804915,2.35E-03
412183036.5,2.996709395,2.35E-03
416223871.5,2.996604089,2.35E-03
419711719.1,2.996510417,2.35E-03
423829452.5,2.996396378,2.35E-03
428009828.7,2.996276786,2.35E-03
431730647.4,2.996167169,2.35E-03
435625246.8,2.996049328,2.35E-03
438833899.2,2.995949873,2.35E-03
441467339.3,2.995866608,2.35E-03
443688304.5,2.995794986,2.35E-03
445218482,2.995744545,2.35E-03
447088907.8,2.995681669,2.35E-03
448178188,2.995644729,2.35E-03
449168503.5,2.9956107,2.35E-03
449859991.5,2.995586062,2.35E-03
450361857,2.995567451,2.35E-03
450719581.7,2.995553599,2.35E-03
450973644.9,2.995543309,2.35E-03
451153300.7,2.995535688,2.35E-03
451279495.1,2.995530071,2.35E-03
451369481.2,2.995525874,2.35E-03
451433591.3,2.995522734,2.35E-03
451480618.3,2.995520321,2.35E-03
451515621.9,2.995518437,2.35E-03
451542219.3,2.995516937,2.35E-03
451563027.4,2.99551571,2.35E-03
451576968.8,2.995514851,2.35E-03
451589388.5,2.995514056,2.35E-03
451601122.3,2.995513277,2.35E-03
