Age,Mass,14Nsurf
26917239.06,9.369667954,3.38E-03
26918484.95,9.368789356,3.38E-03
26919715.98,9.367899775,3.38E-03
26920929.26,9.367001906,3.38E-03
26922122.23,9.366098434,3.38E-03
26923291.76,9.365192683,3.38E-03
26924435.4,9.364287659,3.39E-03
26925549.78,9.363386775,3.39E-03
26926635.29,9.362491514,3.39E-03
26927686.89,9.361607027,3.39E-03
26928704.53,9.360735036,3.39E-03
26929686.61,9.359878016,3.39E-03
26930633.12,9.359037813,3.39E-03
26931542.89,9.358216843,3.40E-03
26932417.1,9.357415478,3.40E-03
26933252.83,9.35663784,3.40E-03
26934051.28,9.355884264,3.40E-03
26934812.13,9.355156452,3.40E-03
26935538.14,9.35445307,3.40E-03
26936226.87,9.353777812,3.40E-03
26936881.22,9.353128993,3.40E-03
26937502.31,9.352506637,3.40E-03
26938090.95,9.351910789,3.40E-03
26938648.72,9.351340924,3.41E-03
26939176.86,9.350796714,3.41E-03
26939676.69,9.350277403,3.41E-03
26940150.45,9.34978155,3.41E-03
26940601.08,9.349306616,3.41E-03
26941031.92,9.348849601,3.41E-03
26941448.34,9.348405358,3.41E-03
26941859.93,9.347963812,3.41E-03
26942265.56,9.347526489,3.41E-03
26942599.37,9.34716518,3.41E-03
26942731.56,9.347021893,3.41E-03
26942798.07,9.346949758,3.41E-03
26942857.73,9.346885009,3.41E-03
26942921.1,9.346816223,3.41E-03
26942994.31,9.346736708,3.41E-03
26943085.41,9.346637751,3.41E-03
26943217.71,9.346493821,3.41E-03
26943417.83,9.346275485,3.41E-03
26943743.1,9.345917901,3.41E-03
26944250.97,9.345349856,3.42E-03
26944853.61,9.344655284,3.42E-03
26945489.63,9.343893829,3.42E-03
26946329.08,9.342846865,3.42E-03
26949446.55,9.338783679,3.43E-03
26951807.77,9.335651912,3.43E-03
26952821.37,9.334292406,3.44E-03
26953376.15,9.333545236,3.44E-03
26953691.97,9.333119351,3.44E-03
26953883.2,9.332861605,3.44E-03
