#
# Pleiades Cluster Gaia EDR3 Data
# Source: Heyl et al. 2021, arXiv:2110.03837
#
# parallax error (sig_p/p)<0.02
# Column 1: BP-RP
# Column 2: absolute G magnitude
# Column 3: parallax [mas] -- not used in plot
#
  BP-RP          MG          par
  1.87199998  8.13365555  7.32000017
  1.89530003  8.13705635  7.28000021
  1.9059  8.16783714  7.36999989
  1.88900006  8.12709141  7.23000002
  1.7651  8.16718864  7.36000013
  1.93640006  8.14209175  7.23000002
  1.93229997  8.2145443  7.42999983
  1.95969999  8.12714767  7.13000011
  1.88600004  8.26584625  7.57999992
  1.89629996  8.23259163  7.40999985
  1.88750005  8.15849972  7.11999989
  1.92729998  8.28500748  7.48000002
  1.94949996  8.26101971  7.32999992
  1.99150002  8.33166504  7.44000006
  1.92120004  8.29251385  7.30000019
  1.98049998  8.28379631  7.17000008
  1.97539997  8.31648254  7.26000023
  1.97029996  8.3673439  7.42999983
  2.01110005  8.37364388  7.42999983
  2.32509995  8.4600563  7.53999996
  2.03349996  8.37388611  7.21999979
  2.03299999  8.46248913  7.51999998
  1.99199998  8.45850754  7.48000002
  2.05430007  8.45392227  7.38999987
  2.0704999  8.52810764  7.48000002
  2.39510012  8.49561977  7.32999992
  2.09619999  8.49848652  7.30999994
  2.05180001  8.46764469  7.19000006
  2.13779998  8.52982235  7.38999987
  1.39380002  8.50728989  7.25
  2.10689998  8.50997639  7.21000004
  2.12120008  8.56685638  7.28000021
  2.47530007  8.55427647  7.21000004
  2.38380003  8.60528183  7.38000011
  2.29629993  8.71256638  7.63999987
  2.148  8.65372276  7.38999987
  2.13129997  8.66039085  7.40999985
  2.18899989  8.66653728  7.36999989
  2.13779998  8.59984779  7.11000013
  2.15450001  8.74395561  7.53999996
  2.11789989  8.71001911  7.42000008
  2.44689989  8.69468689  7.30999994
  2.17030001  8.66319656  7.17000008
  2.17750001  8.78260899  7.48999977
  2.4777  8.75088882  7.36000013
  2.5223999  8.73798656  7.30999994
  2.19849992  8.78117943  7.34000015
  2.20679998  8.76119232  7.23999977
  2.23539996  8.80388165  7.38000011
  2.23180008  8.74186516  7.15999985
  2.22420001  8.8640995  7.51000023
  2.21199989  8.82668114  7.38000011
  2.22329998  8.82648087  7.34000015
  2.21690011  8.87540817  7.48000002
  2.49900007  8.80168533  7.21999979
  2.21289992  8.79032135  7.17999983
  2.30640006  8.81318665  7.21999979
  2.26009989  8.91918945  7.51999998
  2.27719998  8.97140503  7.67999983
  2.56209993  8.84032249  7.17999983
  2.30819988  8.98500633  7.6500001
  2.3684001  8.8860445  7.19000006
  2.28730011  8.88752174  7.17999983
  2.28800011  8.93577957  7.34000015
  2.42319989  9.01434612  7.57999992
  2.29649997  8.92708397  7.26000023
  2.31389999  8.97808266  7.26000023
  2.31279993  8.97868538  7.21999979
  2.58049989  9.04535866  7.4000001
  2.32620001  9.07240295  7.46999979
  2.33769989  9.08986473  7.44000006
  2.57459998  9.09541893  7.42000008
  2.63759995  9.09142303  7.38999987
  2.30970001  9.1456089  7.55999994
  2.50710011  9.13830757  7.48000002
  2.55040002  9.06514454  7.19000006
  2.44330001  9.20002365  7.63000011
  2.34780002  9.14172268  7.38999987
  2.34960008  9.10808372  7.26000023
  2.59920001  9.03398991  7.01000023
  2.49710011  9.14673615  7.3499999
  2.53279996  9.18610287  7.46999979
  2.35240006  9.19680786  7.48000002
  2.44160008  9.24270916  7.59000015
  2.43239999  9.18248558  7.21999979
  2.54099989  9.31704617  7.57999992
  2.69919991  9.24295521  7.32000017
  2.45090008  9.2725811  7.34000015
  2.39580011  9.17747688  6.98000002
  2.72119999  9.31033707  7.36999989
  2.46989989  9.31702232  7.38999987
  2.71749997  9.3831234  7.61000013
  2.5868001  9.41265297  7.69999981
  2.70530009  9.25732994  7.1500001
  2.49559999  9.43017197  7.71000004
  2.49440002  9.32153797  7.28999996
  2.39479995  9.29242134  7.17999983
  2.43989992  9.35018921  7.36000013
  2.45729995  9.3242836  7.26000023
  2.49900007  9.36702251  7.38999987
  2.44819999  9.37944412  7.42999983
  2.44840002  9.31932259  7.17999983
  2.47790003  9.33899307  7.23999977
  2.43239999  9.3680191  7.32999992
  2.46580005  9.42330933  7.48999977
  2.48950005  9.47227478  7.61999989
  2.44490004  9.33279037  7.13999987
  2.46160007  9.39328003  7.34000015
  2.4519999  9.38448715  7.30999994
  2.38630009  9.38163757  7.28999996
  2.546  9.50617695  7.67000008
  2.49650002  9.41255569  7.32000017
  2.40019989  9.3950901  7.25
  2.88619995  9.43985939  7.4000001
  2.50749993  9.48048878  7.51999998
  2.49499989  9.41711426  7.30000019
  2.6329999  9.54080582  7.67999983
  2.51600003  9.45358658  7.30999994
  2.50510001  9.47005558  7.32000017
  2.50200009  9.48858833  7.36000013
  2.48760009  9.46787262  7.26999998
  2.82489991  9.44202232  7.17999983
  2.55080009  9.5577755  7.53000021
  2.52909994  9.49181461  7.30000019
  2.46079993  9.49371433  7.30000019
  2.47350001  9.56277466  7.53000021
  2.5229001  9.54434395  7.42999983
  2.59859991  9.55171967  7.42000008
  2.82410002  9.63333511  7.55000019
  2.50349998  9.54508591  7.21999979
  2.51760006  9.60532284  7.38999987
  2.52999997  9.62628174  7.44999981
  2.76370001  9.48798561  6.98999977
  2.48239994  9.61265945  7.4000001
  2.5374999  9.60573769  7.36999989
  2.9066  9.58866215  7.19999981
  2.55489993  9.62041378  7.30000019
  2.54450011  9.64383793  7.36999989
  2.51270008  9.62907219  7.26999998
  2.73149991  9.74238014  7.57000017
  2.59850001  9.76246643  7.63999987
  2.59010005  9.71171951  7.42000008
  2.5782001  9.69761372  7.30000019
  2.61890006  9.66796207  7.19999981
  2.54970002  9.69553757  7.28999996
  2.49710011  9.73048115  7.38000011
  2.56830001  9.7089138  7.30000019
  2.57780004  9.71635532  7.32000017
  2.62350011  9.68467712  7.21000004
  2.58590007  9.72418022  7.34000015
  2.55920005  9.60479736  6.94000006
  2.62459993  9.79923439  7.55000019
  2.63120008  9.74538898  7.36000013
  2.93659997  9.77944469  7.42999983
  2.74710011  9.88689804  7.78000021
  2.87759995  9.71914482  7.19000006
  2.54990005  9.74995613  7.28000021
  1.47959995  9.77171993  7.32999992
  2.67079997  9.80854416  7.42999983
  2.64420009  9.81688118  7.44999981
  2.6171999  9.86100864  7.59000015
  2.8506  9.81976509  7.44000006
  2.66950011  9.8010807  7.34000015
  2.8986001  9.92124367  7.65999985
  2.61470008  9.84522247  7.38999987
  2.64400005  9.80858231  7.26000023
  3.00020003  9.83071995  7.32999992
  2.72049999  9.79486465  7.15999985
  2.6342001  9.8381567  7.28000021
  2.69860005  9.97299671  7.73000002
  2.64170003  9.84497261  7.26999998
  2.68720007  9.81892204  7.17999983
  2.61989999  9.80309105  7.0999999
  2.70900011  9.82094765  7.13000011
  2.63190007  9.90991974  7.42000008
  2.67429996  9.89898872  7.36000013
  2.71729994  9.922719  7.42000008
  2.61989999  9.82849693  7.07000017
  2.64700007  9.92667961  7.34000015
  2.64669991  9.99353409  7.55000019
  2.6645  10.017868  7.5999999
  2.67479992  9.98820877  7.48999977
  2.65100002  9.92357254  7.26999998
  2.78239989  10.0664082  7.76000023
  2.96740007  10.0293751  7.61999989
  2.91810012  9.95755577  7.32000017
  2.71749997  9.96915531  7.32000017
  2.96329999  9.9600563  7.28000021
  2.70090008  10.0047197  7.42000008
  2.74720001  10.0139189  7.42000008
  2.7039001  10.1309338  7.82000017
  2.69199991  9.90616322  7.03999996
  2.7191999  9.93004799  7.11000013
  2.99239993  10.0000868  7.30999994
  2.8131001  10.0590992  7.51000023
  2.72309995  10.0662746  7.53000021
  2.74160004  10.0311813  7.38000011
  2.79419994  10.1074238  7.63000011
  1.74109995  10.0187559  7.32000017
  2.67210007  9.97803116  7.1500001
  3.04889989  9.99877644  7.21000004
  2.69980001  9.93828964  7.01000023
  2.39470005  10.0218563  7.28000021
  2.71099997  10.0956993  7.51000023
  2.74440002  10.0062447  7.19000006
  2.75990009  9.99833107  7.1500001
  2.91790009  10.0124226  7.17999983
  2.71620011  9.96098995  7.01000023
  2.97309995  10.1784048  7.73999977
  2.7263  10.1407089  7.59000015
  2.79780006  9.95836544  6.92999983
  2.6874001  10.125494  7.46000004
  2.72819996  10.150774  7.53000021
  2.79080009  10.1247196  7.42000008
  2.69239998  9.98906326  6.96999979
  2.51180005  10.1511059  7.5
  2.7809  10.1638737  7.53000021
  2.73860002  10.1602058  7.5
  2.78040004  10.1264811  7.38000011
  2.76810002  10.2434978  7.78000021
  2.75020003  10.1058378  7.28999996
  2.72359991  10.1311378  7.36999989
  2.77749991  10.1664085  7.48999977
  2.94849992  10.1553802  7.44999981
  2.72749996  10.1468229  7.38999987
  2.75250006  10.1127901  7.25
  2.98460007  10.017045  6.9000001
  2.73539996  10.136838  7.28999996
  2.79789996  10.2186356  7.55000019
  3.04590011  10.1198769  7.21000004
  2.78060007  10.0978994  7.11999989
  2.52519989  10.1506376  7.28999996
  2.796  10.2050943  7.46000004
  2.81089997  10.1802883  7.36000013
  2.77559996  10.2433739  7.53000021
  2.74819994  10.1594915  7.23000002
  2.75929999  10.0754976  6.94000006
  2.82850003  10.2218361  7.3499999
  2.80380011  10.1836624  7.19999981
  2.78909993  10.2288551  7.32000017
  3.02220011  10.2504807  7.34000015
  2.87989998  10.3916092  7.82999992
  2.79640007  10.2815647  7.44000006
  2.85890007  10.2408381  7.28999996
  3.05800009  10.2696819  7.38000011
  2.83769989  10.2788382  7.28999996
  2.79520011  10.3119583  7.4000001
  2.87789989  10.3688793  7.57000017
  2.76959991  10.3071365  7.3499999
  3.11599994  10.2117767  7.03000021
  2.7974999  10.191124  6.94999981
  2.82229996  10.2864838  7.26000023
  2.61299992  10.3320818  7.38000011
  3.04509997  10.2805624  7.19999981
  2.78710008  10.4041233  7.61000013
  2.84130001  10.3233862  7.30999994
  2.80340004  10.2977629  7.19999981
  2.85380006  10.377902  7.46999979
  2.84430003  10.3388195  7.32999992
  2.83200002  10.3236828  7.26000023
  2.96440005  10.3629808  7.38000011
  3.1085  10.3631191  7.32999992
  2.89260006  10.5012732  7.80000019
  3.04959989  10.4097033  7.46999979
  2.82380009  10.3569899  7.25
  3.09910011  10.4250021  7.46999979
  2.86870003  10.3817568  7.28000021
  2.83669996  10.4295444  7.42999983
  2.8520999  10.5247078  7.76000023
  2.87129998  10.4429197  7.42000008
  2.86080003  10.4036732  7.26999998
  2.84899998  10.4161863  7.30999994
  2.89660001  10.4467907  7.40999985
  2.78730011  10.4249191  7.32999992
  2.85019994  10.3865948  7.17000008
  2.86570001  10.4610596  7.4000001
  2.90540004  10.4040222  7.17999983
  2.79159999  10.5489063  7.6500001
  2.96709991  10.4140224  7.17999983
  3.08769989  10.3983479  7.11000013
  2.8447001  10.5043936  7.46000004
  2.87059999  10.4683371  7.28999996
  3.20429993  10.4349957  7.17000008
  2.91639996  10.5527887  7.51999998
  2.86980009  10.5472059  7.5
  2.85940003  10.4878378  7.28999996
  3.11100006  10.5945072  7.6500001
  3.11980009  10.454195  7.17000008
  2.8750999  10.4692764  7.21000004
  2.87450004  10.5544195  7.42000008
  2.97390008  10.5693026  7.46999979
  2.90619993  10.5205374  7.28999996
  2.79839993  10.5375805  7.34000015
  2.89299989  10.4862652  7.15999985
  2.84260011  10.4311771  6.98000002
  2.86459994  10.4292641  6.96999979
  2.94109988  10.6604977  7.73000002
  2.90840006  10.5945024  7.46999979
  2.90860009  10.5460386  7.28999996
  2.80100012  10.521122  7.17999983
  3.02029991  10.6072807  7.44999981
  2.96199989  10.6212072  7.48000002
  2.92409992  10.5812187  7.32999992
  2.89479995  10.65448  7.57000017
  3.21339989  10.6227942  7.46000004
  2.91429996  10.7069092  7.75
  3.24449992  10.6448889  7.51999998
  2.88639998  10.6920776  7.67000008
  2.93670011  10.5671864  7.21999979
  2.95549989  10.6314583  7.4000001
  2.94630003  10.669589  7.51999998
  2.9296999  10.6464653  7.44000006
  2.95639992  10.6036558  7.28000021
  2.97900009  10.6212196  7.32999992
  2.91799998  10.7043228  7.61000013
  2.94749999  10.6235876  7.30999994
  2.88310003  10.6383896  7.36000013
  2.9059999  10.6887741  7.53000021
  3.2111001  10.5551968  7.07000017
  3.15930009  10.5683479  7.11000013
  2.91179991  10.6226892  7.25
  2.95110011  10.6780434  7.42999983
  2.92440009  10.5888481  7.13000011
  2.93589997  10.7190342  7.55000019
  2.97950006  10.7111998  7.51000023
  3.13249993  10.5878315  7.09000015
  3.12809992  10.6224623  7.19999981
  2.93580008  10.6754379  7.36999989
  3.02060008  10.629076  7.21000004
  2.98690009  10.7306347  7.55000019
  2.97329998  10.7124071  7.48000002
  2.93070006  10.660037  7.28999996
  2.98239994  10.7492085  7.55999994
  2.94309998  10.7273035  7.46999979
  2.89779997  10.6793137  7.30000019
  2.96440005  10.6726723  7.26999998
  2.98760009  10.6803722  7.26999998
  3.11409998  10.7553091  7.48999977
  2.95210004  10.7235823  7.38000011
  3.16619992  10.7285223  7.38999987
  2.86849999  10.7551031  7.46999979
  2.92610002  10.7109385  7.28999996
  2.88730001  10.8105755  7.61999989
  2.89120007  10.7400799  7.34000015
  2.97029996  10.7956896  7.51999998
  2.92610002  10.8195095  7.59000015
  2.86549997  10.7500362  7.3499999
  3.01699996  10.8021078  7.48000002
  2.84800005  10.805007  7.48000002
  3.00679994  10.8067083  7.48000002
  2.93950009  10.7481842  7.26000023
  3.00580001  10.8200026  7.46999979
  2.99769998  10.7308292  7.1500001
  2.87290001  10.8148441  7.42999983
  3.01999998  10.7559919  7.23000002
  3.04480004  10.7508774  7.21000004
  3.04130006  10.7847557  7.32000017
  2.98589993  10.8205194  7.42000008
  2.89350009  10.7937565  7.32000017
  2.97059989  10.8224907  7.40999985
  2.92689991  10.8343639  7.44000006
  2.94390011  10.8639565  7.53999996
  2.98210001  10.7983866  7.30999994
  3.11739993  10.784584  7.26000023
  2.96009994  10.9094048  7.67999983
  2.9619  10.8872681  7.5999999
  3.00390005  10.8446808  7.44999981
  2.91810012  10.7808924  7.23000002
  2.8842001  10.8733988  7.51000023
  3.23390007  10.802084  7.26000023
  2.95720005  10.7852449  7.19000006
  2.9461  10.89888  7.57000017
  3.01250005  10.8478231  7.38999987
  2.87689996  10.8212719  7.26999998
  3.0402  10.8479805  7.34000015
  2.9921  10.8749189  7.42000008
  3.14980006  10.7485905  7.
  3.02259994  10.9774036  7.76999998
  2.99410009  10.8901949  7.46000004
  2.98990011  10.8965082  7.48000002
  3.04450011  10.9118748  7.53000021
  3.00469995  10.8846912  7.40999985
  2.98300004  10.7429972  6.94000006
  2.94109988  10.8695354  7.3499999
  3.00279999  10.837491  7.23000002
  3.21399999  10.7975311  7.09000015
  2.92549992  10.8822384  7.36999989
  3.01799989  10.7954979  7.07000017
  3.21880007  11.0063877  7.78999996
  3.17779994  10.9142799  7.44999981
  2.99379992  10.9317064  7.5
  3.06480002  10.89048  7.34000015
  3.05629992  10.9165201  7.42000008
