#
# Pleiades Rotation Data (Godoy-Rivera et al. 2021)
#
# Reduced to 3 columns:
#  Period = rotation period in days
#  GaiaDR2_ID = star ID in the Gaia DR2 catalog
#  BP-RP = observed Gaia B-R color index
#
Period   GaiaDR2_ID            BP-RP     
1.1143   66788669895935616     2.8317242 
0.4678   65223515093523328     2.717515  
0.1891   66786951909028736     2.6928291 
0.8915   66786539592171392     2.8170242 
0.3224   65229734206151680     2.5330095 
0.9143   66783584654831872     2.7505665 
3.4241   69847610026687104     0.84881496
2.3468   65200283613608704     2.6414251 
5.343    64985127228608128     1.5945015 
1.3126   66781832308018176     0.96805   
9.1276   66808220587051264     1.8498583 
0.3183   63296380446670080     3.237194  
0.7278   64950488315122560     3.2275276 
6.9448   64964717544035200     2.009222  
2.9684   64808483812941440     1.9807901 
0.7424   64977705525131904     2.04033   
0.9588   64951111087777536     2.8708248 
6.1624   65199978672758272     0.9086571 
7.1797   66808869124393600     1.1175804 
6.839    64808204638390912     0.6647806 
2.3141   66838452861270272     0.8084307 
7.4791   66787119410915072     1.5260181 
0.8702   65225611037551360     0.6303797 
6.1296   65223618172733952     1.2158127 
1.8161   64952829074688896     0.6489811 
0.5243   64980278208557696     1.4365625 
5.1665   66837495084120320     1.8433132 
0.2955   64804360644343424     3.1900597 
0.5017   65008010814357248     2.8909874 
2.234    65211557904569856     2.377285  
1.3443   66808839062339712     3.1099606 
3.0025   64899017426872960     0.8397875 
0.2845   64905618794174720     2.4873161 
7.9111   66793583338514816     2.15034   
2.1377   64980832261312640     2.8989172 
0.0824   65008388771477120     3.149191  
0.2261   66731731512764416     2.819189  
6.1515   64804841680675200     1.0697002 
3.5941   65004712279475712     0.8226509 
0.3912   65226092073881856     2.6410322 
2.6922   69854348831573504     2.4576235 
0.1212   66783099321711360     2.5285225 
3.3705   66809491897360896     0.8434305 
0.2824   64966916567283456     3.1740704 
0.9133   65004437401569664     2.7971    
0.8082   65213172812266752     3.0530758 
1.1004   66782897460055424     2.7735243 
0.5265   65213172812266240     2.99782   
0.3484   66839591028151552     3.028573  
5.9306   64979732749686016     1.0223904 
1.0167   66728501697350016     2.9798603 
2.5738   65003612767943040     3.231165  
0.3023   66727234683931520     1.8939762 
2.4577   65005262035285888     2.4694462 
8.4781   65010239900405504     1.2329378 
0.3889   64959662365552384     1.6122046 
3.9054   66735446661374976     2.9094543 
1.8237   66733763034205696     2.7286339 
0.2679   65212932294091264     2.5437899 
0.8446   65011412428446592     2.3946419 
0.4739   64967603762044928     3.020667  
0.4019   66728089380491648     2.995018  
7.8496   65010549138050944     1.2762156 
0.5326   65017906418989312     2.6395903 
0.8818   64967569402404480     2.9823294 
0.3239   66728128037119616     3.1366158 
3.694    66846291177113088     2.2992373 
0.3687   64963377514329984     3.0870228 
0.6801   65010519075247616     2.9139967 
1.456    64898368889386624     0.34744358
0.9252   66821655244731264     2.781474  
1.6638   64912009705490304     2.8425188 
1.1885   66729674225341696     2.9714556 
0.1357   66847631206903040     2.9464998 
0.4291   65005846150835200     3.048687  
0.5572   64990349908937984     2.7327852 
0.9834   66792999222948992     2.8946505 
0.2768   65019963707009024     3.0209484 
0.3079   64993579724240896     3.2258968 
2.7628   66737405166459264     2.3304596 
0.5596   63327682168301952     3.094884  
0.4855   65018417518780672     3.0387383 
0.6538   66715827250786432     2.4506826 
0.3972   66740497542906368     2.877118  
1.2508   64962174923490304     2.8943224 
8.5982   66816295125702144     1.4201279 
7.5554   63916431989200256     1.2362251 
0.6966   64884624994048256     2.8307257 
0.2084   66823132713476480     3.0540323 
0.2819   64990792288875264     3.079729  
0.7538   66737576965143296     3.1563816 
8.4106   64990586130069504     1.5964804 
2.3229   66820590092840960     2.5828314 
0.582    66823304512166528     1.8347702 
0.4571   64900739711320960     3.009962  
0.3067   66730120901930240     1.7155895 
0.7814   65013474012743936     1.6672621 
0.483    65208396808627840     1.5596657 
0.4458   65012408860856832     3.062623  
0.2962   66791659193405952     3.1800795 
5.1371   64913452814489216     0.9584093 
0.8216   66738023641737088     2.9529524 
1.4175   66742765285619584     2.4275846 
0.94     65011962184337664     3.067627  
2.8022   65020414679879296     0.7135601 
0.5169   64894623677888640     3.118886  
1.3661   64938569783224960     2.7004519 
0.7302   66717987616472704     3.0660973 
0.8448   66767843597097856     3.2166386 
0.7364   66816187748666624     1.5911531 
0.238    64986325522809728     3.0712452 
1.562    64895139073954944     2.5128841 
0.5561   65019246448775424     3.1623707 
0.6242   66522381924952704     2.9032993 
0.446    66944422591073024     1.7250109 
0.5148   65014195567317504     2.7911282 
0.7512   65000863988835200     3.0578432 
0.9637   66522107047046656     2.8319874 
0.6734   66522137109124096     3.0547695 
8.1854   64989490915460608     1.8267212 
0.8237   66521381194879232     2.9545841 
1.6856   66724451545088128     0.51014566
1.8306   64999558318784768     2.797223  
0.6994   64987876007763968     2.7882109 
0.4809   66942910762588928     2.9987116 
6.7219   66939852745876736     0.6593914 
2.4534   64999588381514496     0.7458563 
3.8184   66517468482370304     0.80504036
5.4934   66739982146803456     1.8564491 
0.4915   65014985841292032     2.9623728 
0.7353   63953819680971008     2.953374  
4.5347   66832100605159424     0.92820644
3.8161   66517468482370176     1.927804  
1.033    64998905483757568     2.4345636 
0.2571   64988803720689408     3.3021889 
0.7157   66763965244167808     2.8818064 
1.1389   64889126119831040     2.5017557 
0.293    64988322684358144     3.0900297 
1.7216   66818322350220416     2.7020779 
0.3215   64909153549943296     3.1035156 
0.3992   64009448097245440     1.7061777 
2.491    66523893753437824     0.7418165 
0.2353   64934893291213952     1.3326874 
0.6205   66521179334108928     2.9914904 
0.258    66720534534913792     2.4309053 
0.4896   66523103479455744     2.9200516 
1.3602   66523103479455232     2.8579655 
2.885    64941211186036352     0.7964411 
0.2113   64889229199044096     2.8851128 
0.5216   66719194505127168     3.1382694 
0.2656   66824472743376768     3.1765556 
0.9204   66719228864863360     2.5934458 
0.8848   66765751950550144     2.9242535 
0.7565   66831172892327680     3.3400726 
0.2671   64933621980897536     3.116683  
0.3368   66831069813319936     2.6659927 
0.5      66926211929978880     2.9140024 
0.3484   66765855029900288     2.9098492 
0.1238   66765855029760768     3.1689005 
3.92     64936508198907904     1.5196486 
0.6231   63705433133130368     2.9936838 
0.374    64946025846426752     3.1891842 
5.0921   66720946851771904     1.0752592 
0.5503   66519530066802944     1.2756042 
0.3617   64896101146708224     3.223445  
0.1267   66722660540945408     3.2187538 
1.706    66722355601033600     2.5805435 
13.6986  64916751349465856     2.5239925 
6.0067   64921458633614976     1.0961046 
8.5889   64891634380723712     2.2232208 
0.3242   64997187496822912     3.3604965 
6.1535   64923279699744256     1.0635023 
0.6738   63937700667501184     3.3538055 
1.1187   64917094946846848     2.8650742 
0.7768   66503449709270400     1.0409546 
2.0109   66745170467302656     2.8016157 
4.2628   66771146429454592     0.8136463 
5.3258   64922283267331968     1.82407   
0.3983   66753038847347456     1.8035431 
0.5256   64942001460286080     3.3867836 
0.2652   66746441777612416     0.14096451
0.3628   66525061984664832     2.8169699 
0.5603   66774513683782912     1.3821688 
0.4433   66771764904729984     3.2001553 
0.3389   66451497784867712     2.7873707 
0.4171   63717665199974016     3.2607641 
5.5927   66502281478384000     0.9989805 
0.9081   64057895330132224     3.1891422 
0.3094   64915754917051520     3.1230888 
0.3888   66745754582838272     2.9824944 
0.543    66752042414936704     2.496684  
5.7139   66499154741977216     1.0139475 
0.3013   66452047540860160     3.1136465 
0.3855   64928674178659968     3.122097  
0.7781   66511970924353792     2.8794594 
0.3933   64943758103791104     3.1213207 
0.2389   64930495244783616     0.5961113 
1.5928   66749121837171840     2.5844145 
4.9432   66501181966524800     0.8950987 
5.0132   64928605459180416     0.95699596
0.3971   63940208928422656     3.2631683 
7.2745   66747816167123712     1.1980419 
0.4441   66556672943906688     3.0133867 
0.1765   66453490649681280     -0.0441727
1.6719   63959351598814336     2.675376  
6.8472   66452769091505024     1.0337391 
0.857    63632178171114624     2.932702  
0.4722   63693785181958912     2.4938993 
0.5612   66515922294233728     2.9143686 
1.0465   51212713298684928     3.1100063 
2.1762   64924413571101952     0.7858448 
0.3019   66453181412027392     3.2901516 
1.6412   66507469798631808     0.06536198
1.3418   66452734735432192     2.4827223 
1.0385   66551686483467904     3.1334152 
0.6757   66507882115488128     2.7205505 
0.321    64927368508592512     3.1743813 
6.4254   66539252556578816     1.7299442 
1.7487   66974453002505088     2.910325  
0.3645   66509771901085696     3.1797066 
0.6652   66960743466922624     3.0995188 
1.1204   66553443128503552     2.8756533 
1.857    66960262430594816     0.6871643 
5.3657   64172038380708224     1.040019  
1.8957   64040818540162304     1.906435  
0.6601   66509634462127360     2.9775887 
0.9801   66429232674604544     2.9679937 
0.5589   64168705486089216     3.0252361 
1.0933   64037588724758400     2.8040228 
1.128    51200343792868096     3.4317322 
0.3144   66957994687842176     1.2233677 
1.7941   64064011363520512     2.9053516 
0.8891   64174546641593984     2.5667725 
2.1644   66462939577861248     0.785573  
0.3277   66982458821495424     3.1270332 
8.4496   65677372878285312     1.2771721 
2.0791   66969535261875072     2.8658495 
0.461    66485582645439104     2.9336786 
1.6572   66441323003146112     3.1419888 
3.4151   64050645425295872     1.9354734 
0.5784   65677098000371712     2.9585152 
1.9607   66445038154189952     3.1902637 
4.5971   66482868226100096     2.0349836 
0.5336   66911231083913600     2.7841282 
0.4479   65673593307063552     2.0566425 
0.4748   63627264728628224     2.9411516 
7.9471   66480944080770176     1.2459354 
0.9248   65671634801986048     2.8487349 
7.5694   66903293984399872     1.8201857 
6.4306   63849572235829248     1.4749155 
4.391    66867800374681344     2.5375776 
0.3185   65675895409522048     3.1198816 
3.3701   66863058730966528     0.9161043 
5.4447   63730309581781376     1.0660677 
0.8689   65674383581036800     2.6210842 
0.8344   65688539793220480     3.2733173 
0.813    63826070174824192     2.9281416 
1.3131   63826448131945984     2.7894688 
7.3022   65680499614460800     1.4733028 
0.3363   66665902550940672     2.6478958 
0.9618   66665902550940800     2.7350063 
0.7129   66886011036187392     2.961524  
0.5099   66887660303617408     3.0543203 
0.6317   66885942316710784     2.9961643 
0.8865   63824901943723392     3.2493248 
1.9861   64078167575681152     2.5092154 
0.4687   63839023796354560     3.071434  
0.4606   66915560410893440     3.2510567 
0.3228   51609980593783424     3.0198832 
0.5971   66642641008348416     3.022685  
1.9941   63838886357191936     2.2669926 
1.8182   63677326867342464     2.5918875 
1.2294   66899239535574400     2.6437283 
1.7664   64073597730589952     2.4001846 
1.057    67352066526730240     2.9042482 
0.6929   66648001127514368     2.994135  
0.4562   66593437863017984     3.095889  
5.0017   66897933865345920     1.6515636 
1.1461   63773774653147904     2.7525873 
0.553    63775355201110016     2.0390253 
1.1077   63892006512622848     2.786417  
0.0925   66695688147432832     3.4964905 
1.29     63884584809145600     2.5198126 
0.1714   67278158729741696     3.0118465 
2.4861   66694455493470464     1.867754  
0.2923   67304959325424768     3.2957134 
4.065    66570554277316992     1.0093727 
0.6341   66702048995630848     3.1973753 
0.2773   51622315739944704     2.993166  
8.5605   66597767189992832     2.4016466 
2.7826   51616268426009472     1.9965181 
0.6775   65717814290369920     2.95463   
6.3353   63876402894075904     1.3100977 
0.4077   51526417710225408     2.3094196 
0.2184   66623605713181184     3.7455063 
8.1192   66584332530000512     1.3641243 
0.4729   67085641114472320     3.0623264 
0.3425   51625094581936256     3.2656097 
0.1836   66584465673208448     3.4464855 
7.7415   67281869581448704     1.4967003 
