#
# Main-sequence Mass-Luminosity-Radius data from Eker et al. 2018, MNRAS, 479, 5491
# Derived from a CSV file provided by Eker to the authors.
#
# Columns are logarithmic mass, radius, gravity, and luminosity, with errors
# all in solar units
#
ID     logM       errM       logR       errR       logg       errg       logL       errL   
136    0.71231    0.00253    0.57553    0.00346    4.00000    0.00700    3.17445    0.05387
137    0.33606    0.00441    0.27207    0.00302    4.23000    0.00700    1.42793    0.07842
138    0.24871    0.00490    0.21112    0.00347    4.26500    0.00800    1.11493    0.06754
139   -0.12494    0.00290   -0.14206    0.00843    4.59800    0.01700   -0.83644    0.05823
140   -0.18111    0.00330   -0.16622    0.01083    4.59000    0.02200   -0.99575    0.03047
141    0.74084    0.01893    0.49845    0.00551    4.18200    0.02200    2.92374    0.04577
142    0.52349    0.02095    0.37310    0.00552    4.21600    0.02400    2.34636    0.07693
144    0.18099    0.00115    0.19921    0.00824    4.22100    0.01700    0.72853    0.04136
145    0.55023    0.03303    0.37475    0.01649    4.23900    0.04700    2.18649    0.04614
146    0.46982    0.03533    0.23045    0.02555    4.44700    0.06200    1.76814    0.13618
147    1.16256    0.00239    0.73320    0.00321    4.13500    0.00700    4.32957    0.03537
148    1.01242    0.00253    0.63246    0.00506    4.18600    0.01000    3.86272    0.03947
149    0.29314    0.00155    0.28511    0.00248    4.16100    0.00500    1.12856    0.09661
150    0.25864    0.00168    0.26529    0.00259    4.16600    0.00500    1.02446    0.09805
151    0.21630    0.00113    0.27600    0.00667    4.10300    0.01300    1.00926    0.03647
152    0.16400    0.00074    0.20194    0.00764    4.19800    0.01500    0.73897    0.03761
153    0.19728    0.01765    0.16732    0.01566    4.30100    0.03600    0.41290    0.04800
154   -0.02965    0.02976    0.00043    0.02777    4.40800    0.06300   -0.31803    0.10724
155    0.17260    0.00321    0.36810    0.00223    3.87500    0.00600    0.85878    0.03251
156    0.16643    0.00296    0.35102    0.00232    3.90300    0.00600    0.81675    0.03282
159   -0.04672    0.00919    0.00217    0.00994    4.38700    0.02200   -0.12756    0.04261
160   -0.05700    0.00842   -0.05849    0.01491    4.49800    0.03100   -0.29827    0.05387
161    1.05789    0.00916    0.67897    0.00928    4.13800    0.02100    4.22113    0.04751
162    0.99405    0.00713    0.66699    0.00608    4.09800    0.01400    4.13826    0.04211
163    0.74749    0.01554    0.55630    0.00844    4.07300    0.02300    2.98910    0.06798
164    0.52686    0.01807    0.31091    0.01061    4.34300    0.02800    2.05089    0.12699
165    0.35025    0.00271    0.47929    0.00288    3.83000    0.00600    1.56852    0.03754
166    0.32325    0.00371    0.39724    0.00731    3.96700    0.01500    1.38312    0.04679
167    0.23528    0.00278    0.21722    0.00474    4.23900    0.01000    0.90322    0.04395
168    0.25018    0.00293    0.22220    0.00547    4.24400    0.01100    0.94505    0.04478
169    0.34262    0.00493    0.39620    0.00523    3.98900    0.01200    1.52700    0.07948
170    0.30125    0.00543    0.32838    0.00816    4.08300    0.01700    1.33545    0.08555
171    0.21272    0.00319    0.31408    0.00253    4.02300    0.00600    0.89103    0.03093
172    0.16495    0.00297    0.21405    0.00318    4.17500    0.00700    0.64776    0.03289
173   -0.22330    0.00363   -0.20691    0.00420    4.62900    0.00900   -1.13087    0.05387
174   -0.22113    0.00361   -0.21824    0.00431    4.65400    0.00900   -1.15354    0.05409
175   -0.23359    0.00149   -0.25259    0.00155    4.71000    0.00300   -1.26365    0.04502
176   -0.26440    0.00160   -0.29073    0.00339    4.75500    0.00700   -1.39674    0.05009
177    0.18724    0.00339    0.18639    0.00452    4.25300    0.01000    0.68790    0.08436
178    0.18384    0.00398    0.17406    0.00465    4.27400    0.01000    0.66575    0.08451
179    0.34242    0.01184    0.26482    0.00708    4.25100    0.01800    1.20241    0.05503
180    0.27416    0.01617    0.23553    0.00757    4.24100    0.02200    1.04375    0.06320
181    0.27875    0.00549    0.21059    0.00802    4.29600    0.01700    1.16364    0.05530
182    0.26788    0.00562    0.20412    0.00841    4.29800    0.01800    1.11100    0.05699
189   -0.15304    0.00185   -0.15864    0.00563    4.60300    0.01100   -0.80863    0.09113
190   -0.16304    0.00190   -0.15552    0.00808    4.58600    0.01600   -0.90946    0.10110
191    0.28937    0.00915    0.44467    0.00312    3.83800    0.01100    1.28539    0.03020
192    0.23223    0.00916    0.30835    0.00320    4.05400    0.01100    1.04715    0.02990
193    0.32160    0.00373    0.33626    0.00400    4.08700    0.00900    1.53811    0.04458
194    0.32098    0.00373    0.33626    0.04005    4.08700    0.08000    1.53811    0.11666
195    0.18469    0.00255    0.19756    0.00248    4.22800    0.00600    0.71775    0.03995
196    0.11361    0.00234    0.13513    0.00255    4.28200    0.00600    0.46050    0.04285
197   -0.36957    0.00203   -0.36351    0.00501    4.79600    0.01000   -1.77358    0.09249
198   -0.40450    0.00110   -0.40671    0.00997    4.84700    0.02000   -1.87933    0.10333
199    0.10415    0.00308    0.11893    0.00165    4.30500    0.00500    0.48253    0.04252
200    0.05918    0.00227    0.04650    0.00273    4.40500    0.00600    0.24229    0.04689
201    0.31702    0.00837    0.37218    0.00608    4.01100    0.01500    1.19186    0.05939
202    0.30168    0.01713    0.30664    0.00665    4.12700    0.02200    1.07308    0.06133
203    0.26079    0.00286    0.33244    0.01212    4.03400    0.02400    1.15149    0.04152
