#
# Solar Spectrum
# Source:
#   Spectrum: ASTM E-490-000 Solar Spectrum
#   Blackbody: T=5772K
# Lam: wavelength in Angstroms
# Sun: Solar spectral irradiance in erg/s/cm^2/A
# bb5772: T=5772K black body irradiance in erg/s/cm^2/A
#
Lam      Sun          bb5772
  775.  1188.  1209.09229
  777.  1196.  1203.95312
  779.  1187.  1198.82556
  781.  1187.  1193.71045
  783.  1176.  1188.60803
  785.  1180.  1183.51819
  787.  1177.  1178.4408
  789.  1174.  1173.37683
  791.  1158.  1168.32581
  793.  1143.  1163.28845
  795.  1134.  1158.26453
  797.  1152.  1153.25439
  799.  1135.  1148.25806
  801.  1142.  1143.27576
  803.  1129.  1138.30798
  805.  1115.  1133.35437
  807.  1120.  1128.41528
  809.  1095.  1123.49109
  811.  1114.  1118.5813
  813.  1115.  1113.68665
  815.  1107.  1108.80713
  817.  1104.  1103.94226
  819.  1063.  1099.09326
  821.  1080.  1094.25952
  823.  1073.  1089.44104
  825.  1075.  1084.63831
  826.  1080.  1082.2428
  828.  1081.  1077.46387
  830.  1063.  1072.70044
  832.  1051.  1067.95312
  834.  1041.  1063.2218
  836.  1052.  1058.50659
  838.  1044.  1053.80737
  840.  1040.  1049.12488
  842.  1036.  1044.4585
  844.  1024.  1039.80835
  846.  1028.  1035.1748
  848.  1023.  1030.55798
  850.  966.  1025.95776
  852.  996.099976  1021.37396
  854.  878.  1016.80695
  856.  975.5  1012.25671
  858.  1005.  1007.72357
  860.  996.900024  1003.20697
  862.  994.900024  998.707336
  864.  999.299988  994.22467
  866.  886.200012  989.758972
  868.  939.5  985.310486
  870.  974.700012  980.879028
  872.  983.299988  976.464294
  874.  971.299988  972.067139
  876.  964.  967.686523
  878.  974.900024  963.323853
  880.  955.400024  958.977844
  882.  951.099976  954.649231
  884.  957.900024  950.337769
  886.  938.299988  946.04364
  888.  944.299988  941.766541
  890.  953.  937.506775
  892.  939.400024  933.264404
  894.  933.200012  929.039307
  896.  938.700012  924.831482
  898.  933.900024  920.640625
  900.  915.799988  916.46759
  902.  891.599976  912.311523
  904.  928.5  908.172729
  906.  917.599976  904.051331
  908.  902.5  899.947083
  910.  891.599976  895.860046
  912.  896.700012  891.790222
  914.  907.099976  887.737915
  916.  900.400024  883.702698
  918.  895.099976  879.684692
  920.  890.799988  875.683899
  922.  863.  871.700317
  924.  858.5  867.733948
  926.  861.200012  863.784607
  928.  876.900024  859.852478
  930.  867.700012  855.937439
  932.  865.099976  852.039429
  934.  864.099976  848.158447
  936.  854.700012  844.294617
  938.  858.  840.447815
  940.  843.799988  836.617981
  942.  825.  832.804932
  944.  832.400024  829.009033
  946.  837.5  825.22998
  948.  840.700012  821.467712
  950.  836.900024  817.72229
  952.  831.700012  813.993591
  954.  808.  810.28186
  956.  808.200012  806.58667
  958.  818.799988  802.908203
  960.  815.099976  799.246399
  962.  808.900024  795.601379
  964.  801.299988  791.972656
  966.  794.700012  788.360596
  968.  796.900024  784.764893
  970.  795.900024  781.185852
  972.  793.599976  777.62323
  974.  781.5  774.076782
  976.  782.5  770.546814
  978.  777.900024  767.03302
  980.  774.599976  763.535522
  982.  776.400024  760.054321
  984.  769.799988  756.589172
  986.  766.099976  753.140076
  988.  761.5  749.707092
  990.  754.099976  746.290222
  992.  756.700012  742.889038
  994.  755.599976  739.504028
  996.  752.5  736.134766
  998.  751.  732.78125
  1000.  747.900024  729.443665
  1002.  746.900024  726.121582
  1003.99994  726.099976  722.815308
  1006.00006  713.599976  719.524414
  1008.  733.5  716.249451
  1010.  731.299988  712.989746
  1011.99994  726.200012  709.745667
  1014.00006  721.  706.516785
  1016.00006  713.900024  703.303223
  1018.  710.700012  700.105225
  1020.  704.099976  696.922363
  1021.99994  702.099976  693.754883
  1024.  705.400024  690.602051
  1026.  702.700012  687.464539
  1028.  698.900024  684.342163
  1030.  693.700012  681.234741
  1032.  690.5  678.142029
  1034.  681.700012  675.064209
  1036.  684.  672.001404
  1038.  677.200012  668.953186
  1040.  676.099976  665.919739
  1042.  674.599976  662.90094
  1044.  671.400024  659.896667
  1046.  660.  656.90686
  1048.  664.400024  653.931641
  1050.  662.200012  650.970764
  1052.  658.599976  648.024231
  1054.  654.900024  645.092041
  1056.  655.700012  642.17395
  1058.  645.099976  639.270142
  1060.  641.5  636.380493
  1062.  643.799988  633.504883
  1064.  645.900024  630.64325
  1066.  639.5  627.795654
  1068.  631.700012  624.961792
  1070.  624.099976  622.141907
  1072.  632.599976  619.335754
