ID F555W F439W Color errF555W errF439W errColor
200187 24.8098 25.7509  0.9411 0.3991 0.2842 0.4899
200188 23.7178 25.0609  1.3431 0.2532 0.0884 0.2682
200189 24.6168 25.9129  1.2961 0.3515 0.1709 0.3908
200190 24.3488 25.3949  1.0461 0.2225 0.1602 0.2742
200191 23.8098 25.3699  1.5601 0.1386 0.1357 0.1940
200192 19.8848 20.9889  1.1041 0.0243 0.0151 0.0286
200193 24.8858 26.0589  1.1731 0.3346 0.2610 0.4244
200195 25.4148 25.3599 -0.0549 0.9104 0.1661 0.9254
200196 22.8148 22.3419 -0.4729 0.1487 0.0511 0.1572
200198 24.8708 26.0169  1.1461 0.5527 0.2482 0.6059
    33 17.1588 17.7539  0.5951 0.0159 0.0114 0.0196
200199 24.7238 25.9789  1.2551 0.4890 0.2669 0.5571
200200 24.0718 25.1499  1.0781 0.2082 0.1623 0.2640
200201 24.7668 25.8749  1.1081 0.3827 0.2202 0.4415
    34 16.8658 17.4439  0.5781 0.0167 0.0108 0.0199
200202 19.9288 21.0209  1.0921 0.0216 0.0164 0.0271
200203 24.9048 25.4319  0.5271 0.5557 0.1747 0.5825
200204 25.6178 25.8079  0.1901 1.1272 0.2347 1.1514
200205 25.1738 26.2069  1.0331 0.5474 0.2331 0.5950
200206 25.2988 25.8499  0.5511 0.6398 0.2750 0.6964
200207 25.2938 26.4879  1.1941 0.6385 0.2661 0.6917
200208 25.3548 25.7299  0.3751 0.4560 0.1953 0.4961
200209 24.7528 24.4739 -0.2789 1.5443 0.1147 1.5486
200210 24.7178 23.3929 -1.3249 0.5183 0.0750 0.5237
200211 25.0828 25.1449  0.0621 0.2269 0.1320 0.2625
200212 24.9178 25.4359  0.5181 0.4299 0.1539 0.4566
200215 24.2158 23.9099 -0.3059 0.2750 0.0670 0.2830
200217 24.1328 25.5699  1.4371 0.2349 0.1763 0.2937
    35 19.1028 19.9499  0.8471 0.0205 0.0128 0.0242
    36 15.6058 16.3659  0.7601 0.0149 0.0123 0.0193
200219 25.0518 25.8569  0.8051 0.3826 0.2302 0.4465
200220 24.6018 25.1559  0.5541 0.3225 0.1612 0.3605
200221 24.6738 26.1239  1.4501 0.3476 0.2491 0.4276
    37 19.0888 19.9299  0.8411 0.0154 0.0129 0.0201
200222 21.3528 20.7499 -0.6029 0.1459 0.0452 0.1527
200223 24.9088 25.6939  0.7851 0.3493 0.2184 0.4120
    38 18.4448 19.1839  0.7391 0.0169 0.0114 0.0204
200224 24.4628 25.4009  0.9381 0.2866 0.2078 0.3540
200225 25.8978 25.6359 -0.2619 0.7236 0.1965 0.7498
200226 25.3018 25.8419  0.5401 0.5214 0.3444 0.6249
    39 17.7078 18.2649  0.5571 0.0187 0.0133 0.0229
200227 25.5768 25.4899 -0.0869 0.9995 0.1725 1.0143
200229 25.0468 25.7079  0.6611 0.7606 0.2085 0.7887
200230 24.4258 24.0779 -0.3479 0.3965 0.0933 0.4073
200231 25.3458 25.6219  0.2761 0.4666 0.1850 0.5019
200233 24.4128 25.4799  1.0671 0.1941 0.1516 0.2463
200234 24.4638 25.7739  1.3101 0.3353 0.2191 0.4005
200235 25.5388 26.0179  0.4791 0.9452 0.2185 0.9701
200236 24.7278 25.9179  1.1901 0.4338 0.2333 0.4926
200237 24.8588 25.2209  0.3621 0.3929 0.1792 0.4318
200238 24.5848 25.6229  1.0381 0.2953 0.2185 0.3673
200240 19.7608 20.7569  0.9961 0.0194 0.0148 0.0244
200241 21.6318 20.5999 -1.0319 0.1985 0.0621 0.2080
200242 24.7218 25.5309  0.8091 0.3893 0.2349 0.4547
200243 21.2518 23.9249  2.6731 0.5656 0.1195 0.5781
200244 23.1248 25.0929  1.9681 0.1088 0.1451 0.1814
200245 24.3798 25.6349  1.2551 0.3054 0.2340 0.3847
200246 23.9858 24.9189  0.9331 0.2284 0.1102 0.2536
200247 24.3098 25.2019  0.8921 0.2666 0.1475 0.3047
200248 24.8948 25.7389  0.8441 0.3661 0.2044 0.4193
200249 25.0828 26.2309  1.1481 0.5323 0.2558 0.5906
200250 24.9698 26.0199  1.0501 0.4842 0.2557 0.5476
200251 20.2518 21.4239  1.1721 0.0279 0.0212 0.0350
200252 23.7098 25.6089  1.8991 0.1475 0.1287 0.1958
200253 23.1548 23.7659  0.6111 0.1678 0.0826 0.1870
200254 23.7858 24.5059  0.7201 0.1832 0.0931 0.2055
200255 26.4278 23.7799 -2.6479 3.8729 0.0826 3.8738
200256 18.3348 19.0589  0.7241 0.0190 0.0126 0.0228
200257 24.4988 26.0319  1.5331 0.3490 0.2998 0.4601
200258 25.4618 25.2539 -0.2079 1.2926 0.0459 1.2934
200259 24.7648 25.6719  0.9071 0.5707 0.1783 0.5979
    41 13.8618 13.6949 -0.1669 0.0149 0.0226 0.0271
