KIC,2MASS,Age,Mass,Prot
5780269,19132377+4103546,0.73,0.92,7.98
5876359,19271650+4111545,2.93,0.93,20.63
5905418,19561853+4108112,5.69,0.90,31.27
5952853,19174040+4117277,1.40,0.74,12.44
5964734,19324734+4117010,2.37,0.79,19.12
5988330,19551992+4114388,6.19,0.84,33.29
6034565,19165962+4119133,0.66,0.90,7.55
6038870,19223026+4119126,4.83,0.87,27.61
6049552,19355711+4121368,9.56,0.73,41.84
6050088,19363187+4122344,6.86,0.73,36.68
6063220,19492496+4118001,4.81,0.83,28.98
6063228,19492551+4118137,4.85,0.89,28.58
6067321,19532142+4118208,3.25,0.89,21.66
6070653,19561994+4120265,4.57,0.80,28.98
6071189,19564378+4121259,6.21,0.79,33.29
6071903,19571668+4123047,2.27,0.92,17.47
6192736,19103546+4135072,9.66,0.80,43.92
6224216,19480169+4134178,0.70,0.86,7.76
6278992,19191445+4139208,1.02,0.94,10.17
6293695,19374854+4136052,1.19,0.85,11.77
6310128,19532871+4140266,4.39,0.53,27.42
6312858,19554934+4140280,9.91,0.64,43.62
6351838,19095184+4147460,7.96,0.76,40.70
6357902,19190235+4145289,2.04,0.65,17.49
6368045,19322773+4143521,7.64,0.61,40.42
6368779,19331961+4144248,3.46,0.91,21.51
6371100,19360475+4144124,4.38,0.69,29.38
6381934,19470993+4146266,1.24,0.87,12.18
6431800,19114589+4152442,6.70,0.77,34.45
6436291,19183060+4153031,9.72,0.49,47.08
6436652,19190180+4153127,4.26,0.84,26.85
6437993,19204445+4152019,1.93,0.92,15.97
6438389,19211336+4151184,7.98,0.43,43.62
6470598,19560923+4152055,2.68,0.83,20.07
6511203,19123290+4154230,3.85,0.73,26.48
6516588,19200086+4158430,1.51,0.74,13.24
6521518,19260517+4158071,3.07,0.82,21.96
6580503,18480886+4200303,3.39,0.91,21.81
6606867,19281219+4204097,2.28,1.03,11.14
6615432,19375167+4205203,4.98,0.92,28.14
6629216,19504432+4204475,8.61,0.83,41.27
6636266,19561752+4200124,2.47,0.94,18.34
6696265,19324931+4211526,1.30,0.97,12.02
6704613,19411573+4211540,2.25,0.60,16.76
6763400,19081075+4214562,1.57,0.89,14.10
6766298,19124493+4213002,1.64,0.89,14.49
6767973,19151548+4214292,10.07,0.83,45.50
6774726,19235510+4217062,1.89,0.67,16.42
6778974,19291164+4214287,5.80,0.87,31.70
6786443,19373400+4213186,3.54,0.98,21.81
6836871,18455274+4222159,1.57,0.97,13.71
6838270,18485389+4222260,2.14,0.76,18.09
6846515,19041572+4219047,9.08,0.75,40.74
6851483,19122127+4221525,2.78,0.62,21.51
6863726,19280520+4218551,3.60,0.47,21.22
6871713,19371607+4222596,4.37,0.77,26.30
6922774,18462291+4226164,4.78,0.90,28.38
6932118,19035487+4224076,2.86,0.79,20.92
6935653,19094180+4228493,5.40,0.74,33.06
6953213,19325917+4229100,4.62,0.87,27.23
6955274,19352176+4224236,4.29,0.46,28.78
7018267,19053070+4233019,2.06,0.73,17.59
7024222,19151752+4232338,3.09,0.75,22.74
7024674,19155459+4233031,4.14,0.83,25.40
7037175,19313679+4230022,1.68,0.91,14.39
7049336,19442123+4234565,2.67,0.71,21.21
7049465,19442827+4232087,5.98,0.70,34.70
7093721,18500065+4236415,2.77,0.55,18.60
7105834,19112094+4238474,12.94,0.42,59.59
7107430,19134744+4236545,1.08,0.69,9.76
7117918,19272025+4236003,5.27,0.79,29.38
7118431,19275716+4241481,8.01,0.83,40.14
7118558,19280832+4241370,1.21,0.85,12.02
7119078,19284859+4238092,0.76,0.92,8.32
7119806,19293947+4237295,11.79,0.67,44.54
7120911,19305734+4241423,10.07,0.78,44.85
7131359,19422350+4237089,8.70,0.57,43.32
7131594,19423720+4236044,2.22,0.70,18.09
7174694,18463266+4243366,1.02,0.77,10.46
7186892,19085153+4242164,8.05,0.81,39.05
7187220,19092458+4243567,11.92,0.80,52.24
7200282,19270276+4245239,0.62,0.94,7.14
7204073,19315022+4247573,1.38,0.71,12.88
7215890,19442788+4244314,2.61,0.56,17.84
7255582,18442044+4251036,1.48,0.74,13.90
7273208,19160434+4248142,6.72,0.78,33.33
7287850,19342349+4252505,7.65,0.60,40.42
7295235,19421779+4248231,3.03,0.95,20.45
7297681,19444272+4252174,9.92,0.70,46.43
7335514,18430644+4255283,1.46,0.78,13.15
7335857,18435641+4257035,2.23,0.64,18.09
7345390,19020838+4259505,0.79,0.95,8.15
7364380,19291072+4259006,10.47,0.78,45.15
7416432,18422295+4305503,1.26,0.80,11.69
7417093,18435288+4302168,3.17,0.77,22.42
7417612,18450338+4300232,7.46,0.78,35.45
7417813,18453241+4300482,11.08,0.44,52.96
7421353,18515602+4300535,2.16,0.80,17.84
7423040,18544005+4304502,1.66,0.79,15.00
7428051,19032900+4302463,6.16,0.91,31.95
7429071,19051465+4303575,7.74,0.74,39.04
7434544,19140435+4305488,0.73,0.91,7.87
7451604,19350998+4303231,7.18,0.64,39.31
